Protein_ID,CYTOSOL,ER,GA,LYSOSOME,MITOCHONDRION,NUCLEUS/CHROMATIN,PEROXISOME,PM,PROTEASOME,RIBOSOME,score,pred,cutoff,toppred
P09382,0.46731504797935486,0.025677096855361015,0.0038426755663749645,0.028265477041713893,0.16950982622802258,0.045176492421887815,0.03408138267695904,0.1847371463663876,0.03370161087877932,0.007693312014453113,0.46731504797935486,CYTOSOL,0.5644327402114868,unknown
P63218,0.0014218611406136006,0.004516994647701722,8.455685350128306e-05,0.003634768222582352,0.006699567818941432,0.003966546098354229,0.000598434399364578,0.9787326902151108,0.0002783209073982107,6.625732816445407e-05,0.9787326902151108,PM,0.5644327402114868,PM
P04792,0.9587721675634384,0.0010971394099481557,5.052212984469103e-05,0.0007430513830675167,0.005590425838477131,0.0020086697073509185,0.010036197113777234,0.01009526968773855,0.011484870104674957,0.0001217568141438502,0.9587721675634384,CYTOSOL,0.5644327402114868,CYTOSOL
P60174-1,0.9666382074356079,0.0005196402584910498,2.4958027140674684e-05,0.00034319997009690795,0.004321851186418257,0.0017329056122328268,0.005905360618129407,0.008744342445378805,0.011706390388056506,6.309407998280367e-05,0.9666382074356079,CYTOSOL,0.5644327402114868,CYTOSOL
P00558,0.7235252931714058,0.021019679905293742,0.002051586103398506,0.009979750067941495,0.018201004568254575,0.01229929169130628,0.16442753898445517,0.012637824620469473,0.030950311038168365,0.004907711218379518,0.7235252931714058,CYTOSOL,0.5644327402114868,CYTOSOL
P49006,0.02908540959469974,0.2422872008755803,0.012814749963581562,0.04881455935537815,0.033618899527937174,0.031096396269276738,0.05287852301262319,0.5270309373736382,0.013441486633382738,0.008931829477660358,0.5270309373736382,PM,0.5644327402114868,unknown
P09651-2,0.00012586658340296708,9.131317695221242e-05,3.5762416644047335e-05,3.586590051796179e-05,0.00038087227660810186,0.9948979616165161,9.845977064060207e-05,0.0010547430065344088,0.0016378550656099833,0.0016413181001553312,0.9948979616165161,NUCLEUS/CHROMATIN,0.5644327402114868,NUCLEUS/CHROMATIN
Q9C010,0.9678308963775635,0.000634190819976066,1.818226680410364e-05,0.00027280789367334357,0.006265329928822894,0.0011264660379648461,0.004577530983539191,0.008661154584984843,0.010568269982526435,4.520311778009661e-05,0.9678308963775635,CYTOSOL,0.5644327402114868,CYTOSOL
O75368,0.9585280120372772,0.0006646430720946839,3.066136204787042e-05,0.0004876717983401946,0.006382737870268329,0.0023498039080607214,0.0052766879271075595,0.013915310344586374,0.012289591635574769,7.483402384226082e-05,0.9585280120372772,CYTOSOL,0.5644327402114868,CYTOSOL
P08670,0.2775394879281521,0.04133209236897528,0.012073442383552901,0.03447192022576928,0.07043010462075472,0.2835911028087139,0.09528658539056778,0.07260280568152666,0.08264933910686523,0.030023123952560127,0.2835911028087139,NUCLEUS/CHROMATIN,0.5644327402114868,unknown
P62937-2,0.48288045451045036,0.009211010561557487,0.002399033993924604,0.0070966141211101785,0.11710830871015787,0.17710361070930958,0.01762051018886268,0.04586737952195108,0.132407728862745,0.008305347684654407,0.48288045451045036,CYTOSOL,0.5644327402114868,unknown
O43768,0.7553951442241669,0.005735218186600832,0.0019849982157609247,0.004118442520848475,0.02473185940471012,0.03310636998503469,0.02195094063063152,0.019117614370770752,0.13088043634161295,0.0029789659636207944,0.7553951442241669,CYTOSOL,0.5644327402114868,CYTOSOL
P10809,0.0030655528980787494,0.00024694344801901025,0.00019890657222276786,0.007174105849117041,0.9795428067445755,0.0008961438363712659,0.00017976219487536582,0.007711430589552037,0.0005601212119472621,0.0004242358163537574,0.9795428067445755,MITOCHONDRION,0.5644327402114868,MITOCHONDRION
