Protein_ID,CYTOSOL,ER,GA,LYSOSOME,MITOCHONDRION,NUCLEUS/CHROMATIN,PEROXISOME,PM,PROTEASOME,RIBOSOME,markers,score,pred,FDR,qvalue
P11388,4.873607739597219e-09,5.072331443756184e-10,2.4922142474737008e-11,1.9909811299623215e-10,3.259285064061146e-09,0.9999996423721313,9.003604084512062e-09,2.0308240777922038e-07,6.8012959708596554e-09,6.378003547524713e-08,NUCLEUS/CHROMATIN,0.9999996423721313,NUCLEUS/CHROMATIN,0.0,0.0
P16930,0.9999991655349731,1.456405107624903e-09,4.711804151735126e-15,1.5395500430059883e-09,1.810431768944909e-07,2.3552354733169523e-08,5.785337293673365e-07,3.548151994436921e-08,1.7298915772068213e-11,9.846792435250218e-13,CYTOSOL,0.9999991655349731,CYTOSOL,0.0,0.0
Q15102,0.9999991655349731,1.8097411347284265e-09,7.157015052220578e-15,2.3085213740614563e-09,2.3083366329501587e-07,2.4892665706488515e-08,6.541181960528775e-07,4.847427703680296e-08,1.9780376989131376e-11,1.23543428091899e-12,CYTOSOL,0.9999991655349731,CYTOSOL,0.0,0.0
P52788,0.9999990463256836,1.4801414538467839e-09,6.368324887340206e-15,1.8302599436026412e-09,2.1973826846988231e-07,3.466891129733085e-08,7.263222983056039e-07,4.779407092314614e-08,1.9352037333719707e-11,1.2858446946095725e-12,CYTOSOL,0.9999990463256836,CYTOSOL,0.0,0.0
P78316,1.6674349012646417e-08,2.541398869126965e-09,3.463040965101527e-10,1.0705235586883077e-09,1.6593762808270185e-08,0.9999990463256836,2.7244240641266515e-08,4.136865356940689e-07,9.713367887798086e-08,4.93397010359331e-07,NUCLEUS/CHROMATIN,0.9999990463256836,NUCLEUS/CHROMATIN,0.0,0.0
P34949,0.9999980926513672,4.187114210907339e-09,2.969327529082216e-14,5.599900987363071e-09,4.2857510607063887e-07,7.097572307657174e-08,1.179929427053139e-06,1.1268305399880774e-07,6.002221636380867e-11,4.182949125963731e-12,CYTOSOL,0.9999980926513672,CYTOSOL,0.0,0.0
P12277,0.9999978542327881,5.429193095096707e-09,4.0769765899872565e-14,6.0718088334965614e-09,4.951447181156254e-07,1.0382341741888013e-07,1.436036086488457e-06,1.5473362680040736e-07,7.823564018849538e-11,5.898137447196694e-12,CYTOSOL,0.9999978542327881,CYTOSOL,0.0,0.0
P19623,0.9999977350234985,5.151465032326996e-09,3.681878410553667e-14,6.0076081886961674e-09,5.12618726133951e-07,1.0073394918208578e-07,1.4979992783992202e-06,1.655254635579695e-07,6.38763555937949e-11,5.556206102846906e-12,CYTOSOL,0.9999977350234985,CYTOSOL,0.0,0.0
O75663,0.9999971389770508,8.988876309956595e-09,1.0026223286937336e-13,1.0323425669866992e-08,7.349974566750461e-07,9.900432473841647e-08,1.8359514797339216e-06,2.1470025046710361e-07,1.5336844294555618e-10,1.0698835914424443e-11,CYTOSOL,0.9999971389770508,CYTOSOL,0.0,0.0
A0AVT1,0.9999958276748657,1.4214917243293712e-08,2.462875823422417e-13,1.526228210479985e-08,9.357376029583975e-07,1.726329514895042e-07,2.840516117430525e-06,2.421612350644864e-07,4.199523784276238e-10,2.4505546897257702e-11,CYTOSOL,0.9999958276748657,CYTOSOL,0.0,0.0
P22087,1.6528713331354083e-07,2.3298854401332392e-08,3.799735637244339e-09,1.4575657125703856e-08,1.236949742633442e-07,0.999994158744812,1.660863659935785e-07,3.210695012967335e-06,4.938012807542691e-07,1.646170744606934e-06,NUCLEUS/CHROMATIN,0.999994158744812,NUCLEUS/CHROMATIN,0.0,0.0
Q8WTT2,1.233685367196813e-07,1.887675260547894e-08,2.64181987397194e-09,9.025520775196583e-09,1.4055778763122362e-07,0.9999932050704956,1.2803950255602103e-07,3.579767280825763e-06,4.149825656440953e-07,2.4445043891319074e-06,NUCLEUS/CHROMATIN,0.9999932050704956,NUCLEUS/CHROMATIN,0.0,0.0
O43765,0.9999885559082031,6.547313802229837e-08,2.372912847117825e-12,5.732504959610196e-08,2.4034386569837807e-06,5.21884089721425e-07,7.925431418698281e-06,6.170752158141113e-07,2.6897435390083047e-09,1.6467957553167878e-10,CYTOSOL,0.9999885559082031,CYTOSOL,0.0,0.0
Q9UMY1,4.60887207509586e-07,7.57937428375044e-08,1.5242131112813695e-08,4.448152424174623e-08,4.97269297738967e-07,0.9999849796295166,4.40297839077175e-07,6.718464192090323e-06,1.3729887768931803e-06,5.3729522733192425e-06,NUCLEUS/CHROMATIN,0.9999849796295166,NUCLEUS/CHROMATIN,0.0,0.0
Q16543,0.9999828338623047,8.213768865061866e-08,3.510437600329208e-12,8.696625286574999e-08,3.1962631510396022e-06,5.706490355805727e-07,1.2100870662834495e-05,9.419148909728392e-07,2.4654382979605316e-09,2.3105706237203094e-10,CYTOSOL,0.9999828338623047,CYTOSOL,0.0,0.0
P18754,1.253073037332797e-06,1.6522331236501486e-07,9.032443237799725e-09,5.785818402159748e-08,1.3264696008263854e-06,0.9999741315841675,1.5686374581491691e-06,1.7319549442618154e-05,3.7967291177665174e-07,3.7902914300502744e-06,NUCLEUS/CHROMATIN,0.9999741315841675,NUCLEUS/CHROMATIN,0.0,0.0
Q15061,1.9692013353278526e-08,5.795486868187538e-10,5.489223520172004e-10,1.0122180871263708e-09,5.351078158355449e-08,0.9999721050262451,2.8656970130214177e-07,7.501123491238104e-07,2.0310724721639417e-05,6.534910880873213e-06,NUCLEUS/CHROMATIN,0.9999721050262451,NUCLEUS/CHROMATIN,0.0,0.0
Q96E39,1.505634728005134e-08,8.447065824590538e-10,6.189702084213877e-10,1.0574542352870253e-09,4.54568223062779e-08,0.9999703168869019,5.902553539272049e-07,7.861178232815291e-07,1.7848808056442067e-05,1.0295330866938457e-05,NUCLEUS/CHROMATIN,0.9999703168869019,NUCLEUS/CHROMATIN,0.0,0.0
P0C0S5,1.777030888661102e-06,1.91320665976491e-07,1.0153441643012684e-08,6.941623098555283e-08,1.743569328027661e-06,0.9999691247940063,1.8837527022697031e-06,2.1035964891780168e-05,3.7414676512526057e-07,3.835320512735052e-06,NUCLEUS/CHROMATIN,0.9999691247940063,NUCLEUS/CHROMATIN,0.0,0.0
