Protein_ID,126_P1rep1,127N_P2rep1,127C_P3rep1,129N_P4rep1,128C_P5rep1,128N_P6rep1,129C_P7rep1,130N_P8rep1,130C_P9rep1,131_SNrep1,126_P1rep2,127N_P2rep2,127C_P3rep2,129N_P4rep2,128C_P5rep2,128N_P6rep2,129C_P7rep2,130N_P8rep2,130C_P9rep2,131_SNrep2,126_P1rep3,127N_P2rep3,127C_P3rep3,129N_P4rep3,128C_P5rep3,128N_P6rep3,129C_P7rep3,130N_P8rep3,130C_P9rep3,131_SNrep3,Subcellular markers,SVM classification,SVM score,Curated SVM predictions,DeepSP classification,DeepSP score,Curated DeepSP predictions
Q9Y324,0.113,0.027,0.036,0.06,0.104,0.122,0.159,0.225,0.161,0.003,0.06,0.033,0.044,0.062,0.082,0.06,0.172,0.264,0.216,0.005,0.086,0.026,0.042,0.061,0.077,0.083,0.173,0.226,0.22,0.008,unknown,RIBOSOME,0.517706535158438,unknown,NUCLEUS/CHROMATIN,0.9723169654607772,NUCLEUS/CHROMATIN
Q12894,0.027,0.041,0.048,0.049,0.055,0.05,0.055,0.3,0.365,0.014,0.026,0.038,0.047,0.054,0.053,0.034,0.066,0.289,0.384,0.012,0.029,0.041,0.055,0.065,0.057,0.046,0.07,0.261,0.348,0.022,unknown,NUCLEUS/CHROMATIN,0.592502255990812,unknown,RIBOSOME,0.9689287841320038,RIBOSOME
Q9H9L3,0.1,0.03,0.04,0.063,0.112,0.129,0.175,0.194,0.131,0.015,0.066,0.03,0.044,0.07,0.085,0.065,0.183,0.236,0.193,0.021,0.091,0.028,0.047,0.075,0.09,0.088,0.168,0.209,0.188,0.022,unknown,RIBOSOME,0.577495475431964,unknown,NUCLEUS/CHROMATIN,0.9643530994653702,NUCLEUS/CHROMATIN
Q6ZRY4,0.106,0.034,0.056,0.07,0.109,0.108,0.17,0.23,0.098,0.017,0.073,0.054,0.056,0.068,0.079,0.065,0.179,0.3,0.099,0.011,0.131,0.044,0.061,0.071,0.08,0.08,0.185,0.19,0.112,0.03,unknown,RIBOSOME,0.471536675483976,unknown,NUCLEUS/CHROMATIN,0.960150346159935,NUCLEUS/CHROMATIN
Q9Y3C7,0.131,0.051,0.043,0.081,0.128,0.114,0.148,0.172,0.097,0.033,0.086,0.059,0.083,0.115,0.148,0.085,0.175,0.147,0.084,0.017,0.12,0.039,0.063,0.097,0.091,0.11,0.19,0.147,0.108,0.024,unknown,RIBOSOME,0.491863050196664,unknown,NUCLEUS/CHROMATIN,0.9442982673645021,NUCLEUS/CHROMATIN
P42696,0.079,0.024,0.033,0.059,0.104,0.112,0.153,0.236,0.187,0.009,0.049,0.03,0.045,0.054,0.064,0.061,0.148,0.256,0.271,0.015,0.062,0.027,0.039,0.06,0.076,0.08,0.161,0.24,0.243,0.014,unknown,RIBOSOME,0.484828876235553,unknown,NUCLEUS/CHROMATIN,0.9185374528169632,NUCLEUS/CHROMATIN
Q9BRP8-2,0.025,0.034,0.041,0.046,0.073,0.058,0.099,0.261,0.317,0.023,0.022,0.043,0.039,0.056,0.047,0.054,0.1,0.311,0.32,0.028,0.026,0.034,0.051,0.062,0.066,0.07,0.105,0.247,0.317,0.026,unknown,NUCLEUS/CHROMATIN,0.6129417319221,unknown,RIBOSOME,0.916097417473793,RIBOSOME
Q8N3C0,0.045,0.041,0.044,0.052,0.08,0.083,0.098,0.203,0.324,0.032,0.043,0.048,0.059,0.08,0.083,0.065,0.138,0.217,0.236,0.026,0.042,0.046,0.063,0.074,0.078,0.079,0.129,0.193,0.262,0.037,unknown,NUCLEUS/CHROMATIN,0.551324200002141,unknown,RIBOSOME,0.89260233938694,RIBOSOME
Q7Z412-2,0.058,0.083,0.167,0.174,0.24,0.135,0.042,0.028,0.037,0.035,0.022,0.072,0.12,0.187,0.186,0.086,0.062,0.036,0.073,0.156,0.099,0.152,0.147,0.158,0.105,0.08,0.064,0.033,0.017,0.036,unknown,ER,0.35742033428169,unknown,PEROXISOME,0.8740125447511673,PEROXISOME
Q9Y2S0-2,0.091,0.047,0.061,0.067,0.109,0.127,0.139,0.166,0.169,0.021,0.09,0.06,0.069,0.073,0.09,0.074,0.138,0.189,0.189,0.02,0.097,0.051,0.066,0.092,0.086,0.125,0.138,0.188,0.139,0.014,unknown,RIBOSOME,0.562467100313167,unknown,NUCLEUS/CHROMATIN,0.8738607913255692,NUCLEUS/CHROMATIN
