,n113,n114,n115,n116,n117,n118,n119,n121,markers
Q62261,0.27914188928819755,0.2275145462276259,0.04898805812659574,0.1886764151589426,0.39165195465214836,0.4506670471971436,0.11780159227277322,0.024138971449165224,unknown
Q9JHU4,0.15563531463306304,0.18417550949447836,0.06867750082427825,0.09257535481731581,0.1664294404404114,0.5928070305221131,0.314075601108774,0.05001584124638929,unknown
Q9QXS1,0.48225040821298865,0.33229156342200344,0.09815434048840746,0.12957763844332307,0.22910259339800815,0.3022957218862833,0.22158779734763204,0.04554741752456692,unknown
P16546,0.28831170396191774,0.2222725155547616,0.08685696878923493,0.17078263663771928,0.35730409503841914,0.41290173980790157,0.1566632782675667,0.04201352687353248,unknown
Q69ZN7,0.4180315002031561,0.942499502954474,0.20359788964962638,0.27926183409108896,0.16366745395479143,0.07818391507494053,0.028796329332823965,0.011259535870267985,unknown
P30999,0.6359917392524159,0.47568406549072473,0.14514969282927678,0.2410167235531634,0.2713080466348498,0.12088321686161467,0.04199876363329058,0.04468036430267227,Plasma membrane
Q03265,0.048180051754836126,0.06678034029155329,0.03374343817595924,0.13846856621741627,0.8992471937103723,0.39740930776987915,0.12624835905638926,0.0031128074173139755,Mitochondrion
P58252,0.2062061220792943,0.2518545654033649,0.055166216798551965,0.1254108165146076,0.17322093387244833,0.16173084027623053,0.3785403972498613,0.26319697223678573,unknown
P63038,0.045691940502937047,0.06826149801033125,0.02252879703169636,0.15480631038153506,0.9349219653392691,0.3988949787684243,0.07583080988488265,0.009926364899502,Mitochondrion
P52480,0.153005481206506,0.17158219751423043,0.04527103814132149,0.0729946790173133,0.08567983638826941,0.22340724418490432,0.17440144739132807,0.5248510163433445,unknown
Q62318,0.05599950912305594,0.08476453683431813,0.01978957446646487,0.06520464211210254,0.1100080582425714,0.457160130343996,0.2795969956430531,0.34920992823633773,unknown
P08113,0.20614496946157085,0.37146351857229676,0.09330504159835278,0.36865788232412033,0.4455074454215241,0.2408127086859562,0.0502110311107793,0.008358761131773404,Endoplasmic reticulum
P56480,0.04350816075517055,0.07099368439616371,0.015181494903708018,0.14814767571744564,0.9421897791352908,0.4217829554497355,0.07148411118274584,2.642475775154276e-05,Mitochondrion
Q6PB66,0.06309146812610184,0.09844575170960179,0.03855354736264645,0.13821021181833407,0.82546698667444,0.38692816466352176,0.10673422849200984,0.04569693265568187,Mitochondrion
Q8BTM8,0.27186205664923524,0.28484531576601174,0.07185485004050336,0.15658631107572488,0.2671493643063245,0.45184337874237435,0.18975446048261793,0.039939236325492136,unknown
P07901,0.18577353363272958,0.178938211112309,0.038038720581445924,0.05245627350329127,0.044506967878954556,0.028782824195993564,0.015634824643755717,0.8217635343937012,Cytosol
D4AFX7,0.18069524502799628,0.8044616665540597,0.1366573881773847,0.41665509365930925,0.20730194584663678,0.0957902768265769,0.042758632119441684,0.041110208192166674,unknown
Q61543,0.20360034847209274,0.3899729578635967,0.16084853979676497,0.3898879315952094,0.32121173981891626,0.17160008832080353,0.09321931583435705,0.047580230407103664,unknown
Q9CQN1,0.13501944697434928,0.16358595483512942,0.07471195724620491,0.05895102921968519,0.12192328246854674,0.0539619590810464,0.029481153690985636,0.757703707646696,Mitochondrion
P38647,0.047460267332264536,0.07391330791206668,0.020018869137036446,0.14297059453793157,0.919626310944922,0.4234096499311844,0.08000506704744692,0.004629539424693944,Mitochondrion
P43247,0.09584444503653525,0.13458689983901004,0.04970996301760829,0.06657272613848567,0.11877816938510284,0.5333183801743868,0.22554991551831424,0.2704173592891614,unknown
P80318,0.21955550671926863,0.2621465140704227,0.045490361636421256,0.10984271026504942,0.13214224120284918,0.20021983554138761,0.18738217233762236,0.4049464120726684,unknown
Q80U72,0.7792080015389263,0.5206198098210143,0.10703813515539475,0.17391026220155634,0.2163088185879502,0.12173850888672537,0.04862806315063616,0.057375593303619014,Plasma membrane
Q8BHN3,0.21884254258759017,0.36020542253618865,0.12246521820843444,0.32917078971912933,0.4353873764408265,0.23706966642845817,0.06462261407493392,0.02743199505697839,unknown
P27773,0.12736371745169886,0.3417714945173045,0.07540384100818903,0.3815250414010595,0.4469636035265289,0.2772581605028608,0.05657196108315226,0.021147642499257928,Endoplasmic reticulum
Q3U7R1,0.3079673151697266,0.4109237880557167,0.21486930728665043,0.27827205247103315,0.32914457136234787,0.1802809292368569,0.0811205666839694,0.06174353122983049,unknown
Q922D8,0.17203053962850084,0.25377060948234453,0.09683189891647102,0.16567369168723495,0.22883226521457697,0.15708435024796144,0.4784735902931141,0.12380715144392473,unknown
Q9CPY7,0.10089707520807341,0.13508354097355538,0.03418891507307796,0.11481094068871302,0.5879962424502568,0.28859695800754337,0.07927677635895665,0.26743087727417153,unknown
Q99K87,0.060991170900423934,0.08472038041304145,0.024288307682084603,0.14724624894910576,0.924825222857957,0.38504904427068376,0.08913253747944926,0.008547785941601606,unknown
P08249,0.051284916890157704,0.06488862943709112,0.035327932916384974,0.1328339700575318,0.9480184268141595,0.3675727266686873,0.12109705583201266,0.006483278697191495,Mitochondrion
P27659,0.15637678920184211,0.22315631713529152,0.049205164851921786,0.22142044341665607,0.30589265100286045,0.2306112058452555,0.29427150687661213,0.14908890349860313,60S Ribosome
Q02248,0.8977320769146768,0.594349285801952,0.14674446647825115,0.18793823699030424,0.17524814737939834,0.07666639489204755,0.0290607838519774,0.012901574931587266,Plasma membrane
Q3V3R1,0.0784445753158146,0.10370883702107485,0.035693592326435986,0.14011347170653715,0.8942339422740082,0.3778062175660998,0.09058450061586294,0.01575069805146969,Mitochondrion
Q9D8E6,0.19389570111451213,0.23382488052244765,0.09289927526362679,0.17506753697938363,0.27549194439721647,0.17771015896275674,0.4196899631816803,0.1150762889818848,60S Ribosome
O35129,0.08781226104690883,0.10665459622257069,0.03713982758571849,0.1468698439100784,0.8679872295456172,0.3695782456011971,0.0987796067215772,0.018546111356396316,unknown
P05064,0.25236873120735115,0.2652181410774182,0.03993324989901228,0.08703165585486285,0.07123782974675509,0.0400464600495692,0.01739516636994664,0.6971282447328075,Cytosol
P09103,0.13130244381629513,0.3241940911852779,0.08016208521558839,0.39032883955925046,0.4509156917774057,0.28546949569882996,0.04562798104937945,0.015717134999808122,Endoplasmic reticulum
P20029,0.20771624430260724,0.34722907373788925,0.10937824403440867,0.3541244414722702,0.44456859798910014,0.24670682284233642,0.05957877495851547,0.012353520532561129,Endoplasmic reticulum
P47738,0.035122154552861926,0.05596941237283916,0.021123820876758983,0.13410252369788678,0.9391228899536861,0.4163780873692961,0.09431374206505254,0.009315974147635837,Mitochondrion
P51432,0.5860611810033353,0.8266258337156794,0.09726220046633002,0.21562196012595897,0.1804794432364516,0.09822668640519332,0.032820948201111325,0.04815660162923699,unknown
P68040,0.17925404987965518,0.20902330592522422,0.036949667517659435,0.16323734139221974,0.27884911407314056,0.24783245615544447,0.33888393797716887,0.16926982440746247,unknown
P80314,0.22094799137372076,0.2665444950135343,0.04960192583559606,0.09841075338935731,0.11834257784822294,0.1717517819706174,0.14594562702523975,0.47195655677782283,unknown
Q8K2B3,0.09291025397959625,0.11944622376120365,0.04764725211546341,0.15172582515189853,0.8535019143221539,0.36967534712196637,0.09021067294246123,0.016541283605083466,Mitochondrion
A2AQR0,0.08085494489814683,0.11692050165213133,0.03934747089047108,0.15801696321586145,0.8306205565217514,0.39731442596253214,0.08945827893648388,0.013119185974134516,unknown
A2ARV4,0.40896786528648965,0.8668815999640065,0.15625361764240941,0.22518347426492474,0.1567287147130275,0.11257288909604868,0.06490914663515054,0.06456090790124244,unknown
P09055,0.6069444242514961,0.6689244097021769,0.16863365278546963,0.24795522516342444,0.21240161035422986,0.10686395997460336,0.040225228964178836,0.011230204799210273,Plasma membrane
P16858,0.13537125657262494,0.1589138259839984,0.028571176800621715,0.06428798371104825,0.05611863990698255,0.0536470427099784,0.051092588508121976,0.7957740440644329,unknown
P20152,0.2579073100637687,0.24798166611659772,0.06492737926029118,0.12165635165418563,0.20577483517976955,0.35079380153061757,0.22572082317913278,0.18371297255281657,unknown
P25206,0.13388831435740634,0.1396221213538949,0.05525426926434057,0.08269145177571786,0.14006902850858166,0.2867478353078083,0.1940127912240542,0.43886675518260765,unknown
P26231,0.6703559516605498,0.5916691786945555,0.11162006624355258,0.23485698626484802,0.24327225482508488,0.0967346080602128,0.046456228605809474,0.03262834570760771,Plasma membrane
P26443,0.05584021336122578,0.07614667675803506,0.025757772370201243,0.14298215405881684,0.8858903826558234,0.41873330080162635,0.10033636755393517,0.004839173238660087,Mitochondrion
P62908,0.1360019118537249,0.17439532691328694,0.059353169363711815,0.14445978857419556,0.24010598837869113,0.17527720393940147,0.5185965558868656,0.1579336099736066,40S Ribosome
Q01853,0.13456106572527923,0.2187015442751891,0.06012129555493301,0.1289005375732768,0.11901490826339575,0.06502797352880196,0.027067442592273498,0.6742535765747584,unknown
Q02053,0.1061751510184357,0.16780455187375218,0.03140587277320346,0.06297204337507177,0.06214092256246309,0.047109301858012466,0.030299349958638765,0.8238339448227243,Cytosol
Q61316,0.07516425120235405,0.12238579696721828,0.022517834040835107,0.0572863751411679,0.05118406012278588,0.030203804659953464,0.017028325967522105,0.8956683758629723,Cytosol
Q61656,0.13716944704478967,0.21377362898108118,0.0412302629462,0.16983203144306125,0.23153323269286155,0.24185413176137846,0.3095701164866957,0.23374631290102876,Nucleus - Nucleolus
Q61739,0.6948584396707578,0.6581370593693537,0.11013929600359901,0.2144792529084905,0.21083565568152135,0.12466508474603812,0.040596181549843846,0.013329004861754219,Plasma membrane
Q62351,0.34843858168848063,0.7353121943433105,0.29482060288200723,0.31539301795288605,0.22312197698567424,0.08571243295254889,0.036629278796369874,0.012170391593058057,unknown
Q64737,0.1794169537435137,0.23181266911105963,0.04636108120112958,0.0625764662844474,0.0611507354427924,0.05747624292513619,0.04571292612987235,0.7367845144134408,unknown
