data,method,f1score,precision,recall,accuracy,quadloss
E14TG2aR,ColumnMaxMin,0.911078842,0.906664812,0.927151211,0.948630137,0.505131565
E14TG2aR,ColumnMaxMin,0.875530253,0.869027985,0.88445071,0.924657534,0.074601232
E14TG2aR,ColumnMaxMin,0.90010933,0.903777451,0.901626462,0.938356164,0.623902388
E14TG2aR,ColumnMaxMin,0.884778316,0.875943088,0.8981934,0.928082192,0.146489335
E14TG2aR,ColumnMaxMin,0.871119826,0.87138114,0.871893275,0.917808219,0.092814141
E14TG2aR,ColumnMaxMin,0.897729763,0.891741587,0.91355472,0.941780822,0.142319316
E14TG2aR,ColumnMaxMin,0.877852397,0.868768515,0.899362991,0.924657534,0.667945163
E14TG2aR,ColumnMaxMin,0.867660003,0.855546983,0.890789474,0.924657534,1.258874923
E14TG2aR,ColumnMaxMin,0.913554325,0.913599035,0.923010652,0.948630137,0.161502186
E14TG2aR,ColumnMaxMin,0.894091907,0.895579008,0.900266291,0.941780822,0.260891385
E14TG2aR,ColumnMaxMin,0.875593096,0.867848066,0.888907164,0.924657534,0.518188315
E14TG2aR,ColumnMaxMin,0.87144392,0.864528918,0.884236633,0.924657534,0.165987294
E14TG2aR,ColumnMaxMin,0.896419001,0.893099817,0.905276211,0.945205479,0.12972372
E14TG2aR,ColumnMaxMin,0.887017073,0.887051845,0.890066312,0.924657534,0.09088011
E14TG2aR,ColumnMaxMin,0.894270683,0.89592854,0.895864662,0.941780822,0.093771741
E14TG2aR,ColumnMaxMin,0.881137914,0.885244963,0.884213137,0.931506849,0.53369695
E14TG2aR,ColumnMaxMin,0.859961214,0.855300452,0.868768275,0.914383562,0.197950243
E14TG2aR,ColumnMaxMin,0.866085571,0.863397408,0.871940267,0.921232877,0.046007163
E14TG2aR,ColumnMaxMin,0.904499542,0.898883898,0.918768275,0.941780822,0.415325901
E14TG2aR,ColumnMaxMin,0.88014529,0.879877868,0.88817878,0.924657534,0.183735109
E14TG2aR,ColumnMaxMin,0.888784645,0.885876457,0.894862155,0.934931507,0.173402736
E14TG2aR,ColumnMaxMin,0.910064665,0.896841671,0.928302527,0.938356164,0.654535263
E14TG2aR,ColumnMaxMin,0.85443995,0.852660543,0.861366959,0.914383562,0.089175273
E14TG2aR,ColumnMaxMin,0.890687085,0.891073249,0.905560777,0.934931507,0.443540484
E14TG2aR,ColumnMaxMin,0.892800876,0.896312369,0.890906955,0.934931507,0.042677858
E14TG2aR,ColumnMaxMin,0.888341783,0.887075228,0.896441625,0.934931507,0.117970401
E14TG2aR,ColumnMaxMin,0.898372226,0.8970461,0.904482561,0.941780822,0.12588682
E14TG2aR,ColumnMaxMin,0.899410925,0.893216958,0.909904971,0.938356164,0.126876303
E14TG2aR,ColumnMaxMin,0.877115748,0.866559382,0.895553989,0.924657534,0.386626294
E14TG2aR,ColumnMaxMin,0.875343362,0.872322663,0.889491959,0.928082192,0.512254343
E14TG2aR,ColumnMaxMin,0.900669039,0.90370194,0.907926065,0.938356164,0.61308398
E14TG2aR,ColumnMaxMin,0.881768706,0.878108203,0.889700815,0.934931507,0.212556552
E14TG2aR,ColumnMaxMin,0.881879132,0.873560445,0.893930138,0.931506849,0.088508003
E14TG2aR,ColumnMaxMin,0.881964286,0.885122719,0.889160401,0.931506849,0.096432022
E14TG2aR,ColumnMaxMin,0.88407186,0.879432815,0.891938179,0.931506849,0.145435632
E14TG2aR,ColumnMaxMin,0.901342313,0.895634372,0.909897139,0.938356164,0.158013899
E14TG2aR,ColumnMaxMin,0.87684711,0.870135742,0.885878759,0.938356164,0.140775752
E14TG2aR,ColumnMaxMin,0.880116251,0.876466319,0.890805138,0.928082192,0.372887535
E14TG2aR,ColumnMaxMin,0.889720185,0.879797289,0.904487782,0.931506849,0.129881555
E14TG2aR,ColumnMaxMin,0.906969491,0.902141146,0.915155075,0.948630137,0.160437342
E14TG2aR,ColumnMaxMin,0.870890536,0.876847349,0.871642648,0.928082192,0.197057993
E14TG2aR,ColumnMaxMin,0.905052479,0.90826443,0.907879073,0.934931507,0.158132367
E14TG2aR,ColumnMaxMin,0.882378648,0.880740047,0.890152464,0.921232877,0.799512737
E14TG2aR,ColumnMaxMin,0.872041491,0.869821655,0.885194758,0.928082192,0.127628944
E14TG2aR,ColumnMaxMin,0.882546704,0.879244115,0.892039996,0.934931507,0.090718275
E14TG2aR,ColumnMaxMin,0.923031561,0.921330418,0.927213868,0.955479452,0.255692125
E14TG2aR,ColumnMaxMin,0.860592435,0.853044129,0.871546053,0.914383562,0.207079165
E14TG2aR,ColumnMaxMin,0.858915261,0.849362304,0.88200188,0.917808219,0.480940322
E14TG2aR,ColumnMaxMin,0.88770102,0.885892865,0.89179198,0.934931507,0.08750756
E14TG2aR,ColumnMaxMin,0.885508477,0.881178282,0.893969298,0.931506849,0.152340035
E14TG2aR,ColumnMaxMin,0.883225731,0.886312429,0.893170426,0.931506849,0.258861043
E14TG2aR,ColumnMaxMin,0.851662788,0.850652574,0.859142648,0.907534247,0.587123875
E14TG2aR,ColumnMaxMin,0.906568624,0.900542469,0.919076337,0.941780822,0.377641051
E14TG2aR,ColumnMaxMin,0.857602301,0.853584011,0.86927736,0.924657534,0.275534263
E14TG2aR,ColumnMaxMin,0.898678857,0.89329737,0.906182122,0.941780822,0.099847259
E14TG2aR,ColumnMaxMin,0.88834329,0.889372539,0.892541249,0.941780822,0.111168464
E14TG2aR,ColumnMaxMin,0.882452722,0.873846548,0.89664787,0.931506849,0.483642449
E14TG2aR,ColumnMaxMin,0.872062893,0.865730072,0.880680869,0.931506849,0.065362969
E14TG2aR,ColumnMaxMin,0.867096755,0.861365308,0.882205514,0.928082192,0.278204764
E14TG2aR,ColumnMaxMin,0.897180448,0.896876896,0.908936404,0.931506849,0.299259184
E14TG2aR,ColumnMaxMin,0.891365302,0.887058676,0.899571846,0.928082192,0.225554105
E14TG2aR,ColumnMaxMin,0.835153393,0.829662028,0.847070802,0.900684932,0.543447408
E14TG2aR,ColumnMaxMin,0.914668406,0.913954324,0.923780806,0.948630137,0.142181787
E14TG2aR,ColumnMaxMin,0.87895679,0.874854312,0.888116124,0.934931507,0.097265568
E14TG2aR,ColumnMaxMin,0.882910459,0.879083424,0.889366646,0.924657534,0.288347917
E14TG2aR,ColumnMaxMin,0.878706115,0.877277772,0.884758772,0.931506849,0.06457383
E14TG2aR,ColumnMaxMin,0.873195244,0.863286842,0.887319862,0.921232877,0.208783346
E14TG2aR,ColumnMaxMin,0.884026425,0.872496217,0.899537907,0.924657534,0.066844484
E14TG2aR,ColumnMaxMin,0.893178376,0.892312474,0.910928363,0.934931507,0.169609266
E14TG2aR,ColumnMaxMin,0.8709423,0.870312178,0.873287385,0.928082192,0.235366589
E14TG2aR,ColumnMaxMin,0.881451276,0.884246324,0.887489557,0.931506849,0.155622767
E14TG2aR,ColumnMaxMin,0.917583167,0.918460889,0.920363409,0.945205479,0.076578546
E14TG2aR,ColumnMaxMin,0.909345434,0.903371244,0.925219298,0.945205479,0.097923701
E14TG2aR,ColumnMaxMin,0.852882033,0.846990039,0.86445802,0.917808219,0.317849167
E14TG2aR,ColumnMaxMin,0.870691627,0.875952794,0.874018379,0.910958904,0.156638573
E14TG2aR,ColumnMaxMin,0.893300201,0.887051874,0.902057226,0.928082192,0.106370777
E14TG2aR,ColumnMaxMin,0.830133429,0.832371658,0.844387009,0.904109589,0.579671871
E14TG2aR,ColumnMaxMin,0.892402565,0.8853348,0.902657686,0.938356164,0.151017269
E14TG2aR,ColumnMaxMin,0.910129089,0.911436627,0.911591479,0.945205479,0.089105803
E14TG2aR,ColumnMaxMin,0.892173196,0.886691627,0.900911132,0.938356164,0.127171713
E14TG2aR,ColumnMaxMin,0.864598016,0.854740642,0.87774906,0.924657534,0.248526307
E14TG2aR,ColumnMaxMin,0.89113676,0.891927166,0.890948726,0.941780822,0.083961377
E14TG2aR,ColumnMaxMin,0.885504274,0.876480973,0.901156537,0.931506849,0.464098247
E14TG2aR,ColumnMaxMin,0.899392535,0.896695035,0.90338868,0.934931507,0.109737454
E14TG2aR,ColumnMaxMin,0.897865728,0.89398696,0.903255535,0.934931507,0.389853933
E14TG2aR,ColumnMaxMin,0.912432275,0.906226547,0.922096909,0.952054795,0.138632558
E14TG2aR,ColumnMaxMin,0.922507605,0.920066188,0.92657947,0.948630137,0.065754194
E14TG2aR,ColumnMaxMin,0.861358395,0.851513903,0.879030911,0.910958904,0.408995272
E14TG2aR,ColumnMaxMin,0.876352177,0.871991891,0.887667084,0.928082192,0.069225446
E14TG2aR,ColumnMaxMin,0.90173089,0.904930426,0.902172097,0.945205479,0.078783834
E14TG2aR,ColumnMaxMin,0.88548937,0.877865549,0.896801901,0.931506849,0.432229742
E14TG2aR,ColumnMaxMin,0.88890732,0.885997921,0.896801901,0.928082192,0.220311668
E14TG2aR,ColumnMaxMin,0.868905521,0.862634893,0.880427632,0.921232877,0.173258131
E14TG2aR,ColumnMaxMin,0.907032558,0.901780554,0.915799916,0.941780822,0.322772138
E14TG2aR,ColumnMaxMin,0.860346933,0.858162413,0.870553989,0.914383562,0.801516824
E14TG2aR,ColumnMaxMin,0.874510737,0.867061993,0.886575815,0.928082192,0.20769437
E14TG2aR,ColumnMaxMin,0.88014638,0.870920734,0.897937552,0.921232877,0.118259298
