"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0114440411961032
"LOPITDC2019","MCMC",0.973867203581489,0.965521978021978,0.984854489164087,0.975,0.0514745261606196
"LOPITDC2019","MCMC",1,1,1,1,0.00027008908205355
"LOPITDC2019","MCMC",1,1,1,1,6.06870404129872e-13
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166151615989275
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.010579571719851
"LOPITDC2019","MCMC",0.977350209314495,0.973214285714286,0.984235294117647,0.975,0.0500868126411012
"LOPITDC2019","MCMC",1,1,1,1,3.15482152916735e-09
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0105198559677856
"LOPITDC2019","MCMC",1,1,1,1,0.00156653617225177
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0103150074860465
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166665423692582
"LOPITDC2019","MCMC",1,1,1,1,4.13281892064025e-07
"LOPITDC2019","MCMC",0.991292517006803,0.9875,0.996,0.991666666666667,0.0166638664520738
"LOPITDC2019","MCMC",0.9842622139765,0.979807692307692,0.990117647058824,0.983333333333333,0.0340395764318064
"LOPITDC2019","MCMC",0.980897506611792,0.973214285714286,0.990736842105263,0.983333333333333,0.0333194697532623
"LOPITDC2019","MCMC",1,1,1,1,0.00261422335931464
"LOPITDC2019","MCMC",1,1,1,1,0.00257585842458482
"LOPITDC2019","MCMC",1,1,1,1,0.000648416929521452
"LOPITDC2019","MCMC",1,1,1,1,4.43336293116775e-07
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0171156265065041
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0105752741594188
"LOPITDC2019","MCMC",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,0.0278795671247952
"LOPITDC2019","MCMC",0.991292517006803,0.9875,0.996,0.991666666666667,0.01751619934029
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166665635737648
"LOPITDC2019","MCMC",1,1,1,1,0.00395806268875932
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0106748867883408
"LOPITDC2019","MCMC",1,1,1,1,3.01247806828031e-12
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0111743247840693
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0166547590208412
"LOPITDC2019","MCMC",1,1,1,1,1.05717287776248e-08
"LOPITDC2019","MCMC",1,1,1,1,1.59426406813584e-11
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166670554685999
"LOPITDC2019","MCMC",1,1,1,1,0.00161843491340618
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0106234118563759
"LOPITDC2019","MCMC",1,1,1,1,3.18434320609791e-07
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0171148680657855
"LOPITDC2019","MCMC",0.991292517006803,0.9875,0.996,0.991666666666667,0.0171876906259137
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0188182552665844
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0105613731801332
"LOPITDC2019","MCMC",1,1,1,1,3.98557985517624e-07
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0166567017085385
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166264239607856
"LOPITDC2019","MCMC",1,1,1,1,8.19536521039672e-09
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0169154405349407
"LOPITDC2019","MCMC",1,1,1,1,0.00246184316207874
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166668263604361
"LOPITDC2019","MCMC",1,1,1,1,0.00101699373924456
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0191153477103208
"LOPITDC2019","MCMC",0.98240002066089,0.98015873015873,0.98640350877193,0.983333333333333,0.0272039015430153
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0169182643783493
"LOPITDC2019","MCMC",1,1,1,1,4.19841086206872e-07
"LOPITDC2019","MCMC",0.991292517006803,0.9875,0.996,0.991666666666667,0.0187338708328433
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0183002481176261
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0166570183430082
"LOPITDC2019","MCMC",1,1,1,1,0.00106119483720762
"LOPITDC2019","MCMC",1,1,1,1,4.36201693197017e-07
"LOPITDC2019","MCMC",1,1,1,1,3.1155929166099e-09
"LOPITDC2019","MCMC",1,1,1,1,0.00374191522597978
"LOPITDC2019","MCMC",0.986057692307692,0.985714285714286,0.988235294117647,0.983333333333333,0.0340144477225767
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166665413904131
"LOPITDC2019","MCMC",0.98578431372549,0.98578431372549,0.98578431372549,0.983333333333333,0.0286392155416005
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0166566889183799
"LOPITDC2019","MCMC",1,1,1,1,0.000595470581055542
"LOPITDC2019","MCMC",0.986057692307692,0.985714285714286,0.988235294117647,0.983333333333333,0.0332993056535345
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0181002327483728
"LOPITDC2019","MCMC",0.9842622139765,0.979807692307692,0.990117647058824,0.983333333333333,0.0335914296855426
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0183726953711844
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0171558597628582
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0166571259473205
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166665498252145
"LOPITDC2019","MCMC",1,1,1,1,0.000870688510748559
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0166551485567661
"LOPITDC2019","MCMC",1,1,1,1,0.000746533108868501
