"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.74999805723527
"LOPITDC2019","NB",0.961410164065626,0.973925339366516,0.95678431372549,0.975,1.84753455385873
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667,1.83333100150409
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.64999999986933
"LOPITDC2019","NB",0.983333333333333,0.977777777777778,0.992,0.983333333333333,1.63333333360866
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.88333333315775
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.7999999999983
"LOPITDC2019","NB",1,1,1,1,1.85117429546683
"LOPITDC2019","NB",1,1,1,1,1.74945652759937
"LOPITDC2019","NB",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333,1.81269403425738
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.6666065433753
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.8166466893586
"LOPITDC2019","NB",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333,1.7958610242777
"LOPITDC2019","NB",1,1,1,1,1.7499813753706
"LOPITDC2019","NB",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,1.78331242273149
"LOPITDC2019","NB",1,1,1,1,1.74990220819652
"LOPITDC2019","NB",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,1.75000000530841
"LOPITDC2019","NB",0.944444444444444,0.989473684210526,0.933333333333333,0.983333333333333,1.79993498142188
"LOPITDC2019","NB",1,1,1,1,1.74992129591458
"LOPITDC2019","NB",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,1.69999693349984
"LOPITDC2019","NB",1,1,1,1,1.88333333148694
"LOPITDC2019","NB",1,1,1,1,1.74992020019248
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.8485750076436
"LOPITDC2019","NB",1,1,1,1,1.83333089529837
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.63333333167606
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.86666643655328
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.73333333149753
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.79999998545083
"LOPITDC2019","NB",0.955187969924812,0.980952380952381,0.941666666666667,0.966666666666667,1.71814213644373
