"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.22896026666667
"LOPITDC2019","RF",0.986057692307692,0.985714285714286,0.988235294117647,0.983333333333333,1.23867973333333
"LOPITDC2019","RF",1,1,1,1,1.241065
"LOPITDC2019","RF",1,1,1,1,1.2231444
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.23980346666667
"LOPITDC2019","RF",1,1,1,1,1.23221906666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.24282906666667
"LOPITDC2019","RF",1,1,1,1,1.22278613333333
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.23832573333333
"LOPITDC2019","RF",1,1,1,1,1.24114073333333
"LOPITDC2019","RF",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.2156418
"LOPITDC2019","RF",1,1,1,1,1.21791186666667
"LOPITDC2019","RF",0.9842622139765,0.979807692307692,0.990117647058824,0.983333333333333,1.24504753333333
"LOPITDC2019","RF",1,1,1,1,1.25064986666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.23225786666667
"LOPITDC2019","RF",0.9842622139765,0.979807692307692,0.990117647058824,0.983333333333333,1.25388433333333
"LOPITDC2019","RF",1,1,1,1,1.24511226666667
"LOPITDC2019","RF",1,1,1,1,1.22911606666667
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.2285922
"LOPITDC2019","RF",1,1,1,1,1.25396773333333
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.23996506666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.21972646666667
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.2072274
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.24347886666667
"LOPITDC2019","RF",0.9842622139765,0.979807692307692,0.990117647058824,0.983333333333333,1.25359853333333
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.21262806666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.2060014
"LOPITDC2019","RF",1,1,1,1,1.2167416
"LOPITDC2019","RF",0.977606177606178,0.985,0.975,0.975,1.21737953333333
"LOPITDC2019","RF",0.976646052360338,0.976973684210526,0.979333333333333,0.975,1.24942793333333
"LOPITDC2019","RF",1,1,1,1,1.24283506666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.231704
"LOPITDC2019","RF",1,1,1,1,1.24941406666667
"LOPITDC2019","RF",1,1,1,1,1.21217093333333
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,1.22122746666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.23902253333333
"LOPITDC2019","RF",1,1,1,1,1.2370518
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.23315146666667
"LOPITDC2019","RF",1,1,1,1,1.24893573333333
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.23563246666667
"LOPITDC2019","RF",1,1,1,1,1.23557773333333
"LOPITDC2019","RF",1,1,1,1,1.2513284
"LOPITDC2019","RF",1,1,1,1,1.2279788
"LOPITDC2019","RF",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333,1.2502684
"LOPITDC2019","RF",1,1,1,1,1.25017993333333
"LOPITDC2019","RF",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.21919866666667
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.2404702
"LOPITDC2019","RF",1,1,1,1,1.2269814
"LOPITDC2019","RF",0.970117647058824,0.986425339366516,0.96078431372549,0.983333333333333,1.248288
"LOPITDC2019","RF",0.970117647058824,0.986425339366516,0.96078431372549,0.983333333333333,1.23607193333333
"LOPITDC2019","RF",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.23325866666667
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,1.22635466666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.23625053333333
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,1.21761426666667
"LOPITDC2019","RF",1,1,1,1,1.2160124
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.2159426
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.24689606666667
"LOPITDC2019","RF",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.21049953333333
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.24588166666667
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.23911333333333
"LOPITDC2019","RF",0.970117647058824,0.986425339366516,0.96078431372549,0.983333333333333,1.20634213333333
"LOPITDC2019","RF",1,1,1,1,1.246809
"LOPITDC2019","RF",1,1,1,1,1.2256428
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,1.2095992
"LOPITDC2019","RF",1,1,1,1,1.2266506
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.25438553333333
"LOPITDC2019","RF",1,1,1,1,1.22351413333333
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.22551693333333
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.223612
"LOPITDC2019","RF",0.9842622139765,0.979807692307692,0.990117647058824,0.983333333333333,1.22101026666667
"LOPITDC2019","RF",1,1,1,1,1.21497826666667
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.2067936
