"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","SVM",0.983303860890068,0.979047619047619,0.989473684210526,0.983333333333333,1.4040851330447
"LOPITDC2019","SVM",0.979202556788764,0.98280701754386,0.978070175438597,0.975,0.942629389398683
"LOPITDC2019","SVM",0.981751152073733,0.982352941176471,0.984210526315789,0.975,0.699296676244322
"LOPITDC2019","SVM",0.987777777777778,0.9875,0.989473684210526,0.983333333333333,0.242456661769071
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.878236595106954
"LOPITDC2019","SVM",0.987777777777778,0.9875,0.989473684210526,0.983333333333333,0.777264389392486
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.0204060509487683
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.07226893819374
"LOPITDC2019","SVM",0.981751152073733,0.982352941176471,0.984210526315789,0.975,0.266384284368032
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.252529054518052
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,0.0241282313069585
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.1308332276141
"LOPITDC2019","SVM",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0245540866666672
"LOPITDC2019","SVM",0.962800982800983,0.985,0.95,0.975,0.758260154553096
"LOPITDC2019","SVM",0.967104687427268,0.971826625386997,0.967543859649123,0.958333333333333,1.33869180665488
"LOPITDC2019","SVM",0.970991878578085,0.987777777777778,0.96140350877193,0.983333333333333,0.254729271060401
"LOPITDC2019","SVM",0.985141538442031,0.980833333333333,0.990736842105263,0.983333333333333,1.22326602395484
"LOPITDC2019","SVM",0.980572808833678,0.981944444444444,0.981140350877193,0.975,0.157298969565817
