,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,R2_Con_03,R2_Con_06,R2_Con_12,R2_Con_24,R2_Con_80,R3_Con_03,R3_Con_06,R3_Con_12,R3_Con_24,R3_Con_80,markers
Q92887,0.21409730955838016,0.21650537913395967,0.20451804981024757,0.22384694136021507,0.1118708826069508,0.1930844145492108,0.18109653417323385,0.25454444426698314,0.262490654429736,0.08525546524347849,0.17305879279429265,0.14924675280724867,0.08911373100545279,0.22658230738457805,0.08695271319799987,Plasma membrane
Q13443;Q13443-2,0.31699548619473567,0.2578217413944949,0.22947493299743912,0.20795615291196295,0.08307027308789285,0.25719850488949253,0.2222755952896407,0.3293643282362719,0.27606332424306906,0.0773319984079999,0.22975130575344216,0.17040629134808555,0.1020046657248259,0.1903994386956418,0.07224021754978453,Plasma membrane
Q9H6X2;Q9H6X2-5;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2;Q9H6X2-3,0.28200193940701285,0.18826468261815202,0.2152840072203006,0.23052520043830563,0.10695094403084951,0.1788549987602018,0.17023198329681383,0.2884309405899208,0.30787283488177924,0.07615891274630332,0.18599564812821495,0.12095841196443877,0.07740826210929054,0.22609527060601556,0.08315576289533681,Plasma membrane
O95782;O95782-2,0.12383331271390714,0.27050322366915536,0.35202070196078594,0.32997052723398185,0.09107741663757138,0.11426112015099683,0.1901248154210864,0.4360792052555011,0.36388912451947913,0.08310090698163612,0.09902568724305852,0.15133209980139548,0.12211918849173829,0.22778264633483927,0.07016493856076593,Plasma membrane
O94973;O94973-2;O94973-3,0.13044203471870322,0.2686724804331889,0.3560916403380859,0.3259766642593342,0.0835478741490266,0.12052516414056463,0.19136381938463892,0.4551450646148539,0.38865761168195895,0.07916265583421207,0.10863708850939212,0.1569390370518714,0.12868506424077328,0.23467176294502087,0.06528462560291988,Plasma membrane
Q96CW1;Q96CW1-2,0.13343404763446215,0.2618296160618431,0.3576736478563419,0.3110123413490156,0.0903353853504807,0.11990553259266229,0.19146696047712572,0.45117995624499463,0.3736518073416992,0.08232607743805669,0.10715767080222438,0.16293617850471015,0.12219795954386348,0.24680374482888498,0.06958987658533065,Plasma membrane
P05023;P05023-4;P05023-3;P05023-2,0.08921534866495007,0.10227935786299132,0.1409757160138467,0.1933999815107979,0.1364440314638594,0.07522371507040418,0.08938230773872761,0.2156171903916432,0.3075479354462084,0.12906704216657452,0.05494137485115031,0.060064395727966964,0.05252100895824003,0.19766424624608012,0.12633768082590546,Plasma membrane
P05026;P05026-2,0.11162443648079191,0.1016399644518726,0.13847726658133014,0.2052430764869914,0.13484823413285038,0.07609409854191578,0.088491202742045,0.19602492289035212,0.3153559917380248,0.12228363470507568,0.055315392247413206,0.058775867993741446,0.05077867551888885,0.210171000485965,0.10803150590767957,Plasma membrane
P54709,0.1041709719929188,0.09977992232255964,0.14045724513550617,0.20641893261340244,0.1314967247482733,0.07334120214929103,0.088488293881005,0.2160548323999799,0.33181855262721677,0.11276591175599272,0.05574196892873211,0.061740854670703456,0.053213572082877886,0.20295359436941024,0.10895920862767379,Plasma membrane
P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2,0.07808616784640493,0.09894545407580135,0.14213031776994542,0.20315910290902559,0.13442106761023215,0.06631697103157554,0.08449745998050623,0.23522409037783226,0.3072861335797961,0.14275623065688553,0.04768717271670177,0.054185423460617575,0.051420975657885615,0.18814784988435665,0.1208983589529571,Plasma membrane
P80723;P80723-2,0.24252397498081635,0.18953475207995363,0.22039169397155378,0.21470479749876023,0.07834643316006087,0.16626512123253634,0.17181736827113603,0.35880056868206955,0.3399384085445008,0.08208480323808139,0.14208893022389013,0.14282265117166862,0.12599736986056234,0.28804482920616087,0.08032565984025403,Plasma membrane
P35613;P35613-2;P35613-4;P35613-3,0.1137549542414074,0.10869472178536897,0.1461319082918775,0.19774680811094772,0.1331602676416622,0.07575355531863846,0.10332976800068822,0.24721976731843542,0.31576306721210173,0.13134203349737955,0.0630758297031477,0.06678420796682213,0.06451186909900215,0.21250710130488812,0.10853430046520196,Plasma membrane
Q6YHK3;Q6YHK3-4;Q6YHK3-2,0.14213597623579632,0.12678306562925104,0.1535531662811538,0.17766241378291134,0.11877840769713678,0.09922307709423384,0.11274046631092753,0.23827345382828768,0.2822749549705178,0.12295309583429836,0.07938358506005828,0.08250929292999394,0.06399941560849651,0.19008294987407084,0.11474508415753906,Plasma membrane
P16070;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070-18;P16070-12;P16070-14;P16070-13;P16070-8,0.11179503325683957,0.11792810039427483,0.14220556000269974,0.1841521999822676,0.135322918441598,0.06732091436983632,0.096643722389374,0.23936523040351154,0.31064285514295975,0.14371238916903886,0.05025787253574689,0.06422384046613375,0.05770923623543684,0.1887017254106189,0.11279046396237843,Plasma membrane
P08174;P08174-2;P08174-4;P08174-3;P08174-5;P08174-6;P08174-7,0.15824650523081196,0.13829491764013632,0.15567520349372085,0.17232933694747338,0.11817192723991837,0.11304881586830551,0.11650480514082324,0.26558069411437873,0.29086261754790615,0.12216656947689453,0.08295788941433933,0.08386702574797807,0.06478093026577575,0.18675766407636557,0.10626723836582251,Plasma membrane
P13987,0.19815455522049732,0.1943047396027034,0.19447855868863742,0.20518630513464967,0.1032657667210381,0.13215625859911556,0.16015287143974605,0.311288185348939,0.3160501760107402,0.10473661457091943,0.10823127467036756,0.11503072567526802,0.08104375666958298,0.2258360255233577,0.09709087181705191,Plasma membrane
P21926,0.1802289953005834,0.16587580684414377,0.1805164826441569,0.20389070727354838,0.11842342311657598,0.11301887081528025,0.13937497479209957,0.27426074945938095,0.31339119206070054,0.10759751130466831,0.0899040404936538,0.09778905725659436,0.08367509254857768,0.22416155631299856,0.10297312722015531,Plasma membrane
P48960;P48960-3;P48960-2,0.27118125501395474,0.24456083215528052,0.21271489873196012,0.20152673383585315,0.09623798356635208,0.18286374351488585,0.2014752111533528,0.30839406025563826,0.32742344816483865,0.10276546553855463,0.17050136196375795,0.1502107417018357,0.08492228326523925,0.20119709934462607,0.07045922591529907,Plasma membrane
P98082;P98082-3;P98082-2,0.09535137711633329,0.1673118284404171,0.22479403491199693,0.2411575013765824,0.11184224938266181,0.0762379169144482,0.12930091284947562,0.3789441293014424,0.40285910044481094,0.12264831047464257,0.06288905494988917,0.09554516433828827,0.09772399299689323,0.28012124672321387,0.08423384958927412,Plasma membrane
Q14118,0.12619052312728835,0.1217404117617405,0.16028154750543835,0.2044788159032192,0.1587743546545371,0.07800361638709326,0.1036565002650332,0.19507391243999653,0.28988765130158467,0.14959281195991636,0.06232707771515382,0.07195673350849692,0.05718550241997807,0.18677061403823556,0.12762308826913532,Plasma membrane
