data,method,f1score,precision,recall,accuracy,quadloss
itzhak2017,ColumnMaxMin,0.848869372,0.837404516,0.867033098,0.907854985,0.388495911
itzhak2017,ColumnMaxMin,0.863820435,0.870087037,0.863282181,0.898791541,0.346479703
itzhak2017,ColumnMaxMin,0.875961373,0.865750022,0.891500454,0.909365559,0.125587319
itzhak2017,ColumnMaxMin,0.874423691,0.86657907,0.885009279,0.912386707,0.046487698
itzhak2017,ColumnMaxMin,0.865856887,0.859969937,0.874495751,0.907854985,0.511666755
itzhak2017,ColumnMaxMin,0.861217761,0.874061217,0.85939132,0.916918429,0.149820978
itzhak2017,ColumnMaxMin,0.866274769,0.847205424,0.89123435,0.909365559,0.651455731
itzhak2017,ColumnMaxMin,0.855536694,0.846847698,0.867104817,0.894259819,0.421604634
itzhak2017,ColumnMaxMin,0.860912118,0.837069716,0.889682298,0.900302115,0.677570733
itzhak2017,ColumnMaxMin,0.888226037,0.894556632,0.885712145,0.916918429,0.519261165
itzhak2017,ColumnMaxMin,0.876448042,0.865947724,0.890750678,0.913897281,0.200111121
itzhak2017,ColumnMaxMin,0.86124809,0.870564654,0.857209942,0.907854985,0.105642566
itzhak2017,ColumnMaxMin,0.869858251,0.865984627,0.87485489,0.912386707,0.215841158
itzhak2017,ColumnMaxMin,0.866374357,0.869894558,0.868800942,0.910876133,0.402753321
itzhak2017,ColumnMaxMin,0.872304567,0.873200365,0.876572844,0.909365559,0.191670303
itzhak2017,ColumnMaxMin,0.858673836,0.840094267,0.88109254,0.900302115,0.242575209
itzhak2017,ColumnMaxMin,0.82918627,0.816358709,0.85417067,0.885196375,0.306576443
itzhak2017,ColumnMaxMin,0.878326945,0.892308847,0.872748884,0.910876133,1.023559021
itzhak2017,ColumnMaxMin,0.862911735,0.86063241,0.869514334,0.904833837,0.967939255
itzhak2017,ColumnMaxMin,0.841103413,0.838010663,0.847087999,0.904833837,0.145951019
itzhak2017,ColumnMaxMin,0.876459072,0.860975374,0.901515217,0.913897281,0.288711572
itzhak2017,ColumnMaxMin,0.864056075,0.85217443,0.889443058,0.916918429,0.269482134
itzhak2017,ColumnMaxMin,0.853316378,0.853703342,0.855846182,0.907854985,0.080901968
itzhak2017,ColumnMaxMin,0.875210733,0.867588634,0.886445348,0.918429003,0.194770304
itzhak2017,ColumnMaxMin,0.876305289,0.858438332,0.902397333,0.910876133,0.420352531
itzhak2017,ColumnMaxMin,0.848349349,0.824046711,0.893019041,0.897280967,1.562384591
itzhak2017,ColumnMaxMin,0.861773319,0.893321295,0.857809068,0.912386707,0.321157118
itzhak2017,ColumnMaxMin,0.855548416,0.860406786,0.865022886,0.906344411,0.282720888
