,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,markers
AT1G78900,0.5000968540481912,0.5003628858234835,0.5084688561475028,0.42823745888290105,0.2620545185474735,0.2156128322322545,0.06398463768369107,0.08069282544233888,0.14584663755347163,0.051864170788909335,0.39497073504306823,0.6681571893297155,0.366316731467287,0.2805401617386312,0.15680285326483867,0.2103320058704003,0.06591211228045177,0.08638029747157155,0.06264985617274656,0.08495706164218579,unknown
AT1G56340,0.32524070328633,0.4051306344214611,0.4330223737298252,0.4721153561324663,0.2942956471763087,0.22218674650235787,0.10358989645689434,0.13565461338164014,0.2301525470510718,0.09174741158072956,0.21450490131584285,0.5638335853631956,0.42135776669479647,0.34806572191615454,0.20264676547496174,0.27910494516728096,0.06739793654328687,0.11085308415167007,0.09731300304378386,0.10477953429853629,ER
AT5G28540,0.3125257971253398,0.4975299521663483,0.5987425892939535,0.5668818588643478,0.31154373324576645,0.26876939395824473,0.06241053725131248,0.07309869828505079,0.13806861147305338,0.04238798211782495,0.24443039644214012,0.5734047962542157,0.37460651739826933,0.3228918290103586,0.1783137238010241,0.2199257952372105,0.17421703733047483,0.09266131892298549,0.0808645842442329,0.08166014129598491,ER
AT5G42020,0.34316398753807326,0.4373331174194345,0.5896999828018562,0.5392851851950669,0.3282638780707177,0.23008735534141628,0.0746338625971678,0.08041077208851928,0.17089147365341054,0.052371442916650406,0.2603643200449605,0.5838419885424793,0.3731634807804952,0.2839049419680888,0.15308541649749924,0.18666100495737803,0.18814815396506954,0.11917268958808525,0.09372890787153078,0.08611781213386871,ER
AT5G53560,0.27805219470037995,0.4082306877620881,0.5829945043293059,0.5152569433014003,0.2714689382003254,0.21845904989973225,0.09428793468385559,0.12308052917652916,0.22601141191080126,0.07922766203795252,0.20208917227455162,0.6298354423849556,0.45565834112235154,0.3799816017043713,0.1875567603395733,0.22467811404114982,0.0770221560648225,0.09668374330584475,0.09606697855229782,0.09384720296155637,unknown
AT4G38510,0.6083300666682213,0.5141071446363625,0.4203376758321947,0.3876106660706646,0.21911188188373665,0.14683412453999214,0.08046803351881275,0.08652075492714768,0.1684593402260958,0.056955436599103106,0.5184379494226437,0.7190133772811893,0.3050485635482702,0.21832854590818931,0.11406081577877988,0.13593191845651065,0.07014284876215542,0.08807168377711085,0.07216671982971495,0.08890264561648033,unknown
AT1G18210,0.4000092608034563,0.3819649419865646,0.44323596638086676,0.4913348933579013,0.29265525881573085,0.22963317985638676,0.08351986142700125,0.10615577698901252,0.21630563256286048,0.09415337095297258,0.2675333687430054,0.6218164416428599,0.41100821251467795,0.3193801576718018,0.17732162231827747,0.2522528375240867,0.058533387710445584,0.11923083825912933,0.10170982504796634,0.0848264575679411,unknown
AT3G49870,0.8511914640326661,0.5947979513961751,0.46617488321826284,0.37977407555708614,0.16885465161256197,0.13743384963772162,0.024150214804058857,0.029064555775871755,0.06051173995882326,0.021740461644294818,0.6294459344661179,0.7667616847757913,0.3530152961914299,0.21417433347899292,0.10687903498670104,0.11396246156140122,0.05539827007152673,0.02875820564780902,0.02509181006498011,0.03866260146440824,unknown
AT5G67560,0.7577828075928476,0.6326176751705642,0.6703372494348607,0.31184043921496835,0.0,0.16828140687689158,0.04238186194004089,0.04746652209489199,0.07537139536360307,0.027174351968764568,0.6335832265358133,0.7451273244729896,0.3169147639859136,0.23318445844670732,0.08925381119620586,0.10266515044952777,0.07683894449754182,0.03845742938292381,0.03179310000399919,0.04268148536176402,unknown
AT2G30490,0.33604266335499267,0.3909636938194515,0.5647284705669738,0.5132659083716541,0.3034123249896648,0.23337465332675225,0.09091526089334434,0.10249907163125133,0.18315923546614932,0.07267414177222987,0.20876563670001347,0.5408042316833102,0.3791521984173299,0.3086476302759026,0.18722015920127,0.2636271589656264,0.1227944518321815,0.1287681443132743,0.10076934616721848,0.12550983248872227,ER
