,FS1.A.A431,FS1.B.A431,FS2.A.A431,FS2.B.A431,FP1.A.A431,FP1.B.A431,FP2.A.A431,FP2.B.A431,FP3.A.A431,FP3.B.A431,markers
A2M,0.29283400198747234,0.29597814897029906,0.24126835589348125,0.18740783415707488,0.19558231993045525,0.1856151283853638,0.27844351797815264,0.2571931269863258,0.27797161990367075,0.25705677700274604,unknown
AAAS,0.07115191062354478,0.08701291040806923,0.09824619760982255,0.06300567203384175,0.4717876496728536,0.48187644488305265,0.30150193430089917,0.3336441999876591,0.3703039159949262,0.3565997913114275,Plasma Membrane
AACS,0.5651197535721882,0.7237600698811155,0.27674420007571404,0.19770764385883505,0.09374031347732488,0.09751537980927195,0.0689353058521232,0.06680916132401808,0.08981210753050325,0.08450460735666428,Cytosol_4
AADAT,0.2321727980977242,0.24066371474223536,0.43115096404846176,0.3024760197368764,0.21652012437233648,0.22514782303906097,0.2929931640847389,0.28284196772708103,0.13119244496443044,0.1259306658258707,unknown
AAED1,0.15756624850868278,0.1888521359808363,0.2000149573311137,0.17332732167758905,0.24030817324365572,0.25388086707742097,0.2830152173439314,0.3166086860045289,0.4170733261540007,0.33131600742886613,unknown
AAGAB,0.5419246718049558,0.660275530440569,0.24229094803985327,0.16708804608133174,0.11807709089763042,0.12878355223396004,0.10336101366443763,0.11846541135299682,0.10396781679944272,0.10757298569143227,unknown
AAK1,0.5941721357752948,0.6609827956167988,0.2208913198549217,0.16554035166952452,0.09302812461965274,0.10175627338744477,0.10937399930320592,0.10501798379847362,0.11535053464442242,0.10192813055431672,Cytosol_3
AAMDC,0.4665281576192254,0.6233026311619784,0.2678271730496963,0.2004222073540108,0.1239620389336462,0.1255398221607759,0.1261359587779702,0.140747395138277,0.1346252483803341,0.11870123231379176,unknown
AAMP,0.47999688291801834,0.66546699292273,0.2748898563872991,0.23183205758561348,0.10671936992161243,0.09969325341431949,0.10518196821001548,0.10212086355938292,0.12674120903189687,0.11502508376681929,unknown
AAR2,0.21316537293696178,0.2763259914571088,0.37492712509856324,0.3199890501932765,0.16679071509968124,0.1708831044579677,0.16630596101905193,0.18823878261082608,0.33023555535858795,0.2876272051425729,unknown
AARS,0.5725476220564321,0.7486472333382507,0.22800167650757133,0.19465116868632334,0.09355163363896303,0.09544343953741562,0.07092929333186754,0.07632333901826151,0.08987510673724987,0.0862554948017143,Cytosol_4
AARS2,0.08214481080351664,0.0994382231060697,0.2510088396129217,0.231424766628501,0.36779136863433365,0.346118787718398,0.43383553987091455,0.43013302895532973,0.17734413235983712,0.1630729383866206,unknown
AARSD1,0.7388835566437626,1.0,0.19748837037436995,0.16358793643048328,0.01065044543419191,0.014723077644612786,0.0,0.0,0.0,0.012182146457650176,unknown
AASDH,0.2041776520882874,0.27384396966723495,0.38399463476271595,0.3420268782023729,0.20347870117919736,0.2195950108067391,0.2310812858558255,0.21936406048085202,0.2254534826185118,0.1835880033569052,unknown
AASDHPPT,0.39345913534097066,0.5383096326035209,0.42765282469513466,0.2698125739585044,0.15444828709264372,0.1437688875697501,0.08820366090219256,0.10464757811589928,0.12494876264697076,0.12205883763596823,Cytosol_5
AASS,0.11496068959713973,0.1424838194667364,0.26252486322636087,0.22551123456535424,0.2680792033760876,0.28497414772600577,0.3872706575779009,0.3880000953342141,0.23357722883253637,0.2572786550938325,unknown
AATF,0.0931558513683798,0.11909239614546531,0.13739871285102154,0.12065378675116271,0.513161462218509,0.5171077272034335,0.20650769639657882,0.2523552783318127,0.317247496094528,0.3329293846188728,Nucleus (Nucleolus)
ABAT,0.11944557356351315,0.1492618063891294,0.2936434417254965,0.22301345656394506,0.31611150345604183,0.3000099536665713,0.38763357778387647,0.3582889130501898,0.2184653234749397,0.19622580240633064,unknown
ABCA2,0.11016530653211756,0.15081161356183723,0.09056570742346415,0.09943015804202478,0.2493201077276026,0.22370689243246308,0.331090159359561,0.3503979277476364,0.5018020564117601,0.49496747018106513,"Golgi, Endo/Lyosome"
ABCA3,0.0575663290164925,0.0833598313776879,0.1062126446992082,0.09386028475736309,0.19345199605310043,0.20547754819600025,0.38650027795147535,0.3923604383926144,0.5685981043997429,0.5536659297663024,unknown
ABCA5,0.11720309951244903,0.13738840559975768,0.1436993053739071,0.11605017700436335,0.21565459277914814,0.21427693994391742,0.3624490947305133,0.3762544027287555,0.47405935611820493,0.4404753783009849,unknown
ABCA7,0.09221082465723843,0.1297002871651209,0.16136993376048725,0.144551943772103,0.264310368671977,0.26080030525181663,0.4410838768439039,0.45032931400324494,0.34389143568794556,0.30746129520109955,unknown
ABCB10,0.08271414236181311,0.10329924265175931,0.11226056810599645,0.08259894375984726,0.4282995788839387,0.42499834668575337,0.38442507549747174,0.4428163502734539,0.2681660267358451,0.28526612216990743,Mitochondria membrane
ABCB7,0.06623437869442254,0.086401340131196,0.09333784032628084,0.08080776028835478,0.3312698831316738,0.3437540525568117,0.5499526210536408,0.5747842603297284,0.2439213039005442,0.2466285026273275,Mitochondria membrane
ABCB8,0.10009796525348774,0.12867424713742534,0.1153546825571232,0.09699351827639814,0.34104269101085066,0.31131288194582146,0.4566660106176677,0.5176107572916486,0.2739124505972844,0.255814216488704,Mitochondria membrane
ABCB9,0.0742808882386535,0.09941204245424969,0.15745561547676726,0.11383650041773444,0.21116779278604342,0.19334924872210046,0.39902972370760414,0.41350784048226186,0.5227169252474383,0.4419163894980958,unknown
ABCC1,0.06583347039887426,0.08970433172929806,0.07747647130150447,0.06692315050303191,0.44397255209789405,0.4459443186826995,0.4590247104376333,0.4765572955166575,0.24996097297348832,0.24764462508636048,Plasma Membrane
ABCC10,0.10339619377402805,0.14883648274247685,0.10731148030043951,0.09707808793389998,0.21040259466509734,0.18926312222497277,0.35606570452842984,0.3729560585173171,0.5012947006362286,0.5182216420149545,"Golgi, Endo/Lyosome"
ABCC3,0.1035280830864899,0.16689749816912322,0.13043104092694827,0.12208450518517332,0.35926644512538286,0.3640968504533009,0.34715047177256964,0.39795250116351666,0.3064876212264646,0.29215431565637784,Plasma Membrane
ABCC4,0.10461990091045233,0.11777820762419935,0.10143008750161908,0.09237165805832916,0.35569295039993587,0.3529137208510413,0.45241135772439617,0.47762810752498236,0.2760656553056747,0.2665484178895609,Plasma Membrane
ABCC5,0.08012102486511906,0.10418964665003003,0.10926910061044483,0.09946588245244002,0.33696814528038777,0.31366349531237964,0.42325970668126056,0.4432663607086215,0.3598037210982905,0.34485667127725567,Plasma Membrane
