"data","method","f1score","precision","recall","accuracy","quadloss"
"orre2019","NB",0.725310494568567,0.726047200871316,0.734608296123799,0.733038348082596,1.73092974863861
"orre2019","NB",0.679505317212761,0.692885774540542,0.686542120707574,0.691740412979351,1.72733330588796
"orre2019","NB",0.734668669639849,0.737255301448971,0.747218901026959,0.746312684365782,1.65963776669545
"orre2019","NB",0.685333561534433,0.695165569869597,0.692238654919285,0.693215339233038,1.70544741291648
"orre2019","NB",0.692814668615659,0.704982474972386,0.699590603687567,0.696165191740413,1.70052901228152
"orre2019","NB",0.681322025153109,0.685607402238191,0.697011486737745,0.682890855457227,1.72143510667477
"orre2019","NB",0.710469753962887,0.715030904152199,0.722446947463964,0.727138643067847,1.74662965083002
"orre2019","NB",0.711507087352258,0.714774255675703,0.720299514770046,0.721238938053097,1.70810205649544
"orre2019","NB",0.708037370411291,0.710509719075102,0.723010710839337,0.715339233038348,1.66202407901207
"orre2019","NB",0.72158811079244,0.724079485351834,0.729582481929638,0.725663716814159,1.72564523794942
"orre2019","NB",0.698060652533664,0.709800773131315,0.705975935951362,0.705014749262537,1.72895337532364
"orre2019","NB",0.689527086316923,0.699410917557705,0.703144099832629,0.702064896755162,1.70374909112733
"orre2019","NB",0.69128663597905,0.702761248875214,0.703039031915219,0.694690265486726,1.73106155195202
"orre2019","NB",0.684451068410171,0.686620229488147,0.694315820598603,0.691740412979351,1.71854990181052
"orre2019","NB",0.7065573432671,0.710813372219361,0.718631479412056,0.712389380530973,1.72098823742311
"orre2019","NB",0.717770344518694,0.726885230475068,0.723251589815736,0.712389380530973,1.65058010229064
"orre2019","NB",0.697465324863138,0.702440973203294,0.706609834120437,0.709439528023599,1.7174354709809
"orre2019","NB",0.690801821956828,0.695243241196833,0.700097364917881,0.707964601769911,1.69458578483103
"orre2019","NB",0.715476206004451,0.719400741345153,0.717302670921391,0.721238938053097,1.71281467050614
"orre2019","NB",0.69445806685498,0.702065579102962,0.70866035451941,0.702064896755162,1.68340134339415
"orre2019","NB",0.703388432477777,0.714740361761484,0.714106506603753,0.700589970501475,1.69291066819277
"orre2019","NB",0.725339246674525,0.729731444766475,0.742748570548127,0.73598820058997,1.70053982129592
