"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","KNN",0.964920634920635,0.981944444444444,0.956140350877193,0.975,0.35806105409363
"LOPITDC2019","KNN",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.345294396504668
"LOPITDC2019","KNN",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.350225859830739
"LOPITDC2019","KNN",0.963966668494052,0.979758672699849,0.955521155830753,0.975,0.233994586602494
"LOPITDC2019","KNN",0.966747846747847,0.98015873015873,0.96140350877193,0.983333333333333,0.35324306208201
"LOPITDC2019","KNN",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.231099887982305
"LOPITDC2019","KNN",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.345719913933862
"LOPITDC2019","KNN",0.918326078040364,0.954410866910867,0.91818782249742,0.958333333333333,0.370403896323114
"LOPITDC2019","KNN",0.983303860890068,0.979047619047619,0.989473684210526,0.983333333333333,0.230443751453619
"LOPITDC2019","KNN",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.227160527052748
"LOPITDC2019","KNN",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.159833951500663
"LOPITDC2019","KNN",0.985141538442031,0.980833333333333,0.990736842105263,0.983333333333333,0.352740951515561
"LOPITDC2019","KNN",0.966747846747847,0.98015873015873,0.96140350877193,0.983333333333333,0.17424253900974
"LOPITDC2019","KNN",1,1,1,1,0.224961906863932
"LOPITDC2019","KNN",1,1,1,1,0.341935078240325
"LOPITDC2019","KNN",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,0.230659800836335
"LOPITDC2019","KNN",1,1,1,1,0.218729517611935
"LOPITDC2019","KNN",1,1,1,1,0.341767708051509
"LOPITDC2019","KNN",0.964920634920635,0.981944444444444,0.956140350877193,0.975,0.354016369089999
"LOPITDC2019","KNN",0.963945639792716,0.98280701754386,0.953070175438597,0.975,0.173793949079941
"LOPITDC2019","KNN",0.95804036375465,0.96765873015873,0.95740350877193,0.975,0.361589444616506
"LOPITDC2019","KNN",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.344216986373949
"LOPITDC2019","KNN",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.344029758705104
"LOPITDC2019","KNN",0.987777777777778,0.9875,0.989473684210526,0.983333333333333,0.232392553196539
"LOPITDC2019","KNN",1,1,1,1,0.217769459514622
"LOPITDC2019","KNN",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.350096502532264
