"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.00889542607232681
"LOPITDC2019","MCMC",0.952314173278459,0.938021978021978,0.97897213622291,0.966666666666667,0.0561378663081386
"LOPITDC2019","MCMC",1,1,1,1,0.000296503834036489
"LOPITDC2019","MCMC",1,1,1,1,2.33609788409682e-13
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166532617402653
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.00867978044485479
"LOPITDC2019","MCMC",0.959637075673942,0.948214285714286,0.978352941176471,0.966666666666667,0.0507991016950466
"LOPITDC2019","MCMC",1,1,1,1,1.30297696507143e-10
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.00866966145699171
"LOPITDC2019","MCMC",0.982683982683983,0.975,0.994117647058824,0.991666666666667,0.0115340050253652
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.00813271669018582
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166665975028496
"LOPITDC2019","MCMC",1,1,1,1,1.29133917160887e-06
"LOPITDC2019","MCMC",0.991292517006803,0.9875,0.996,0.991666666666667,0.0164541643195503
"LOPITDC2019","MCMC",0.962709183673469,0.952307692307692,0.984235294117647,0.975,0.039897982109541
"LOPITDC2019","MCMC",0.980897506611792,0.973214285714286,0.990736842105263,0.983333333333333,0.0330575600627628
"LOPITDC2019","MCMC",0.982683982683983,0.975,0.994117647058824,0.991666666666667,0.0125836632156073
"LOPITDC2019","MCMC",0.982683982683983,0.975,0.994117647058824,0.991666666666667,0.0128461121796584
"LOPITDC2019","MCMC",1,1,1,1,0.000498865367925853
"LOPITDC2019","MCMC",1,1,1,1,1.41310630496492e-06
"LOPITDC2019","MCMC",0.961322580645161,0.952307692307692,0.982352941176471,0.975,0.0473023819169723
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.00848989714926344
"LOPITDC2019","MCMC",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,0.0252823138317594
"LOPITDC2019","MCMC",0.991292517006803,0.9875,0.996,0.991666666666667,0.0166345293596393
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166665905761767
"LOPITDC2019","MCMC",0.96875,0.96,0.988235294117647,0.983333333333333,0.0341948050199036
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.00884047646216329
"LOPITDC2019","MCMC",1,1,1,1,1.2458149219186e-12
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.00855378280546374
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0166572126905938
"LOPITDC2019","MCMC",1,1,1,1,4.11560100169962e-11
"LOPITDC2019","MCMC",1,1,1,1,6.8280532854006e-13
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166671535831591
"LOPITDC2019","MCMC",0.982683982683983,0.975,0.994117647058824,0.991666666666667,0.0117741308126975
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0130971876271937
"LOPITDC2019","MCMC",1,1,1,1,1.17699728092501e-06
"LOPITDC2019","MCMC",0.961322580645161,0.952307692307692,0.982352941176471,0.975,0.039789694326247
"LOPITDC2019","MCMC",0.991292517006803,0.9875,0.996,0.991666666666667,0.0167784636705355
