"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","SVM",0.964920634920635,0.981944444444444,0.956140350877193,0.975,1.46797808813432
"LOPITDC2019","SVM",0.980572808833678,0.981944444444444,0.981140350877193,0.975,0.38504762619436
"LOPITDC2019","SVM",0.953400479247556,0.968521303258145,0.94780701754386,0.966666666666667,1.35177562583001
"LOPITDC2019","SVM",0.983303860890068,0.979047619047619,0.989473684210526,0.983333333333333,0.163626928554892
"LOPITDC2019","SVM",0.987777777777778,0.9875,0.989473684210526,0.983333333333333,0.380933374475925
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,1.08696618485719
"LOPITDC2019","SVM",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.33763625646686
"LOPITDC2019","SVM",0.974546183129633,0.976797385620915,0.975877192982456,0.966666666666667,1.14391408519602
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0360004771433833
"LOPITDC2019","SVM",0.977069597069597,0.973214285714286,0.984210526315789,0.975,1.05976801361777
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.018699742738524
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,0.0254034636141363
"LOPITDC2019","SVM",0.963945639792716,0.98280701754386,0.953070175438597,0.975,1.06040837640893
"LOPITDC2019","SVM",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.12041976528931
"LOPITDC2019","SVM",0.981751152073733,0.982352941176471,0.984210526315789,0.975,0.0234488041578243
"LOPITDC2019","SVM",1,1,1,1,1.02550061302672
"LOPITDC2019","SVM",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,0.378366435976408
"LOPITDC2019","SVM",0.970991878578085,0.987777777777778,0.96140350877193,0.983333333333333,0.252066563398866
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,0.0249231583465179
"LOPITDC2019","SVM",1,1,1,1,1.48114559885316
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.08124776400232
"LOPITDC2019","SVM",0.989450549450549,0.994444444444444,0.985714285714286,0.991666666666667,0.150345433109248
"LOPITDC2019","SVM",0.970991878578085,0.987777777777778,0.96140350877193,0.983333333333333,1.33351971925312
