,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,R2_Con_03,R2_Con_06,R2_Con_12,R2_Con_24,R2_Con_80,R3_Con_03,R3_Con_06,R3_Con_12,R3_Con_24,R3_Con_80,markers
Q92887,0.0002957654441559362,0.00035071777484465026,0.00041647791677325047,0.0005796430513644095,0.0008172265132279016,0.0003560003800143168,0.00034814075170457444,0.0004004665620931493,0.0005105165359228651,0.000715292171964592,0.000295091869288943,0.0002820125059622562,0.00034229500943119747,0.000518513634289027,0.0007561595396525472,Plasma membrane
Q13443;Q13443-2,0.00043732397672714365,0.0004170597746934622,0.0004664518831798674,0.0005435456579823692,0.0006131816955587123,0.0004736432334362184,0.00042662241567480673,0.0005033251799051649,0.0005338437544120441,0.0006514952386540826,0.00039129927138615726,0.0003216456896281076,0.0003860003480287737,0.0004410786710736244,0.0006329903534171478,Plasma membrane
Q9H6X2;Q9H6X2-5;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2;Q9H6X2-3,0.000389182840560677,0.00030537147179483803,0.0004380358008210943,0.0005948133335586534,0.00078237002975522,0.00032989084516696766,0.0003274344022164127,0.00044705201490807236,0.0005885144577377914,0.0006420499706570403,0.0003170457601648155,0.00022902661470278885,0.0003026088662082918,0.0005174713267993485,0.0007243724594631986,Plasma membrane
O95782;O95782-2,0.00017158793824665106,0.00043742252807051475,0.0007118390212897401,0.0008207125765722325,0.0006699102222436789,0.00021136762893098087,0.00036534742218012845,0.000650031431878005,0.0006847891218461101,0.0006979444361062311,0.000169457418062459,0.0002859184957014248,0.0004541964910854437,0.0005210824798733439,0.0006156166575873823,Plasma membrane
O94973;O94973-2;O94973-3,0.00018067965415213434,0.00043448288961159574,0.0007199907178050728,0.0008116401480153171,0.0006165653746913766,0.0002228615143621226,0.0003677087944428528,0.0006762422175283311,0.0007273584851056519,0.0006662350403292154,0.00018576800120796404,0.00029642065166395396,0.0004764573921797551,0.0005358258794606505,0.0005747599470764846,Plasma membrane
Q96CW1;Q96CW1-2,0.00018479581025551947,0.0004234952497940678,0.0007231585488991783,0.0007776473066563937,0.0006646531238277908,0.00022172455331380116,0.0003679053672724079,0.0006707911857335481,0.0007015681519386839,0.0006917057845481265,0.00018325742394133656,0.0003076536853244815,0.00045446355593215687,0.0005617895358800268,0.0006108023883265531,Plasma membrane
P05023;P05023-4;P05023-3;P05023-2,0.00012396349676901884,0.000167304176181165,0.00028923997481064605,0.0005104799704669045,0.000991320873097191,0.00013973794972172612,0.00017334596753075824,0.0003469513290238437,0.0005879560561686965,0.0010680473874815867,9.464617849854003e-05,0.00011496818545143088,0.00021823129007367652,0.00045662608690378995,0.001085880242966748,Plasma membrane
P05026;P05026-2,0.00015479200793574741,0.00016627749727569203,0.0002842370492821372,0.0005373826543462274,0.0009800150646132686,0.00014133501511899576,0.00017164764316357213,0.00032001686390474164,0.0006013756882381428,0.0010134298062605108,9.528088738963375e-05,0.00011255468970101346,0.00021232409446882389,0.0004833917937037512,0.0009326257087481249,Plasma membrane
P54709,0.00014453816739196717,0.000163290813358954,0.00028820178241848485,0.0005400537201208403,0.0009562704934839635,0.00013628372943305103,0.00017164209927188328,0.00034755297727142003,0.0006296697350274006,0.0009367964904584293,9.600478957993732e-05,0.00011810830143541144,0.0002205793514455958,0.000467945821690014,0.0009403921945858907,Plasma membrane
P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2,0.00010865291929435195,0.00016195090129333741,0.0002915519634087219,0.0005326487159210459,0.000976988701050916,0.0001233949777187686,0.00016403611514673367,0.00037390591014810267,0.0005875060997914571,0.0011782678583089395,8.233577091180549e-05,0.00010395649031504489,0.00021450174455139983,0.0004362600454893188,0.0010403436552400612,Plasma membrane
