"data","method","f1score","precision","recall","accuracy","quadloss"
"hirst2018","SVM",0.869500429024239,0.880787037037037,0.888219643918173,0.871794871794872,0.120308310382892
"hirst2018","SVM",0.83367615426439,0.84364301276066,0.864163695781343,0.852564102564103,0.158326788031093
"hirst2018","SVM",0.806311362451713,0.839568691542376,0.860381387403446,0.826923076923077,0.139479473883437
"hirst2018","SVM",0.668830586975748,0.658059764309764,0.75106766191325,0.788461538461538,0.114214394582705
"hirst2018","SVM",0.790782995832284,0.794246031746032,0.825318574399457,0.826923076923077,0.124403890261147
"hirst2018","SVM",0.760135843688475,0.794563349662034,0.764049767634326,0.807692307692308,0.161131684468353
"hirst2018","SVM",0.752582553461613,0.820841216603601,0.773539756811816,0.762820512820513,0.151474817175028
"hirst2018","SVM",0.820072411886638,0.87522349936143,0.833176566080978,0.846153846153846,0.127539086279007
"hirst2018","SVM",0.800612680969824,0.839880952380952,0.815291703802733,0.871794871794872,0.163875160763571
"hirst2018","SVM",0.817415235628205,0.899141308085274,0.822912024658348,0.826923076923077,0.14950149068991
"hirst2018","SVM",0.79909482293918,0.819779411764706,0.838599360198625,0.826923076923077,0.132473588069539
"hirst2018","SVM",0.820802667344895,0.85171996462319,0.838861965240642,0.82051282051282,0.135670650952909
"hirst2018","SVM",0.750201848416134,0.794945280019565,0.765622214795009,0.788461538461538,0.170332050488803
"hirst2018","SVM",0.754551861904513,0.786359126984127,0.81408013963161,0.769230769230769,0.142078825456406
"hirst2018","SVM",0.766122230002204,0.830039422437542,0.807429998514557,0.814102564102564,0.189481320281282
"hirst2018","SVM",0.703622630880695,0.759536092214664,0.733184258551906,0.794871794871795,0.178683249534932
"hirst2018","SVM",0.822671214019898,0.894162489557226,0.829806468041762,0.801282051282051,0.146154892112536
"hirst2018","SVM",0.815899086293823,0.844642857142857,0.853422353790001,0.83974358974359,0.114955923554193
"hirst2018","SVM",0.74579223067482,0.795905483405483,0.779568797215856,0.794871794871795,0.219272061760773
"hirst2018","SVM",0.79639290448114,0.859006734006734,0.81614782276547,0.852564102564103,0.117329027161937
"hirst2018","SVM",0.723297571718624,0.770631863856654,0.761609795433325,0.807692307692308,0.143119308201454
"hirst2018","SVM",0.740403640800012,0.785026097526098,0.760217988710636,0.775641025641026,0.125159676244576
"hirst2018","SVM",0.815990843359264,0.83469330714742,0.84594580256345,0.846153846153846,0.13666282930838
"hirst2018","SVM",0.714854992906931,0.834336532121602,0.725638077200577,0.814102564102564,0.178435299871954
"hirst2018","SVM",0.795247984533699,0.841761433113231,0.816868395085307,0.807692307692308,0.125680400430896
"hirst2018","SVM",0.792585909897231,0.81547619047619,0.841751416475681,0.833333333333333,0.155881253992098
"hirst2018","SVM",0.798451388307395,0.882208994708995,0.806030101434513,0.794871794871795,0.155573277778961
"hirst2018","SVM",0.782619396393421,0.791517504234896,0.807811571598336,0.814102564102564,0.163888297056605
"hirst2018","SVM",0.757598841001384,0.764393472906404,0.82009896761735,0.82051282051282,0.11963054326545
"hirst2018","SVM",0.765271566300493,0.830656565656566,0.782017920804685,0.814102564102564,0.15347647083253
"hirst2018","SVM",0.779591742359648,0.796909340659341,0.820455606485018,0.814102564102564,0.127923911007986
"hirst2018","SVM",0.820860073843075,0.809090909090909,0.901876299762329,0.846153846153846,0.13410851824443
"hirst2018","SVM",0.77580207803892,0.79718820861678,0.810477278032425,0.82051282051282,0.154543828438694
"hirst2018","SVM",0.691490696716261,0.735885642135642,0.717575704524234,0.769230769230769,0.192016244920639
"hirst2018","SVM",0.797539215995903,0.837949735449735,0.822221293820559,0.82051282051282,0.095020772991431
"hirst2018","SVM",0.816167149970309,0.878953628953629,0.831766191325015,0.775641025641026,0.144188708546319
"hirst2018","SVM",0.788839909373965,0.823887077834446,0.835118782361429,0.82051282051282,0.167514366748207
"hirst2018","SVM",0.75216858578751,0.778645047762695,0.773244657711569,0.807692307692308,0.136076350201398
"hirst2018","SVM",0.823874624514111,0.840613553113553,0.855263109031491,0.858974358974359,0.130454521710675
"hirst2018","SVM",0.753978256337747,0.828155062530063,0.772188799762329,0.82051282051282,0.126337766989001
"hirst2018","SVM",0.810774800248484,0.83978798978799,0.850807974705034,0.794871794871795,0.132028115927553
"hirst2018","SVM",0.734112484737485,0.792216117216117,0.751719399881165,0.826923076923077,0.14046241346484
"hirst2018","SVM",0.822113891263376,0.854817331791016,0.855261252228164,0.858974358974359,0.116034852324713
"hirst2018","SVM",0.797952077363842,0.807629604872252,0.839092208853238,0.826923076923077,0.185914910323884
"hirst2018","SVM",0.84765043735632,0.860866013071895,0.870888109031491,0.871794871794872,0.115472104624124
"hirst2018","SVM",0.694634702529439,0.764071009635526,0.732258244206774,0.807692307692308,0.182930831353844
"hirst2018","SVM",0.762928806966428,0.797565934586395,0.77622376602156,0.775641025641026,0.174752055119952
"hirst2018","SVM",0.793744931767765,0.831822344322344,0.834871827518886,0.775641025641026,0.13704331625971
"hirst2018","SVM",0.784163434163434,0.813348286174373,0.814680019735167,0.846153846153846,0.119101192526072
"hirst2018","SVM",0.770736983969357,0.818554505135388,0.78231036732875,0.82051282051282,0.161958943000002
"hirst2018","SVM",0.787575416793902,0.775783310400183,0.876137292038027,0.814102564102564,0.0923037132202332
"hirst2018","SVM",0.828547445652709,0.853888888888889,0.833881222943723,0.878205128205128,0.139285545787674
"hirst2018","SVM",0.789967021678426,0.885119047619048,0.798217601434513,0.82051282051282,0.169558675704131
"hirst2018","SVM",0.737148444889585,0.767175638371291,0.823681669637552,0.807692307692308,0.146100729937985
"hirst2018","SVM",0.737497914181724,0.810558893533031,0.749396804176216,0.788461538461538,0.16864565442082
"hirst2018","SVM",0.775701464410188,0.869015706515706,0.805716434300993,0.775641025641026,0.142052274741989
"hirst2018","SVM",0.807505455048417,0.843655881155881,0.844451075884899,0.807692307692308,0.125001760897055
"hirst2018","SVM",0.805078318484116,0.844902824356821,0.835241331381037,0.782051282051282,0.150138111402556
"hirst2018","SVM",0.791362584783637,0.836529982363316,0.811160449028096,0.858974358974359,0.140379234387571
"hirst2018","SVM",0.740093166154415,0.775852007469655,0.762816717596129,0.794871794871795,0.129132606917831
"hirst2018","SVM",0.823050145676004,0.868772546897547,0.848688168449198,0.852564102564103,0.130964559715569
"hirst2018","SVM",0.799742569465951,0.874170274170274,0.807167393472541,0.82051282051282,0.120735240323109
"hirst2018","SVM",0.811336658075208,0.888160699062234,0.820231994312877,0.852564102564103,0.143258721407622
"hirst2018","SVM",0.735123371487199,0.75599128540305,0.777067019989814,0.782051282051282,0.135629989472519
"hirst2018","SVM",0.790748116406011,0.862185846560847,0.809422481113658,0.794871794871795,0.146967584502375
"hirst2018","SVM",0.758669108669109,0.798689431913116,0.791586824123589,0.833333333333333,0.122340626355067
"hirst2018","SVM",0.775674488565743,0.827480158730159,0.794621106018165,0.782051282051282,0.159199395926218
"hirst2018","SVM",0.782207719970715,0.845246663059163,0.793050117774383,0.871794871794872,0.144803109654871
"hirst2018","SVM",0.734362879088378,0.801160811546841,0.757900963415669,0.743589743589744,0.156843985732089
"hirst2018","SVM",0.714533591214264,0.831196581196581,0.721532685043714,0.775641025641026,0.170084348866528
"hirst2018","SVM",0.788587426314816,0.880208333333333,0.793443760079789,0.82051282051282,0.167664544639671
"hirst2018","SVM",0.723561222370851,0.83549647336412,0.752955102495544,0.762820512820513,0.142491680954545
"hirst2018","SVM",0.773690669844257,0.848951525054466,0.777369413674561,0.801282051282051,0.152053424731259
"hirst2018","SVM",0.8126583179892,0.825230048159615,0.826443664587047,0.865384615384615,0.135509709474994
"hirst2018","SVM",0.780839518613851,0.827757782699643,0.803838940879382,0.769230769230769,0.161028947832577
"hirst2018","SVM",0.832052570336399,0.862916666666667,0.846659876071641,0.878205128205128,0.149128354064193
"hirst2018","SVM",0.714277307385469,0.762060379707439,0.745750705585264,0.75,0.175478860655475
"hirst2018","SVM",0.776287718658392,0.885836627140975,0.812591911764706,0.852564102564103,0.13832786381148
"hirst2018","SVM",0.766877289377289,0.883094491715181,0.785647971309736,0.826923076923077,0.164575259058291
"hirst2018","SVM",0.795344030557683,0.852749892193626,0.816239601901367,0.833333333333333,0.135296008202706
"hirst2018","SVM",0.809701271171859,0.808630952380952,0.839329879679144,0.846153846153846,0.136518477860454
"hirst2018","SVM",0.770207891523681,0.846263782166038,0.77915287327052,0.807692307692308,0.159017838792765
"hirst2018","SVM",0.829514745943228,0.868649749373434,0.861899324123589,0.858974358974359,0.135461764535727
"hirst2018","SVM",0.787249694749695,0.806781462585034,0.816526610644258,0.846153846153846,0.12009098464337
"hirst2018","SVM",0.733125713587898,0.828040835771212,0.740136793353705,0.782051282051282,0.151481626869461
"hirst2018","SVM",0.842765522491566,0.909562537136066,0.824434736015618,0.897435897435897,0.157631257928815
