"data","method","f1score","precision","recall","accuracy","quadloss"
"mulvey2021","SVM",0.930720909445537,0.95510998863027,0.925518341307815,0.956521739130435,1.03751592650597
"mulvey2021","SVM",0.917166294312589,0.949899105647769,0.909888357256778,0.944099378881988,1.0505674767679
"mulvey2021","SVM",0.900296849476093,0.936832611832612,0.894218500797448,0.937888198757764,0.857283751574382
"mulvey2021","SVM",0.943545806923416,0.950775613275613,0.947248803827751,0.962732919254658,0.430864021722779
"mulvey2021","SVM",0.910370572133915,0.917585681386712,0.913761676919572,0.937888198757764,1.31807603751766
"mulvey2021","SVM",0.910844931789673,0.941017686492654,0.904106858054227,0.93167701863354,1.60583949775249
"mulvey2021","SVM",0.894844536252448,0.939070583887657,0.898006379585327,0.937888198757764,1.00939438948803
"mulvey2021","SVM",0.9110065755429,0.943464722412091,0.901275917065391,0.944099378881988,0.578006741343127
"mulvey2021","SVM",0.923073865164299,0.964828159645233,0.914154704944179,0.950310559006211,0.518382838471051
"mulvey2021","SVM",0.942842701772678,0.970361078315624,0.930821371610845,0.962732919254658,1.15001342319627
"mulvey2021","SVM",0.919606736555214,0.945490552807626,0.923245614035088,0.956521739130435,0.655735532608091
"mulvey2021","SVM",0.920114527724856,0.9562122369609,0.909888357256778,0.944099378881988,0.56803411330458
"mulvey2021","SVM",0.905682848628264,0.950951353428134,0.898524720893142,0.937888198757764,1.59801921932249
"mulvey2021","SVM",0.918929316236902,0.954004329004329,0.909888357256778,0.944099378881988,1.04282203069604
"mulvey2021","SVM",0.916806958473625,0.944247351564425,0.915470494417863,0.937888198757764,1.01272915856421
"mulvey2021","SVM",0.931294816177802,0.950805580916772,0.929824561403509,0.956521739130435,1.01109102905152
"mulvey2021","SVM",0.904763107652414,0.945269535246315,0.89170653907496,0.93167701863354,1.02299203751318
"mulvey2021","SVM",0.939378918103546,0.963374451440188,0.934609250398724,0.962732919254658,1.01389618100964
"mulvey2021","SVM",0.928204358248634,0.944662214479288,0.929824561403509,0.956521739130435,1.59027545245604
"mulvey2021","SVM",0.932619039677358,0.950342712842713,0.92603668261563,0.956521739130435,1.01878756806419
"mulvey2021","SVM",0.90456218453099,0.933552164398649,0.908891547049442,0.937888198757764,0.664421307815883
"mulvey2021","SVM",0.942570248706741,0.966217048534122,0.932097288676236,0.956521739130435,1.09955533692377
"mulvey2021","SVM",0.966892942391764,0.973735414007033,0.963915470494418,0.975155279503106,1.0298419162726
"mulvey2021","SVM",0.896786029103032,0.927706947524021,0.900279106858054,0.937888198757764,1.11849342659885
"mulvey2021","SVM",0.940996782363725,0.955261908902512,0.936164274322169,0.950310559006211,1.01897067652309
"mulvey2021","SVM",0.927309186977357,0.944155844155844,0.921251993620415,0.950310559006211,0.561149264539092
"mulvey2021","SVM",0.912933629018842,0.929979674796748,0.915948963317384,0.944099378881988,0.0598916051578929
"mulvey2021","SVM",0.943033509700176,0.963003090774709,0.939393939393939,0.968944099378882,1.02754269186874
"mulvey2021","SVM",0.8638360204932,0.913613086839251,0.881858054226475,0.925465838509317,0.06053163630807
"mulvey2021","SVM",0.954853522255899,0.969905393649413,0.949760765550239,0.968944099378882,0.644241082662341
"mulvey2021","SVM",0.950353065407245,0.954853153382565,0.953827751196172,0.962732919254658,1.16213810170282
"mulvey2021","SVM",0.928078767472707,0.956116038433112,0.928030303030303,0.962732919254658,1.03346884081189
"mulvey2021","SVM",0.916538979743783,0.925181694998768,0.916034404192299,0.937888198757764,1.0167611653534
"mulvey2021","SVM",0.889576124752435,0.907992742551566,0.89023695602643,0.937888198757764,1.1334617703055
"mulvey2021","SVM",0.946795950759951,0.954924242424242,0.951555023923445,0.962732919254658,1.00095269599511
"mulvey2021","SVM",0.933168466892807,0.957023925272588,0.938397129186603,0.962732919254658,1.50560649709759
"mulvey2021","SVM",0.917341933749916,0.950974025974026,0.912878787878788,0.956521739130435,1.03756865538715
"mulvey2021","SVM",0.955241942887158,0.960422405876951,0.958133971291866,0.962732919254658,1.13210198627718
"mulvey2021","SVM",0.948507500858598,0.957536402990948,0.951555023923445,0.962732919254658,0.0443685788336621
"mulvey2021","SVM",0.934416904233977,0.9647737883032,0.919218500797448,0.950310559006211,0.829230151309588
"mulvey2021","SVM",0.934931488817119,0.961129148629149,0.938397129186603,0.962732919254658,0.0417937071568118
"mulvey2021","SVM",0.913631173956198,0.917769336115821,0.920340624287993,0.937888198757764,0.855986206543857
"mulvey2021","SVM",0.951180757632371,0.970010938259601,0.949760765550239,0.968944099378882,0.0438327007306972
"mulvey2021","SVM",0.947145746410452,0.954853153382565,0.951555023923445,0.962732919254658,0.0389636328180555
"mulvey2021","SVM",0.894313339325846,0.927446736270266,0.908373205741627,0.937888198757764,1.14638864621058
"mulvey2021","SVM",0.947478732806657,0.95820511097673,0.94597288676236,0.968944099378882,1.14355155994841
"mulvey2021","SVM",0.942041250873405,0.95770202020202,0.944976076555024,0.962732919254658,1.01874908439731
"mulvey2021","SVM",0.91997408051689,0.945664888276079,0.923245614035088,0.956521739130435,1.14128418920612
"mulvey2021","SVM",0.926160695772133,0.950534759358289,0.933612440191388,0.956521739130435,1.60484325928916
"mulvey2021","SVM",0.893113675064109,0.929972247583438,0.902312599681021,0.937888198757764,0.0544604678316963
"mulvey2021","SVM",0.866336585929335,0.879487275430158,0.872374117110959,0.906832298136646,0.417682649561101
"mulvey2021","SVM",0.965902705578097,0.976318058635132,0.959609250398724,0.975155279503106,1.02328056833588
"mulvey2021","SVM",0.903597945264612,0.947061204378278,0.90530303030303,0.950310559006211,0.0470609696766603
"mulvey2021","SVM",0.909769775678867,0.94949494949495,0.917464114832536,0.944099378881988,1.48136960637962
"mulvey2021","SVM",0.943033509700176,0.963003090774709,0.939393939393939,0.968944099378882,1.38222875446339
"mulvey2021","SVM",0.913582874861395,0.937871360665478,0.924521531100479,0.950310559006211,0.0645003266594641
"mulvey2021","SVM",0.934587421115654,0.951676590477621,0.931618819776715,0.950310559006211,0.576417035497626
"mulvey2021","SVM",0.884744643189385,0.911077416923902,0.879910002278423,0.919254658385093,1.44736524853544
"mulvey2021","SVM",0.897191078263903,0.918482348593539,0.901594896331738,0.925465838509317,1.0141581674578
"mulvey2021","SVM",0.913269582685516,0.93930043659429,0.908652312599681,0.93167701863354,0.864972190370125
"mulvey2021","SVM",0.891292809865635,0.927573257684449,0.902312599681021,0.937888198757764,1.62581888687005
"mulvey2021","SVM",0.962418729022145,0.973856209150327,0.961124401913876,0.975155279503106,1.15161575762448
"mulvey2021","SVM",0.936171198326981,0.971363752112415,0.924242424242424,0.962732919254658,1.15655301006852
"mulvey2021","SVM",0.881735437351659,0.915873787531542,0.90311004784689,0.925465838509317,0.845372252070872
"mulvey2021","SVM",0.934209911419874,0.958832017655547,0.923524720893142,0.950310559006211,0.0567814430909105
"mulvey2021","SVM",0.921821388488055,0.934593999865619,0.921536796536797,0.956521739130435,0.232441975688533
"mulvey2021","SVM",0.920371419629033,0.94491341991342,0.914673046251994,0.950310559006211,0.763558511773336
"mulvey2021","SVM",0.95943006594783,0.972762449063479,0.952551834130781,0.968944099378882,1.60813476333692
"mulvey2021","SVM",0.962357793140263,0.973356626128245,0.957336523125997,0.975155279503106,0.0461857557562429
"mulvey2021","SVM",0.911613934264374,0.91881117158279,0.911967418546366,0.944099378881988,1.13065446465958
"mulvey2021","SVM",0.917750668206752,0.93599262114994,0.912679425837321,0.944099378881988,1.46307816973616
"mulvey2021","SVM",0.925718816313453,0.966251088173113,0.910885167464115,0.950310559006211,1.02154852365892
"mulvey2021","SVM",0.949982347049796,0.96780303030303,0.949760765550239,0.968944099378882,0.0291855305494518
"mulvey2021","SVM",0.945222227236329,0.96094372708433,0.938676236044657,0.956521739130435,0.0582953523981371
"mulvey2021","SVM",0.933080539532152,0.947106569900688,0.940191387559809,0.956521739130435,1.61854761549306
"mulvey2021","SVM",0.925902100770931,0.966919537370974,0.910885167464115,0.950310559006211,1.54090317901294
"mulvey2021","SVM",0.914314501435714,0.920524735796354,0.913761676919572,0.937888198757764,1.00384213959171
"mulvey2021","SVM",0.948748920129796,0.955187377981496,0.954066985645933,0.962732919254658,1.61115212632538
"mulvey2021","SVM",0.922938464012152,0.935698629045114,0.922527910685805,0.944099378881988,1.61879047688692
"mulvey2021","SVM",0.945173839570391,0.953728268166771,0.947248803827751,0.962732919254658,1.01421203106513
"mulvey2021","SVM",0.895646216006674,0.930809141838554,0.893740031897927,0.93167701863354,1.02083271020156
"mulvey2021","SVM",0.926769845049415,0.938313008130081,0.927312599681021,0.950310559006211,1.13932906100544
"mulvey2021","SVM",0.89489423320434,0.929263565891473,0.885645933014354,0.93167701863354,1.58923148907888
"mulvey2021","SVM",0.932175584947204,0.960891381345927,0.921251993620415,0.950310559006211,0.855948769197181
"mulvey2021","SVM",0.979888990011348,0.982575757575758,0.979066985645933,0.981366459627329,1.15544815215576
"mulvey2021","SVM",0.959893842349983,0.971267553584627,0.953030303030303,0.975155279503106,0.817368668644503
