,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,markers
AT1G78900,0.0016757114400984844,0.0014776755153608852,0.0010791138857631445,0.0007384957219372487,0.0006866497294362635,0.000627558515231726,0.0003154460787108419,0.00030763123584751475,0.0002717649388367895,0.00024656558150435684,0.001894291558532692,0.0014327041103419974,0.0010746866495453013,0.0008443688257798012,0.0007475526681345123,0.0006524886758577593,0.00023878430526802778,0.00028703289387469903,0.0002233467507145014,0.0002485298552560544,unknown
AT1G56340,0.0010898080299262605,0.0011964348994869401,0.0009189952357719584,0.0008141631787051225,0.000771129716167341,0.000646692422225549,0.0005107011278696112,0.000517166131366055,0.0004288572840737185,0.00043617305634740036,0.001028771976693873,0.0012090069645274556,0.0012361640286953702,0.0010476070274114762,0.0009661120768240907,0.0008455594389894585,0.0002441671021785841,0.00036835346103619417,0.0003469208767562071,0.0003065176924631456,ER
AT5G28540,0.001047203255388533,0.0014693092739381207,0.0012707001309780377,0.0009775880622569046,0.0008163241043371486,0.0007822749697498525,0.00030768571892970915,0.00027867958234209755,0.0002572716682515088,0.00020151517513344153,0.0011722955539444125,0.0012295301488970962,0.0010990069207814262,0.000971838730061677,0.0008501050664385256,0.0006794219471896542,0.0006311479451273681,0.00030790408576057715,0.00028828226020230144,0.00023888518157509484,ER
AT5G42020,0.0011498649013535881,0.0012915355194732061,0.0012515091773706776,0.000929997584073082,0.0008601351516864735,0.000669687780623909,0.0003679470596005449,0.00030655594295332227,0.0003184325100955504,0.00024897718560898033,0.0012487151321489503,0.001251910224320405,0.001094773392649323,0.0008544961298839498,0.0007298299053391679,0.0005860355293572192,0.0006816171516526479,0.00039599865900620394,0.0003341435766971771,0.0002519254664755354,ER
AT5G53560,0.0009316900113093265,0.0012055900008094897,0.0012372782665824743,0.0008885608683536419,0.0007113179120085824,0.0006358426610079134,0.00046484219247751253,0.0004692290187111868,0.00042114085428837016,0.00037665336714099665,0.0009692257657236284,0.0013505322423444056,0.0013367938013551545,0.0011436673339768264,0.0008941709522447417,0.0006927634420785211,0.0002790334187429594,0.0003212701905877135,0.0003424787991763841,0.0002745367049822685,unknown
AT4G38510,0.0020383764541209858,0.0015182651659924452,0.0008920747401062951,0.0006684347964728285,0.0005741290600355833,0.00042737254655793685,0.0003967096877310595,0.0003298494831330189,0.00031390056747963114,0.000270769784444243,0.002486444042764905,0.0015417531046175742,0.0008949403359086632,0.0006571245157920064,0.0005437813495715645,0.00044362045238317626,0.0002541112829145221,0.0002926531975799364,0.0002572743716960395,0.0002600721025404768,unknown
AT1G18210,0.0013403405541301352,0.0011280217987608735,0.0009406713512705054,0.0008473072807078356,0.0007668314799445714,0.0006683658662921463,0.0004117552858838135,0.0004047055322262679,0.00040305548341453397,0.00044761114091848955,0.001283098105940503,0.0013333374033042667,0.0012058008845889907,0.0009612693135963641,0.0008453752538423554,0.0007701757638496467,0.00021205289643809707,0.0003961918810928753,0.00036259554814565827,0.00024814779152832573,unknown
AT3G49870,0.0028521500634280487,0.0017565618759241943,0.0009893541828428275,0.0006549205920313293,0.0004424422882935939,0.0004000122892886274,0.00011906124400711657,0.00011080495897469335,0.00011275521729315225,0.00010335554364333921,0.003018841687300891,0.0016441379887464377,0.0010356633844776746,0.0006446211813348588,0.000509542435666038,0.0003819441615092724,0.00020069509190958398,9.556057609608227e-05,8.945230827196397e-05,0.0001131019665703763,unknown
AT5G67560,0.002539158783972111,0.0018682513744911243,0.0014226441310293092,0.0005377690006101474,0.0,0.0004897965893190002,0.0002089437815298878,0.00018096013831947613,0.00014044411989630744,0.0001291886054141887,0.0030386842648578174,0.0015977482507844199,0.000929752961420154,0.0007018377908835155,0.0004255147359353528,0.00035022848234817297,0.00027836968570063114,0.000127790104570957,0.0001133424083441614,0.00012485864240160296,unknown
AT2G30490,0.0011260029548013544,0.001154596981751078,0.0011985126068327398,0.0008851273275754001,0.0007950177391199561,0.0006792557261930275,0.0004482148150240839,0.00039076480351622734,0.0003412917792198107,0.00034549751309687814,0.0010012462904863482,0.0011596259951947888,0.001112342873754986,0.0009289665890995847,0.0008925662169111903,0.0008021076391377357,0.0004448558369174266,0.00042788337367416507,0.0003592427407337552,0.0003671612447357147,ER
AT1G74020,0.0005998699292575257,0.0009518034766039372,0.0008942782006013778,0.0006920524560446333,0.0008309600925482088,0.0007142809084044948,0.0007053026305352627,0.0006593825293497805,0.0005888387056946293,0.0006119977586019568,0.0006860165898566798,0.0008944382167802317,0.000960273124527177,0.0009144409188148582,0.0007026796794483691,0.0008678749225955587,0.0005929641070868738,0.0006291669850772447,0.0005713132054077572,0.0005241746736620807,unknown
AT5G09810,0.0008241388933477113,0.0007194363972275506,0.0007282353877480263,0.0005586629877010596,0.0005459312860824909,0.0005949774123217118,0.000713763944042933,0.0007920122311981255,0.0008623574815736786,0.0008612026120304335,0.0008718672594244319,0.0008019072376076308,0.0006627229847524528,0.0005763688868546259,0.0006211844433034904,0.0006409496467751352,0.0006153100619335946,0.0007951769589398261,0.0008567801169781536,0.0007850359901013893,unknown
AT1G21750,0.0011721687800948578,0.0013673164871140003,0.0010927940177906722,0.0008385226927871703,0.0008057683293190716,0.0007362999364475801,0.0003619644367891507,0.0003661708078747091,0.00032373799716206656,0.00031798814489455106,0.0011134658366989511,0.0011637499483764604,0.0011198488585302245,0.0009117462457895186,0.0008575940959089525,0.0008390951462206377,0.00035133783557899213,0.00039761186123499914,0.0003421708184052088,0.00043468334654014895,ER
AT2G21160,0.0009701311406378916,0.0010027652733697865,0.0009820809983979838,0.0008476567252909272,0.0007333544998546706,0.0006137277083359981,0.0005984171260269482,0.0005523056519481596,0.0005226091881695852,0.0004786713546544689,0.000894948875659236,0.0010798353020076642,0.0010918668804520974,0.0009362773114406988,0.0008380786133197426,0.0006771519766606174,0.00044788549792940964,0.0005129051901711045,0.0005012516388065241,0.0004666394664939832,unknown
AT4G11150,0.002134193304143699,0.0014837280698873068,0.000975623381962976,0.0008113551682106117,0.0005163032578758675,0.0004476632535129093,0.000703563784775816,8.420244607511857e-05,0.0002116752830453865,8.701565915242652e-05,0.0024072612498839433,0.0019829154752652378,0.0010859377284245836,0.0007848823846472972,0.00037746418188025217,0.00021995806469740599,0.00038183523790831373,0.0001230619161310115,0.00012749459819743155,0.00016451531534792695,unknown
AT1G15690,0.001621490958262021,0.0016112500205388068,0.0009250296054531322,0.0007590237035796568,0.0006219808657492425,0.0006064050337159273,0.00033165649329596045,0.0003660132482560455,0.00027091024051564643,0.0003002468164659045,0.0020758805105872196,0.0015943827599419352,0.0010627464985740374,0.0007952762868403446,0.0006643007262737719,0.0005812076073667662,0.0002373358697195144,0.000253921802394216,0.00021053578614971816,0.00018890488646875332,Vacuole
AT5G48810,0.0009662324306615094,0.0012491337876130537,0.0012652861712415834,0.0009621956742897115,0.000874464527368286,0.0007139282413242352,0.00026626406355952374,0.0003695285146488232,0.000348688202938966,0.00036018564551174427,0.000993389476472546,0.0011254904305623649,0.0012820123574428125,0.0011287746469897158,0.0009451176591573811,0.0007667453212068886,0.0002748776834841427,0.0003715363289127028,0.00038048601935026545,0.0003115226397298584,ER
AT1G09210,0.0012187955509956354,0.0010566255637491696,0.0008382070663335421,0.0008413824799499471,0.0007038760968982492,0.0005978722133696399,0.0006070922383407025,0.0005244687013077773,0.0004168557793258288,0.0005114897819173532,0.0009968075256240557,0.0012991310570795887,0.0013055208022578714,0.001087057764412852,0.0008983913461744573,0.0007341579848531499,0.000339716028020995,0.0003157951540548177,0.0003053641829696389,0.0002985555207721205,ER
AT1G33120,0.0012964149874979361,0.0009043193435509804,0.000917103666207046,0.001038096612715325,0.0008539778286016681,0.0007163072231817584,0.00040748324550873074,0.0004185247803031717,0.00044268463831247156,0.0003583567288394544,0.0012475934713266606,0.0011264170652855031,0.0009899519940769514,0.000982894838725107,0.000869429840944409,0.0006543546097487155,0.00041704559122814603,0.0004969137444058666,0.0003631027122812692,0.00034806823795870134,Ribosome
AT4G24190,0.0009042032859198206,0.0012758770027510807,0.001112207397671654,0.0008092965405627577,0.0007898021539872057,0.0006972744491958515,0.0005175696227873667,0.00048185573391274964,0.0003865682779934375,0.00036356340061280493,0.0008628340430156779,0.0011348100522794722,0.0011362038010354172,0.0009693376536137631,0.0008851359554435907,0.0007960883797294368,0.00039227803181072585,0.0004636628525043492,0.0004384752076819371,0.00041504791298137294,ER
AT3G16460,0.0009336066026661365,0.0009353867205275499,0.0008564168525739305,0.0007589158588701639,0.0007660475390204465,0.0007413623933836624,0.0006426217999279639,0.0005805569624466073,0.000550085846518867,0.000518806494490806,0.0010312987672933462,0.0009087053147527578,0.0008458509992449669,0.0007413768066259808,0.0007626127392551587,0.000700953280639978,0.0005677025538619812,0.0006268305037380957,0.0005859858410162332,0.0005735092750483618,unknown
