,FS1.A.A431,FS1.B.A431,FS2.A.A431,FS2.B.A431,FP1.A.A431,FP1.B.A431,FP2.A.A431,FP2.B.A431,FP3.A.A431,FP3.B.A431,markers
A2M,0.00013841574861108512,0.0001126806783359537,9.774054482461272e-05,9.180148420409125e-05,8.406846331653135e-05,7.972522849831017e-05,0.00011049174548378459,9.810302080002947e-05,9.6118749913634e-05,9.213615314362896e-05,unknown
AAAS,3.6946548440140024e-05,3.514151161488019e-05,4.2988161014793006e-05,3.407073943000594e-05,0.00018376747225122087,0.00018600785054423104,0.00011851047685981348,0.00012324396111097129,0.0001258593929910738,0.00012672050948232588,Plasma Membrane
AACS,0.00026304745549032436,0.0002714145132741839,0.00011132156653448369,9.658126998084435e-05,4.730759733046578e-05,4.8119778313501896e-05,3.763374645227946e-05,3.5495241354043195e-05,3.551173442704008e-05,3.2186132908658844e-05,Cytosol_4
AADAT,0.00011064966339315686,9.215556532097532e-05,0.00017043225613197155,0.0001452006529962225,9.162616813732816e-05,9.39074325538588e-05,0.00011555149035576473,0.0001065376437398139,4.884052509016976e-05,4.657884120423011e-05,unknown
AAED1,7.650045960435757e-05,7.293023066099183e-05,8.194773384586604e-05,8.526720490887868e-05,0.00010021269649712626,0.00010421530296994682,0.0001120815870684375,0.00011764183123362316,0.00014092402793861906,0.00011793613222132062,unknown
AAGAB,0.0002524305112872992,0.00024785778048091995,9.813201813441988e-05,8.237177270034602e-05,5.609219461441942e-05,5.9337116409364086e-05,4.960553582032431e-05,5.2482402523684215e-05,4.007135131839785e-05,4.020080899644045e-05,unknown
AAK1,0.0002763454263235674,0.00024812022007514637,8.99397165370339e-05,8.165354120379205e-05,4.7050525812872455e-05,4.9641182777082716e-05,5.169659515112657e-05,4.8060215100911404e-05,4.3737775343466654e-05,3.823960978122539e-05,Cytosol_3
AAMDC,0.00021791972179125484,0.00023413852353153816,0.00010790791027289418,9.78410050982919e-05,5.821642403233154e-05,5.817344056581227e-05,5.752568802908912e-05,5.980983433546967e-05,4.9946246332566926e-05,4.406710990449941e-05,unknown
AAMP,0.00022408467979477304,0.0002497841375999324,0.00011061167837056685,0.00011241723123587804,5.199251440143507e-05,4.8901082197402176e-05,5.0238785959647336e-05,4.7107496922536974e-05,4.740676220624757e-05,4.278990092920931e-05,unknown
AAR2,0.0001019495098692286,0.00010538849936720018,0.00014890839405081832,0.0001533278452752255,7.367585260932833e-05,7.444017086892807e-05,7.14950974125062e-05,7.542738018352261e-05,0.00011295319588745456,0.00010275727595728776,unknown
AARS,0.00026644736871486117,0.0002806492067083397,9.266173514689472e-05,9.516286546856741e-05,4.723949150170361e-05,4.73764776105323e-05,3.832717004839442e-05,3.86239793053666e-05,3.553202675162563e-05,3.2794445965372044e-05,Cytosol_4
AARS2,4.1978262016811416e-05,3.975207937955085e-05,0.00010146944046917691,0.00011222822157645941,0.00014622899983251754,0.00013730530666559664,0.00016453044719231717,0.0001549743187700008,6.370618878916186e-05,5.948322830151686e-05,unknown
AARSD1,0.0003425833079710237,0.00037391679616046976,8.09804945002665e-05,8.074749275628622e-05,1.7315498683634798e-05,1.8418354370269022e-05,1.3660994281642694e-05,1.3525044323035825e-05,6.582855289696592e-06,7.059048136374234e-06,unknown
AASDH,9.78356148754397e-05,0.00010446751412250335,0.00015237965875056003,0.00016355483974585236,8.691873917979688e-05,9.191538225597782e-05,9.402118603849346e-05,8.56629298281712e-05,7.920242440011931e-05,6.661080347262521e-05,unknown
AASDHPPT,0.00018447428106020471,0.00020260080782967223,0.00016909308274239276,0.000130042676482877,6.922073278489538e-05,6.47130485443905e-05,4.4334456554908584e-05,4.7938407168192494e-05,4.6829407256503344e-05,4.523364700118375e-05,Cytosol_5
AASS,5.699887533567982e-05,5.572468657385124e-05,0.00010587805625579808,0.00010948395568570494,0.00011023692080837004,0.00011536989930539876,0.0001483371719284067,0.00014111890081824923,8.181911917357345e-05,9.221324053162075e-05,unknown
AATF,4.701827888191892e-05,4.70450062345248e-05,5.79767024221623e-05,6.082323746260486e-05,0.0001987017536081323,0.00019864693926265097,8.547554222408585e-05,9.651209395647343e-05,0.00010876968425400322,0.00011849666991485366,Nucleus (Nucleolus)
ABAT,5.9051714092872535e-05,5.823974343988676e-05,0.00011779100998302028,0.00010832482322497781,0.00012757464821316444,0.00012076393757819298,0.00014846338006004582,0.0001313483765986985,7.695150727084186e-05,7.100157010449377e-05,unknown
ABCA2,5.480391370784906e-05,5.881481878532189e-05,4.004788132961994e-05,5.097408475275526e-05,0.00010346564218601583,9.339050417162555e-05,0.00012879999654399253,0.00012875342557057423,0.00016821552865587837,0.00017479376851531645,"Golgi, Endo/Lyosome"
ABCA3,3.072810250685246e-05,3.378599092669816e-05,4.603791200354243e-05,4.83892990261031e-05,8.32995021256656e-05,8.68507961647448e-05,0.00014806926683052805,0.0001425527999155786,0.00018973083268590866,0.0001951874491460164,unknown
ABCA5,5.8025280036041e-05,5.383396949543692e-05,6.038872349765271e-05,5.86868612550218e-05,9.13137460630582e-05,9.000754453281997e-05,0.00013970529357125886,0.00013725632904375818,0.00015927948154816272,0.00015586151157785148,unknown
ABCA7,4.658571753278281e-05,5.098119694256499e-05,6.71534726749365e-05,7.19135463446983e-05,0.00010887652314627957,0.00010669762513388397,0.0001670511089019422,0.00016161586841683892,0.00011735181565514948,0.00010964825914683407,unknown
ABCB10,4.223885870054435e-05,4.118475899806737e-05,4.8353205155279866e-05,4.3163299800321856e-05,0.00016807002875083617,0.00016560304884801806,0.00014734760013856554,0.00015914522980741544,9.296032475892256e-05,0.00010193696189066046,Mitochondria membrane
ABCB7,3.469567635303055e-05,3.491458081056843e-05,4.1109121675090185e-05,4.2332073444835704e-05,0.0001330462132699493,0.000136456966908018,0.00020491100365118827,0.00020254288558167348,8.515099174240693e-05,8.851304448550866e-05,Mitochondria membrane
ABCB8,5.01958505977194e-05,5.060047195061238e-05,4.953770792053396e-05,4.984332443464735e-05,0.00013657380363531907,0.0001248188201680537,0.00017246990884241774,0.00018374137540244097,9.481127343310955e-05,9.170444876046889e-05,Mitochondria membrane
ABCB9,3.837875640066785e-05,3.974236472107317e-05,6.565497580147323e-05,5.765957044388265e-05,8.96941918241233e-05,8.249981479369467e-05,0.00015242647239064322,0.00014950712446322803,0.00017495230089469076,0.00015636216393477526,unknown
ABCC1,3.451217102862254e-05,3.61401971760735e-05,3.503700127769461e-05,3.5888705820644376e-05,0.0001737273413665942,0.00017311733674578767,0.000173290163797843,0.00017024094183724326,8.709639600297849e-05,8.886607720659923e-05,Plasma Membrane
ABCC10,5.170552874944168e-05,5.808192177837445e-05,4.6458573174542146e-05,4.988257029042302e-05,8.941798609569597e-05,8.103393243260878e-05,0.00013748542336931496,0.00013617166833607567,0.00016805210710489206,0.00018287299507531,"Golgi, Endo/Lyosome"
ABCC3,5.1765897645116844e-05,6.478368756465647e-05,5.530930701975805e-05,6.148718444992189e-05,0.00014315184550722226,0.0001437548683881999,0.00013438508657153173,0.00014439175012018646,0.00010530388072093918,0.00010433013573334977,Plasma Membrane
ABCC4,5.226564880069384e-05,4.655736013819564e-05,4.4207032016712204e-05,4.769847881398586e-05,0.00014186195771652437,0.00013974296311869508,0.00017099032246615245,0.00017059307843557544,9.55048302427616e-05,9.543384603497154e-05,Plasma Membrane
ABCC5,4.105192674442675e-05,4.151515454397757e-05,4.7207998157730613e-05,5.0990663217186165e-05,0.000135103056595191,0.0001256620937853028,0.00016085262455963842,0.00015929321576818348,0.0001224772335313355,0.00012264058232108388,Plasma Membrane
ABCD1,3.5726285456526455e-05,3.865253927088882e-05,5.1593791429126254e-05,4.624500670769751e-05,0.00010201205186353251,0.00010248830579683195,0.00017774886928455843,0.00017151606205078148,0.0001391189810120074,0.00013873997586241396,"ER, Mitochondrion"
ABCD3,3.960400381796783e-05,3.947115831559524e-05,4.104834949564336e-05,4.224520908095079e-05,9.733268391212819e-05,9.694891665480006e-05,0.00018757095151487375,0.0001879813229158809,0.0001355681511773911,0.0001326368036360686,"ER, peroxisome"
ABCD4,4.9182893676329896e-05,3.299660526397636e-05,4.476263169478303e-05,4.3486195482286774e-05,9.45516215533193e-05,9.754490089971049e-05,0.00013489938746795657,0.00013886100055648725,0.00018129842748541977,0.00018652330160705453,"Golgi, Endo/Lyosome"
ABCE1,0.00021590206529483938,0.00022121778156540008,0.0001320190063598979,9.998426927655335e-05,6.466732212338594e-05,6.18811113965905e-05,4.5846417996841487e-05,4.741752730397574e-05,5.1451688344989114e-05,5.103335115182199e-05,unknown
ABCF1,0.0002179405649216514,0.00020944154847715585,0.00010615368035337158,0.00010175146552999629,6.147244884586398e-05,7.186869035612025e-05,5.605354591532573e-05,5.661629423543524e-05,5.805411993569526e-05,4.9794208814840505e-05,unknown
ABCF2,0.00015085775389977408,0.00014912726254775395,0.00014503999354727854,0.00015842467754048178,6.897534421288366e-05,7.345758185859176e-05,6.608954902283046e-05,6.44856676943113e-05,7.01312336495306e-05,6.540739629152129e-05,unknown
ABCF3,0.00023847968194363981,0.00024352528560711822,0.00010170545508386903,9.398719120770914e-05,5.848689425365518e-05,5.894401575465355e-05,5.3075086976610866e-05,5.0068111977820756e-05,4.262773031781431e-05,4.1098835613077185e-05,unknown
ABCG2,3.648259670956285e-05,4.0755657664528066e-05,4.9780869658090835e-05,5.3332366384477455e-05,0.00013258391271828883,0.0001246325053103812,0.00013772297300698104,0.00015308274731618094,0.0001398816641816567,0.0001406966291208212,unknown
ABHD10,2.4558320361250776e-05,3.1516617903660246e-05,0.00011660540995707392,0.00012563767461908342,0.00014240816434801985,0.00013510164333864453,0.000163133029503443,0.00016081055845498422,6.387477871913242e-05,6.340560397039425e-05,unknown
ABHD11,4.6462900222785805e-05,4.481394412678358e-05,0.00010388361826289769,0.00011833591341567097,0.00013973736261453984,0.00014277260795735776,0.0001551272156267495,0.0001443001044215463,6.211040356969439e-05,6.478460327294871e-05,unknown
ABHD12,4.879451054349839e-05,4.285857391245438e-05,4.121876297761601e-05,4.5857629756452625e-05,0.0001031399067339234,9.891744558158506e-05,0.00017294749905555823,0.0001628798809452692,0.00014653066618669256,0.00013816359084568372,"ER, peroxisome"
ABHD13,4.226807680904631e-05,4.185075131307026e-05,3.03499515080155e-05,3.432345345380869e-05,8.314713139134772e-05,8.739859016631627e-05,0.00010981498334663227,0.00011523816198712594,0.00020586771466017738,0.00025096750992288007,"Golgi, Endo/Lyosome"
ABHD14B,0.0001750006575480966,0.0001732607636865038,0.0001472626912371569,0.00014520521560122785,8.204217533800908e-05,8.155413733340868e-05,4.743335077705777e-05,5.15763836608144e-05,5.306051362091101e-05,5.198953280198123e-05,Cytosol_3
ABHD16A,6.496103091956617e-05,5.971266740958738e-05,6.582196360543406e-05,6.564777130572859e-05,0.00010748201168244051,0.00011084300385474729,0.00013896440140078345,0.0001453921697793963,0.00012106623497151537,0.0001263037311343536,"ER, Mitochondrion"
ABHD17A,5.159189878633909e-05,5.8771533674819557e-05,5.688108343729939e-05,6.255735954247715e-05,9.306711870265562e-05,9.376216613584201e-05,0.0001538600568056127,0.00014836723882134218,0.0001418193428206812,0.0001430914798513916,unknown
ABHD17B,0.0001062699436313686,9.087983275687002e-05,3.706887443979833e-05,4.492928154853956e-05,8.542778998518617e-05,8.713141512330829e-05,0.00011566439163044945,0.0001214603286082604,0.00014864674885259105,0.00015549752077240325,unknown
ABHD17C,3.0707126756765135e-05,3.630289803127941e-05,4.142466004779981e-05,3.548590988593321e-05,0.00011331255652905015,0.00010849828715090958,0.0001619848995640884,0.00015128300623101486,0.0001574925509878985,0.00016737232349135048,"Golgi, Endo/Lyosome"
ABHD2,5.92007709459826e-05,4.9608317517145114e-05,4.7599141959747244e-05,4.850792287298816e-05,9.185928313072953e-05,9.478164306555144e-05,0.00017295247692549831,0.00016042103847763647,0.0001347749786404418,0.00014028615937734646,"ER, peroxisome"
ABHD3,2.7719941791547157e-05,2.1365542289620997e-05,4.2969292874394477e-05,5.660735263366188e-05,0.00013432989834638253,0.00012081767835711521,0.00014478350839329103,0.00015630681238758566,0.0001457332170149156,0.00015982896632830192,unknown
