"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","WithoutCNN",0.998101210695932,0.997777777777778,0.998461538461539,0.997821350762527,0.363859934649863
"LOPITDC2019","WithoutCNN",0.998101210695932,0.997777777777778,0.998461538461539,0.997821350762527,0.391230619649791
"LOPITDC2019","WithoutCNN",0.994474736459469,0.998484848484848,0.990909090909091,0.997821350762527,0.131886876067502
"LOPITDC2019","WithoutCNN",0.998087215934018,0.998484848484848,0.997727272727273,0.997821350762527,0.513484994672405
"LOPITDC2019","WithoutCNN",0.994474736459469,0.998484848484848,0.990909090909091,0.997821350762527,0.0693467522443726
"LOPITDC2019","WithoutCNN",0.998087215934018,0.998484848484848,0.997727272727273,0.997821350762527,0.531041612973541
"LOPITDC2019","WithoutCNN",0.989855913077584,0.98468253968254,0.995589743589744,0.993464052287582,0.370926694425768
"LOPITDC2019","WithoutCNN",0.994474736459469,0.998484848484848,0.990909090909091,0.997821350762527,0.362060428762557
"LOPITDC2019","WithoutCNN",0.998101210695932,0.997777777777778,0.998461538461539,0.997821350762527,0.333759163765537
"LOPITDC2019","WithoutCNN",0.991053865244967,0.987831439393939,0.99465034965035,0.993464052287582,0.357737988584476
"LOPITDC2019","WithoutCNN",0.998087215934018,0.998484848484848,0.997727272727273,0.997821350762527,0.257112968261492
"LOPITDC2019","WithoutCNN",0.990690291620524,0.994089673913043,0.987832167832168,0.993464052287582,0.351082014130046
"LOPITDC2019","WithoutCNN",0.995828690015994,0.994329501915709,0.997430610626487,0.995642701525055,0.230598730530833
"LOPITDC2019","WithoutCNN",0.998101210695932,0.997777777777778,0.998461538461539,0.997821350762527,0.360274979423351
"LOPITDC2019","WithoutCNN",0.996889834670159,0.995238095238095,0.998666666666667,0.997821350762527,0.277458786262997
"LOPITDC2019","WithoutCNN",0.994617313990221,0.991789819376026,0.997635738831615,0.995642701525055,0.554100003141994
"LOPITDC2019","WithoutCNN",1,1,1,1,0.378663471110164
"LOPITDC2019","WithoutCNN",0.996889834670159,0.995238095238095,0.998666666666667,0.997821350762527,0.23872210908486
"LOPITDC2019","WithoutCNN",0.994977050604177,0.993722943722944,0.996393939393939,0.995642701525055,0.403276983431239
