"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","MCMC",1,1,1,1,1.91000387176361e-06
"LOPITDC2019","MCMC",1,1,1,1,1.95403169098138e-09
"LOPITDC2019","MCMC",0.991292517006803,0.9875,0.996,0.991666666666667,0.0166544660786354
"LOPITDC2019","MCMC",0.991292517006803,0.9875,0.996,0.991666666666667,0.0166526830345691
"LOPITDC2019","MCMC",0.9842622139765,0.979807692307692,0.990117647058824,0.983333333333333,0.0333353842650101
"LOPITDC2019","MCMC",0.950927570250151,0.938021978021978,0.977089783281734,0.966666666666667,0.0501022574752
"LOPITDC2019","MCMC",0.9842622139765,0.979807692307692,0.990117647058824,0.983333333333333,0.0333045792012931
"LOPITDC2019","MCMC",0.982683982683983,0.975,0.994117647058824,0.991666666666667,0.0104546822029548
"LOPITDC2019","MCMC",1,1,1,1,1.44071333016917e-06
"LOPITDC2019","MCMC",0.98578431372549,0.98578431372549,0.98578431372549,0.983333333333333,0.0289132766349501
"LOPITDC2019","MCMC",0.982683982683983,0.975,0.994117647058824,0.991666666666667,0.0106214114481268
"LOPITDC2019","MCMC",1,1,1,1,3.42120672877643e-10
"LOPITDC2019","MCMC",1,1,1,1,2.87883258739009e-13
"LOPITDC2019","MCMC",0.98578431372549,0.98578431372549,0.98578431372549,0.983333333333333,0.0264498583840819
"LOPITDC2019","MCMC",1,1,1,1,5.32422509846596e-07
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166666634431705
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0117165324340102
"LOPITDC2019","MCMC",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.0166706104995765
"LOPITDC2019","MCMC",0.96875,0.96,0.988235294117647,0.983333333333333,0.020599257278071
"LOPITDC2019","MCMC",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0116422381760862
"LOPITDC2019","MCMC",0.982683982683983,0.975,0.994117647058824,0.991666666666667,0.00438013456047109
"LOPITDC2019","MCMC",0.986057692307692,0.985714285714286,0.988235294117647,0.983333333333333,0.0333238722108962
"LOPITDC2019","MCMC",0.968290043290043,0.960416666666667,0.979901960784314,0.975,0.0404917627935177
"LOPITDC2019","MCMC",0.982574686574687,0.978021978021978,0.988854489164087,0.983333333333333,0.0333219989555515
"LOPITDC2019","MCMC",1,1,1,1,0.00193580537656499
"LOPITDC2019","MCMC",0.966776623692955,0.956617647058824,0.98178431372549,0.975,0.038253456830907
"LOPITDC2019","MCMC",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0166532600187747
