"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","NB",0.989450549450549,0.994444444444444,0.985714285714286,0.991666666666667,1.89999776330757
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.88277335110401
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.79999999999968
"LOPITDC2019","NB",1,1,1,1,1.80000956789468
"LOPITDC2019","NB",0.961389135364291,0.976973684210526,0.954333333333333,0.975,1.76670843084906
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.86666666571379
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.64989892855879
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.66653045491672
"LOPITDC2019","NB",0.956743066457352,0.974252136752137,0.948380952380952,0.975,1.7999494637447
"LOPITDC2019","NB",1,1,1,1,1.81444880099634
"LOPITDC2019","NB",1,1,1,1,1.84974123932341
"LOPITDC2019","NB",1,1,1,1,1.81663333746252
"LOPITDC2019","NB",0.959851758112628,0.985,0.944047619047619,0.975,1.81601167633315
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.83333333333268
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.69995998406566
"LOPITDC2019","NB",1,1,1,1,1.69999999992273
"LOPITDC2019","NB",0.937544065804935,0.985,0.925,0.975,1.81666604629125
"LOPITDC2019","NB",0.98578431372549,0.98578431372549,0.98578431372549,0.983333333333333,1.7977801236357
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667,1.74999913786057
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.84999999999937
"LOPITDC2019","NB",0.986057692307692,0.985714285714286,0.988235294117647,0.983333333333333,1.86666125918853
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.81663657328724
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.71498620855883
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667,1.7498941547742
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.7330528421834
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.79357186503349
"LOPITDC2019","NB",1,1,1,1,1.63308432186548
"LOPITDC2019","NB",0.962800982800983,0.985,0.95,0.975,1.88333218537518
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.78323414676468
"LOPITDC2019","NB",1,1,1,1,1.69999487942929
"LOPITDC2019","NB",0.970201607915894,0.965865384615385,0.975901960784314,0.966666666666667,1.73258499364177
"LOPITDC2019","NB",0.95269046742731,0.980952380952381,0.935714285714286,0.966666666666667,1.78332823607878
"LOPITDC2019","NB",0.962800982800983,0.985,0.95,0.975,1.79999994094157
"LOPITDC2019","NB",1,1,1,1,1.78333333333165
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.81666666666666
"LOPITDC2019","NB",1,1,1,1,1.81032914483984
"LOPITDC2019","NB",1,1,1,1,1.79999999956745
"LOPITDC2019","NB",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333,1.88333333331466
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.7499861972264
"LOPITDC2019","NB",1,1,1,1,1.78293243631079
"LOPITDC2019","NB",1,1,1,1,1.69993710432077
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.83333333333286
"LOPITDC2019","NB",1,1,1,1,1.71666665632247
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.78333333197449
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667,1.69993000961345
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667,1.79960805288172
"LOPITDC2019","NB",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333,1.78333134539567
"LOPITDC2019","NB",0.992172739541161,0.995,0.99,0.991666666666667,1.71656479665456
"LOPITDC2019","NB",0.96047619047619,0.972222222222222,0.958666666666667,0.975,1.88333245665354
"LOPITDC2019","NB",1,1,1,1,1.81561628594093
"LOPITDC2019","NB",1,1,1,1,1.86657065676679
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.71666666666667
"LOPITDC2019","NB",1,1,1,1,1.74999312626823
"LOPITDC2019","NB",1,1,1,1,1.78318050965534
"LOPITDC2019","NB",1,1,1,1,1.74999999999973
"LOPITDC2019","NB",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.683333330396
"LOPITDC2019","NB",1,1,1,1,1.63347791079097
"LOPITDC2019","NB",0.981585081585082,0.985714285714286,0.979831932773109,0.983333333333333,1.72618402942078
"LOPITDC2019","NB",0.944444444444444,0.989473684210526,0.933333333333333,0.983333333333333,1.71664416286791
"LOPITDC2019","NB",0.958418803418803,0.981140350877193,0.944047619047619,0.975,1.76662919344685
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667,1.69999999943426
"LOPITDC2019","NB",0.98240431066518,0.989473684210526,0.977380952380952,0.983333333333333,1.73317271272084
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.76666658272427
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.78332305127412
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.74984872469386
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.816612075171
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.78295983953721
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.79998884165146
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.68333333339545
"LOPITDC2019","NB",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333,1.79999646633483
"LOPITDC2019","NB",0.988307692307692,0.992307692307692,0.985714285714286,0.991666666666667,1.76018020419262
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.78334764838113
"LOPITDC2019","NB",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,1.81666665940602
"LOPITDC2019","NB",1,1,1,1,1.81370743143008
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.81666666504603
"LOPITDC2019","NB",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333,1.79618916691818
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.76581569641747
"LOPITDC2019","NB",1,1,1,1,1.8999999999755
"LOPITDC2019","NB",1,1,1,1,1.74967629982386
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.80000000000225
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.71651490771328
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667,1.76499123936461
"LOPITDC2019","NB",1,1,1,1,1.79999999999978
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.64997656476398
"LOPITDC2019","NB",1,1,1,1,1.71666216968859
"LOPITDC2019","NB",0.944444444444444,0.989473684210526,0.933333333333333,0.983333333333333,1.73333333288292
"LOPITDC2019","NB",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333,1.74781855297234
"LOPITDC2019","NB",1,1,1,1,1.79892535165837
"LOPITDC2019","NB",1,1,1,1,1.78238987675044
"LOPITDC2019","NB",1,1,1,1,1.78333269893827
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667,1.71526903543414
"LOPITDC2019","NB",1,1,1,1,1.78313784130713
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.76477827076618
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.79999999988563
"LOPITDC2019","NB",0.965450549450549,0.986752136752137,0.952380952380952,0.983333333333333,1.69999988728147
"LOPITDC2019","NB",0.988307692307692,0.992307692307692,0.985714285714286,0.991666666666667,1.76666297247699
"LOPITDC2019","NB",1,1,1,1,1.75000088314882
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.61869953076615
"LOPITDC2019","NB",0.96047619047619,0.972222222222222,0.958666666666667,0.975,1.73333333332581
"LOPITDC2019","NB",1,1,1,1,1.81665585884031
