"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.0248428017400668
"LOPITDC2019","SVM",1,1,1,1,0.15388907128941
"LOPITDC2019","SVM",0.960446718032925,0.973492063492064,0.956140350877193,0.975,0.660123770382679
"LOPITDC2019","SVM",0.976098891945968,0.973492063492064,0.981140350877193,0.975,1.03572220249749
"LOPITDC2019","SVM",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.0313297968772874
"LOPITDC2019","SVM",0.960446718032925,0.973492063492064,0.956140350877193,0.975,1.10086624226459
"LOPITDC2019","SVM",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.11032997442728
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.0250219653508855
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,1.23789998389146
"LOPITDC2019","SVM",0.967186922947793,0.963888888888889,0.973140350877193,0.958333333333333,1.00184576730539
"LOPITDC2019","SVM",0.955454690237299,0.953012265512265,0.961661506707946,0.95,0.797595013176111
"LOPITDC2019","SVM",0.98240431066518,0.989473684210526,0.977380952380952,0.983333333333333,0.148761248319616
"LOPITDC2019","SVM",0.980572808833678,0.981944444444444,0.981140350877193,0.975,1.34031452139401
"LOPITDC2019","SVM",0.969864628125498,0.96765873015873,0.975877192982456,0.966666666666667,0.0376072866695692
"LOPITDC2019","SVM",0.987777777777778,0.9875,0.989473684210526,0.983333333333333,1.36446585831257
"LOPITDC2019","SVM",1,1,1,1,0.70455051126702
"LOPITDC2019","SVM",0.963945639792716,0.98280701754386,0.953070175438597,0.975,0.66175854539036
"LOPITDC2019","SVM",1,1,1,1,0.772943228467238
"LOPITDC2019","SVM",0.988307692307692,0.992307692307692,0.985714285714286,0.991666666666667,0.36725967528895
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.262971267062346
"LOPITDC2019","SVM",0.987777777777778,0.9875,0.989473684210526,0.983333333333333,0.022187011026544
"LOPITDC2019","SVM",0.947166215427085,0.962687969924812,0.942543859649123,0.958333333333333,0.0386436091080251
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0183249305162103
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.555465554676337
"LOPITDC2019","SVM",0.980572808833678,0.981944444444444,0.981140350877193,0.975,0.693646846187277
"LOPITDC2019","SVM",0.964920634920635,0.981944444444444,0.956140350877193,0.975,0.0267800276683479
"LOPITDC2019","SVM",0.963945639792716,0.98280701754386,0.953070175438597,0.975,0.0431138809594824
"LOPITDC2019","SVM",0.988307692307692,0.992307692307692,0.985714285714286,0.991666666666667,0.678322624882188
"LOPITDC2019","SVM",0.973131313131313,0.976973684210526,0.97280701754386,0.966666666666667,1.14035760306742
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.12335320616664
"LOPITDC2019","SVM",0.98240002066089,0.98015873015873,0.98640350877193,0.983333333333333,1.01319638835217
"LOPITDC2019","SVM",0.98578431372549,0.98578431372549,0.98578431372549,0.983333333333333,0.390095334303535
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.31844696101096
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.34172776915837
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.625241731742276
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.10577223127465
"LOPITDC2019","SVM",0.957874396135266,0.976973684210526,0.94780701754386,0.966666666666667,0.536457806803126
"LOPITDC2019","SVM",0.963660598126401,0.962511671335201,0.970614035087719,0.958333333333333,0.027797116307245
"LOPITDC2019","SVM",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0411407354129993
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0231077943217929
"LOPITDC2019","SVM",0.963966668494052,0.979758672699849,0.955521155830753,0.975,1.23481876820321
"LOPITDC2019","SVM",0.98240002066089,0.98015873015873,0.98640350877193,0.983333333333333,1.15669994770421
"LOPITDC2019","SVM",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.0367201508221875
"LOPITDC2019","SVM",0.957874396135266,0.976973684210526,0.94780701754386,0.966666666666667,1.34705215846224
"LOPITDC2019","SVM",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.41341324366239
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,1.20495889861699
"LOPITDC2019","SVM",0.98240002066089,0.98015873015873,0.98640350877193,0.983333333333333,0.1599784870603
"LOPITDC2019","SVM",0.982156713742921,0.985641025641026,0.980451127819549,0.983333333333333,1.0418903349982
"LOPITDC2019","SVM",0.970991878578085,0.987777777777778,0.96140350877193,0.983333333333333,1.34158391015135
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,0.162773378846944
"LOPITDC2019","SVM",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,0.651332738356083
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.22459106040384
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.0206582495564295
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.383060908901992
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,1.33460698914249
"LOPITDC2019","SVM",0.985141538442031,0.980833333333333,0.990736842105263,0.983333333333333,0.020594392408624
"LOPITDC2019","SVM",0.970991878578085,0.987777777777778,0.96140350877193,0.983333333333333,0.148949358681879
"LOPITDC2019","SVM",0.975735294117647,0.977777777777778,0.978947368421053,0.966666666666667,0.379808113642616
"LOPITDC2019","SVM",0.97223411460293,0.973131313131313,0.97218782249742,0.966666666666667,0.034798199920483
"LOPITDC2019","SVM",0.964920634920635,0.981944444444444,0.956140350877193,0.975,1.14387099160758
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.33831242115358
"LOPITDC2019","SVM",0.966747846747847,0.98015873015873,0.96140350877193,0.983333333333333,0.030798479895816
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,1.06498215223358
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.24602387456997
"LOPITDC2019","SVM",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,0.032628706086392
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.0408443560184227
"LOPITDC2019","SVM",0.957895424836601,0.973925339366516,0.950257997936017,0.966666666666667,0.030183293514299
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.09070598803056
"LOPITDC2019","SVM",0.983303860890068,0.979047619047619,0.989473684210526,0.983333333333333,0.730022282893162
"LOPITDC2019","SVM",0.980572808833678,0.981944444444444,0.981140350877193,0.975,0.247977267503081
"LOPITDC2019","SVM",0.976098891945968,0.973492063492064,0.981140350877193,0.975,0.257627068204111
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.165768469616367
"LOPITDC2019","SVM",0.986818718404925,0.985641025641026,0.988854489164087,0.983333333333333,1.24600258080384
"LOPITDC2019","SVM",0.970991878578085,0.987777777777778,0.96140350877193,0.983333333333333,1.13496165923026
"LOPITDC2019","SVM",0.927149055409925,0.970714285714286,0.919736842105263,0.966666666666667,0.664907083942124
"LOPITDC2019","SVM",0.986644052491129,0.987777777777778,0.98640350877193,0.983333333333333,1.34489185126912
"LOPITDC2019","SVM",1,1,1,1,1.47627483819612
"LOPITDC2019","SVM",1,1,1,1,0.0183447524027272
"LOPITDC2019","SVM",0.963966668494052,0.979758672699849,0.955521155830753,0.975,0.161193526669047
"LOPITDC2019","SVM",0.969864628125498,0.96765873015873,0.975877192982456,0.966666666666667,0.251715996222611
"LOPITDC2019","SVM",0.987777777777778,0.9875,0.989473684210526,0.983333333333333,0.766582883429068
"LOPITDC2019","SVM",0.979070294784581,0.975,0.985473684210526,0.975,1.22703708326225
"LOPITDC2019","SVM",0.970991878578085,0.987777777777778,0.96140350877193,0.983333333333333,0.0411435642223789
"LOPITDC2019","SVM",0.969088174615558,0.964831932773109,0.975257997936017,0.966666666666667,0.0410894046271499
"LOPITDC2019","SVM",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.0243719596497186
"LOPITDC2019","SVM",0.969088174615558,0.964831932773109,0.975257997936017,0.966666666666667,0.915423592357098
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.48083959579756
"LOPITDC2019","SVM",1,1,1,1,0.024593318666562
"LOPITDC2019","SVM",0.97472084904343,0.974660633484163,0.978328173374613,0.966666666666667,1.34820258604665
"LOPITDC2019","SVM",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,0.0373929140251651
"LOPITDC2019","SVM",1,1,1,1,1.10112859109156
"LOPITDC2019","SVM",0.970991878578085,0.987777777777778,0.96140350877193,0.983333333333333,0.713746901759276
"LOPITDC2019","SVM",0.982574686574687,0.978021978021978,0.988854489164087,0.983333333333333,1.23058609920863
"LOPITDC2019","SVM",0.965838700136436,0.964297385620915,0.971877192982456,0.958333333333333,0.920492956268253
"LOPITDC2019","SVM",0.963945639792716,0.98280701754386,0.953070175438597,0.975,1.35440073588909
"LOPITDC2019","SVM",1,1,1,1,0.694384493633256
"LOPITDC2019","SVM",1,1,1,1,1.11278139279816
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.45567866900699
"LOPITDC2019","SVM",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,1.09095330588991
"LOPITDC2019","SVM",0.980747474747475,0.979807692307692,0.98359133126935,0.975,1.06536771715707
