"data","method","f1score","precision","recall","accuracy","quadloss"
"hirst2018","WithoutCNN",0.870885173458684,0.84755763372267,0.901751451234873,0.940878378378378,0.704607717366475
"hirst2018","WithoutCNN",0.89552758251137,0.87855739119037,0.923373162623418,0.954391891891892,0.729453317620834
"hirst2018","WithoutCNN",0.887879884891138,0.867513416630213,0.913946037727978,0.935810810810811,1.59343452656941
"hirst2018","WithoutCNN",0.890424740725552,0.883283176142383,0.905161350894079,0.942567567567568,0.6836916569157
"hirst2018","WithoutCNN",0.895493926624997,0.872461425027215,0.92515085296402,0.947635135135135,0.737030566016665
"hirst2018","WithoutCNN",0.889868337913242,0.864915876095889,0.923331486092878,0.949324324324324,1.11780623900297
"hirst2018","WithoutCNN",0.87124786656654,0.849481748110613,0.902603809953267,0.940878378378378,0.768069567115333
"hirst2018","WithoutCNN",0.877612497310724,0.86473854354837,0.894371358842051,0.934121621621622,1.21387177996144
"hirst2018","WithoutCNN",0.89571290516508,0.879055094496374,0.91680542072849,0.945945945945946,1.51290574668456
"hirst2018","WithoutCNN",0.894503567706252,0.875602636091767,0.917072394565944,0.952702702702703,1.39667022013143
"hirst2018","WithoutCNN",0.885461302356801,0.867494514181084,0.906737805553231,0.939189189189189,1.06143066022031
"hirst2018","WithoutCNN",0.851578514667867,0.831946560843781,0.879900503205861,0.929054054054054,1.0987657435484
"hirst2018","WithoutCNN",0.885869348632013,0.870376630260351,0.910250426996332,0.945945945945946,1.83106178771624
"hirst2018","WithoutCNN",0.899982567924901,0.878799294305866,0.928969764568821,0.947635135135135,0.717292113991789
"hirst2018","WithoutCNN",0.880623246795362,0.867838672610729,0.89861853971655,0.935810810810811,1.23455602785565
"hirst2018","WithoutCNN",0.884884018114444,0.871638813329426,0.908373419782269,0.9375,1.21221374735093
"hirst2018","WithoutCNN",0.885963528276541,0.867033794150239,0.91707443610362,0.942567567567568,1.37363758680093
"hirst2018","WithoutCNN",0.898865622668774,0.883935851146039,0.922387382800992,0.949324324324324,2.31234610365016
"hirst2018","WithoutCNN",0.875330108697389,0.854556112675181,0.902447242862807,0.934121621621622,1.78406047162248
"hirst2018","WithoutCNN",0.885089599213014,0.875164020229574,0.899546589646947,0.951013513513513,0.559736547197477
"hirst2018","WithoutCNN",0.901648089671983,0.881763883386042,0.925785485009274,0.95777027027027,0.551329398220948
"hirst2018","WithoutCNN",0.866230630173646,0.852325459311522,0.887996593726359,0.9375,1.76452469608635
"hirst2018","WithoutCNN",0.874600916880393,0.861971183511737,0.897245415122078,0.9375,1.6171544683253
"hirst2018","WithoutCNN",0.889760267290349,0.888681534778491,0.899734795023307,0.944256756756757,0.657041571028087
"hirst2018","WithoutCNN",0.885451401518074,0.873580367556063,0.908356605761494,0.947635135135135,0.743206692502138
"hirst2018","WithoutCNN",0.892995776218903,0.882229516081117,0.908870040144111,0.952702702702703,1.23597850729242
"hirst2018","WithoutCNN",0.85313248320699,0.837761539620717,0.875621662195857,0.929054054054054,0.934326977146932
"hirst2018","WithoutCNN",0.894635481035015,0.879103811848377,0.917387440002287,0.954391891891892,0.901598103965866
"hirst2018","WithoutCNN",0.866652269304742,0.844940731782837,0.895613800315958,0.9375,0.764277212911251
"hirst2018","WithoutCNN",0.884748496327307,0.861346588432677,0.917250688411189,0.947635135135135,0.63219799555967
"hirst2018","WithoutCNN",0.890545853798591,0.872112943155648,0.91390557619614,0.939189189189189,1.27465435611438
"hirst2018","WithoutCNN",0.895722377972146,0.885652853799192,0.909648738056579,0.947635135135135,1.14540346393447
"hirst2018","WithoutCNN",0.897005400598677,0.890303669343304,0.911351130277163,0.949324324324324,0.896598591181753
"hirst2018","WithoutCNN",0.913267593269657,0.902349764791625,0.927548171714744,0.951013513513513,0.495814583376757
"hirst2018","WithoutCNN",0.877666776298816,0.861924000795952,0.899041752510441,0.942567567567568,0.555966282329981
"hirst2018","WithoutCNN",0.864382868867025,0.852131594798674,0.882170470906564,0.940878378378378,0.960992946412441
