"","FS1.A.A431","FS1.B.A431","FS2.A.A431","FS2.B.A431","FP1.A.A431","FP1.B.A431","FP2.A.A431","FP2.B.A431","FP3.A.A431","FP3.B.A431","markers"
"A2M",0.150538710430635,0.123394709630074,0.0855348744120885,0.0811484705960839,0.0801644484472464,0.0756696354114547,0.115822742586477,0.099769838887221,0.0948664064845392,0.0930901631141799,"unknown"
"AAAS",0.0401824634324612,0.0384828764409063,0.0376198737198059,0.0301170337363615,0.175233583134461,0.176545699516542,0.124228361087383,0.125337936014513,0.124219554937168,0.128032617980398,"Plasma Membrane"
"AACS",0.286086121911145,0.297221454018968,0.097419921589042,0.0853735907989133,0.0451107026077337,0.0456719428673684,0.0394494965105497,0.0360983227863545,0.035049047518342,0.032519399391583,"Cytosol_4"
"AADAT",0.120340769052169,0.100918004679323,0.149148970370238,0.128350984979729,0.0873711846546767,0.089130395956493,0.121126609633691,0.10834777017735,0.04820417567109,0.0470611348252398,"unknown"
"AAED1",0.0832006520338148,0.0798646650744911,0.0717142423897797,0.0753724553622199,0.0955589673604003,0.0989139087910838,0.117489290723682,0.119640623223018,0.139087910838167,0.119157284203344,"unknown"
"AAGAB",0.274539306573476,0.271424873400314,0.0858774612111505,0.0728130207574949,0.0534873562102606,0.0563186590949538,0.0519988998365934,0.0533741040948729,0.0395492565807568,0.0406170622401268,"unknown"
"AAK1",0.300548778080461,0.271712266571914,0.078708200086857,0.0721781357337439,0.0448655691105057,0.0471159540447708,0.0541908484346007,0.0488767815547396,0.0431679103004461,0.0386355560819614,"Cytosol_3"
"AAMDC",0.237005934837902,0.256401146594534,0.0944325568250636,0.0864871411845452,0.0555129395615487,0.0552141790140902,0.0603011829302758,0.0608260325406758,0.0492954903306553,0.0445233961807098,"unknown"
"AAMP",0.243710842603248,0.273534394578698,0.0967986830328603,0.0993718833908707,0.04957805907173,0.0464135021097046,0.0526627029791587,0.047907876230661,0.0467890934663087,0.04323296253676,"unknown"
"AAR2",0.110878623991489,0.115409167479386,0.130312971008068,0.135535065165352,0.070254455182197,0.0706534267222272,0.0749445872861069,0.0767089280964624,0.111481514318645,0.103821260750066,"unknown"
"AARS",0.289783812076705,0.307334210985455,0.0810902977144035,0.0841197836534649,0.0450457595127445,0.0449664535981093,0.0401763763541485,0.0392802195187717,0.0350690754516472,0.0331340111345504,"Cytosol_4"
"AARS2",0.0456548730440057,0.0435318314077472,0.088798112009402,0.0992048071728478,0.139438341752836,0.130320636154262,0.172468699352662,0.157607407898852,0.0628761527452634,0.0600991384621217,"unknown"
"AARSD1",0.372588017725671,0.409469974528071,0.0708677902229666,0.0713772287937472,0.016511392581737,0.0174814194493876,0.0143201088663247,0.0137548414110751,0.00649708643009177,0.00713213999092781,"unknown"
"AASDH",0.106404418899754,0.114400612077331,0.133350750167948,0.144575278047324,0.0828823617227737,0.0872396805254908,0.098557512876017,0.0871183847129954,0.0781704859296857,0.0673005150406807,"unknown"
"AASDHPPT",0.200631219041774,0.221864726252575,0.147977030640424,0.114952001052032,0.0660062245211064,0.061421119537106,0.0464735019506422,0.0487529040459387,0.0462192609477053,0.0457020120106957,"Cytosol_5"
"AASS",0.0619910470819257,0.0610231640468679,0.0926561874714986,0.0967789969381392,0.105117681547868,0.109501074908563,0.1554941322091,0.143516579650259,0.0807530874538162,0.0931680486919619,"unknown"
"AATF",0.0511363131766148,0.0515181925560164,0.0507366719656131,0.0537650642534258,0.189474338593796,0.188541842434792,0.0895995595065763,0.0981518814220122,0.107352510190851,0.119723625900303,"Nucleus (Nucleolus)"
"ABAT",0.064223681029513,0.0637773603853235,0.103081472114258,0.0957543748721477,0.121650270581891,0.114620720435906,0.155626429620813,0.133580049467205,0.0759488962862403,0.0717367452067022,"unknown"
"ABCA2",0.0596038426184597,0.0644071156930952,0.0350467710830344,0.0450588468539913,0.0986608510714994,0.0886397635311717,0.1350143287133,0.130941008957699,0.166023827118216,0.176603644359534,"Golgi, Endo/Lyosome"
"ABCA3",0.0334193830671626,0.0369984686064319,0.0402887770728506,0.0427740100634434,0.0794311966746882,0.0824327280682564,0.155213301246992,0.14497484139138,0.187258805513017,0.197208488295778,"unknown"
"ABCA5",0.0631073480919102,0.0589526716756029,0.0528474840154292,0.0518766017370921,0.0870732709986093,0.0854288938064708,0.146445783659439,0.139588380900734,0.157204208905877,0.157475356208836,"unknown"
"ABCA7",0.0506658665089885,0.0558286485866333,0.0587674630000618,0.0635684090688459,0.103820458737457,0.101269956138416,0.175110977751498,0.164361800707787,0.115822823909417,0.110783595590896,"unknown"
"ABCB10",0.0459382937465291,0.0451007346849594,0.0423149404149559,0.0381544568156369,0.160265105650792,0.157178882586965,0.154456815636864,0.1618491847455,0.0917491328532542,0.102992452864543,"Mitochondria membrane"
"ABCB7",0.0377344516654632,0.0382343683460164,0.0359754855672203,0.0374196893110408,0.126867744264845,0.129515451128516,0.214797533744376,0.205984187820548,0.0840415486307838,0.0894295395211909,"Mitochondria membrane"
"ABCB8",0.0545921883439811,0.0554117230717652,0.0433515245208516,0.0440593045130287,0.130231518560599,0.118469332637971,0.180791223528097,0.186863230829406,0.0935759652815288,0.0926539887127717,"Mitochondria membrane"
"ABCB9",0.0417401094489715,0.0435211930491598,0.0574560958278347,0.0509685218851801,0.0855289264587813,0.07830307952123,0.159780732920516,0.152047323298973,0.172672825093899,0.157981192495455,"unknown"
"ABCC1",0.0375348742678713,0.0395765201485505,0.0306616410768065,0.0317240359920921,0.165659701051309,0.164310921419729,0.18165105408052,0.173133418324927,0.0859616059715832,0.0897862276666112,"Plasma Membrane"
"ABCC10",0.0562340896767849,0.0636045325466626,0.040656906803415,0.0440939961217869,0.0852655473151186,0.0769117660573645,0.144118809333444,0.138485291279535,0.165862534807422,0.184766526058467,"Golgi, Endo/Lyosome"
"ABCC3",0.0562997459030182,0.0709435231830295,0.0484023762937255,0.0543519641608159,0.136504085914882,0.136442111041266,0.14086888772809,0.146845036255301,0.103931863053236,0.105410406466635,"Plasma Membrane"
"ABCC4",0.0568432671081678,0.0509841795437822,0.0386865342163355,0.0421633554083885,0.135274098601913,0.132634289919058,0.179240250183959,0.173491537895511,0.0942604856512141,0.0964220014716703,"Plasma Membrane"
"ABCC5",0.044647405911613,0.0454625452726549,0.0413127448891688,0.045073501486703,0.128829070833758,0.119269709236085,0.168613429420973,0.161999685059792,0.120881462063599,0.123910445825653,"Plasma Membrane"
"ABCD1",0.0388553253157172,0.0423277435868481,0.0451508478723204,0.040878550053639,0.0972747633297574,0.0972747633297574,0.186324882841172,0.174430203451716,0.137306382097755,0.140176538121318,"ER, Mitochondrion"
"ABCD3",0.0430726685544896,0.0432241994904772,0.0359223025125723,0.0373429050374566,0.0928126982924358,0.0920171608785006,0.196620860127475,0.191175217115419,0.133801816477095,0.134010171514078,"ER, peroxisome"
"ABCD4",0.0534905129190537,0.0361340256861711,0.0391727515662844,0.0384398823834336,0.0901607843487742,0.0925828276238057,0.14140800257398,0.141220316563737,0.178936267193379,0.188454629141381,"Golgi, Endo/Lyosome"
"ABCE1",0.234811564543263,0.242251860073883,0.115532700879308,0.0883816923637247,0.0616642675037722,0.0587332419917099,0.0480584123900865,0.0482231741792261,0.0507813177474462,0.0515617683275811,"unknown"
"ABCF1",0.23702860348654,0.229355905914577,0.0928973921078468,0.0899438160532634,0.0586177594073047,0.0682127564784793,0.0587580130188352,0.0575782326394905,0.0572977254164295,0.0503097954772335,"unknown"
"ABCF2",0.164070432435716,0.163306749051904,0.126927649677604,0.140040440506461,0.0657722314307782,0.0697208216538952,0.0692782324200953,0.0655813105848253,0.0692174848782012,0.0660846473605193,"unknown"
"ABCF3",0.259366612137287,0.266680431364452,0.0890046535266744,0.0830805393643886,0.0557708495465591,0.0559455553261439,0.0556358496259708,0.0509187935771802,0.0420723281927481,0.0415243873385957,"unknown"
"ABCG2",0.0396778770980016,0.0446308330546542,0.0435643206406305,0.0471434639961678,0.126426912265797,0.118292495548666,0.144367820247467,0.155683697725075,0.138059128171293,0.142153451252248,"unknown"
"ABHD10",0.0267092286435752,0.0345133164991186,0.10204392777169,0.111058173328887,0.135794940206775,0.128229072371242,0.171003859164324,0.163542808137596,0.0630425460955739,0.0640621277812187,"unknown"
"ABHD11",0.0505322924059617,0.0490749940856399,0.0909108114502011,0.104603737875562,0.133248166548379,0.13550981783771,0.162611781405252,0.146751833451621,0.061301159214573,0.0654554057251005,"unknown"
"ABHD12",0.0530681137588704,0.0469337011561008,0.0360714350532678,0.0405361258825024,0.0983502422911487,0.093885551461914,0.181291856476524,0.16564728942449,0.144621499482749,0.139594185012432,"ER, peroxisome"
"ABHD13",0.0459700708847467,0.0458300516320994,0.0265599019865231,0.0303404218079986,0.0792859018114991,0.0829526559901986,0.115113328082611,0.117196114465739,0.203185437997725,0.253566115340859,"Golgi, Endo/Lyosome"
"ABHD14B",0.190327860638351,0.18973493895412,0.128872780719189,0.128355018121691,0.0782322582800261,0.0774055083259566,0.0497219113790857,0.052452691530406,0.0523691814340354,0.0525278506171396,"Cytosol_3"
"ABHD16A",0.0706505576208178,0.0653903345724907,0.0576022304832714,0.0580297397769517,0.102490706319703,0.105204460966543,0.145669144981413,0.147862453531599,0.119488847583643,0.127611524163569,"ER, Mitochondrion"
"ABHD17A",0.0561105075823817,0.0643597148989163,0.0497778719871404,0.0552979518295753,0.0887452196108564,0.0889925191877975,0.161283484804324,0.150888070445051,0.139971560548652,0.144573099105305,"unknown"
"ABHD17B",0.11557745727874,0.0995209714732922,0.0324397774280382,0.0397155069360235,0.08146064999957,0.0826990720434824,0.121244958160255,0.123523998727177,0.146710011438204,0.157107596515218,"unknown"
"ABHD17C",0.0333965701835121,0.0397546911099006,0.0362516200529687,0.0313679821183719,0.108050489302955,0.102979019140104,0.169800334341366,0.153853378162625,0.155440560491369,0.169105355096828,"Golgi, Endo/Lyosome"
"ABHD2",0.0643857928316251,0.0543252314918967,0.041655043328804,0.04287886832183,0.087593474133199,0.0899601357005948,0.181297074518344,0.163146670026186,0.133018978286105,0.141738731361415,"ER, peroxisome"
"ABHD3",0.0301477565405992,0.023397044869188,0.0376033618001898,0.0500384076634585,0.128091816908409,0.114671727441146,0.151769011793412,0.158962541231756,0.143834440377751,0.161483891374091,"unknown"
"ABHD4",0.184926395210563,0.185484069381228,0.0780415795300775,0.0861032517324804,0.0671341288391356,0.0670849222946652,0.0965432402509534,0.0902776069217206,0.0710378480337885,0.0733669578053881,"unknown"
"ABHD5",0.0624736361079865,0.0627724268841395,0.0540284026996625,0.0518929274465692,0.0748910292463442,0.0803659308211473,0.190795486501687,0.180170838020247,0.114586262654668,0.128023059617548,"unknown"
"ABHD6",0.0601457654437787,0.0548985598654473,0.0487228003784295,0.0440800308349977,0.13766249693402,0.138783769578472,0.0989873506429798,0.10681873926907,0.14336521952416,0.166535267528645,"ER, peroxisome"
"ABHD8",0.267420675295175,0.198668654220792,0.0778143214316699,0.0809849434887885,0.0508324854679822,0.0417070881543352,0.0838479678836492,0.0763394300767417,0.0591376223489419,0.0632468116319239,"unknown"
"ABI1",0.135123686885801,0.15574381565571,0.089325652321247,0.0913334462893934,0.0733226025076245,0.0752372077261945,0.0979922060318536,0.101135208403931,0.0896984073195527,0.091087766858692,"unknown"
"ABI2",0.163852080634984,0.188676895486699,0.0796220650260702,0.0886054930091993,0.0658978446414931,0.0626100096310318,0.101665504300754,0.0900169373318721,0.0780196605891535,0.081033509348743,"unknown"
"ABI3BP",0.0821301247771836,0.107932263814617,0.123814616755793,0.134197860962567,0.10355614973262,0.0957040998217469,0.083921568627451,0.0880926916221034,0.0783778966131907,0.102272727272727,"unknown"
"ABL1",0.197972480064398,0.177646970039997,0.0951961696811142,0.103614821522904,0.0693532563580107,0.0706781039586111,0.0770424035083306,0.0747616532085629,0.0700324503811033,0.0637016912769686,"Cytosol_2"
"ABL2",0.235995842064448,0.270554556404376,0.0823172240830267,0.0848746844423911,0.0483442506641147,0.0534179220222087,0.0630785222829046,0.0632930189582061,0.0502252215090666,0.0478987575692577,"Cytosol_3"
"ABLIM1",0.0902972317440997,0.093259704110766,0.094987067152357,0.0964459281667576,0.111696843311167,0.11105243844591,0.136936033867056,0.128827272645908,0.0696136255828732,0.066883854973105,"unknown"
"ABLIM2",0.177011570029996,0.170229422817022,0.113013811517289,0.134703497379438,0.0663628572370373,0.0676401753634176,0.0799848369977255,0.0743234334311237,0.0572732966344728,0.0594570985924778,"unknown"
"ABLIM3",0.0521952773101597,0.0542881841758042,0.0820237499431275,0.0842076527594522,0.152654806861095,0.146294189908549,0.140060967286956,0.1401337640475,0.074307293325447,0.07383411438191,"unknown"
"ABO",0.0543719200542254,0.0562771355817319,0.0564236906223093,0.0587594115815121,0.0804037591367908,0.0792587978822797,0.140775276164655,0.127182296151098,0.157317676369832,0.189230036455566,"unknown"
"ABR",0.233839910555303,0.241591784338896,0.0819826907946499,0.084434138059547,0.0553811752039422,0.0594475961737546,0.065319474926498,0.0648391237732411,0.0559277816886828,0.0572363244854859,"Cytosol_1"
"ABRACL",0.386604774535809,0.371131741821397,0.0698326872066925,0.0671546623138135,0.0233625790654968,0.021169149153234,0.019936407535877,0.0157195810378834,0.0110606678909066,0.01402774943889,"Cytosol_4"
"ABT1",0.0780518871679655,0.0819084854006528,0.0553899498465322,0.0508522551369711,0.150964591828611,0.150310031578109,0.0850574509300947,0.0907450487824295,0.128399954003874,0.128320345324759,"Nucleus (Nucleolus)"
"ABTB1",0.139119307759076,0.125822125580521,0.103952466600449,0.0996930731166054,0.0840872280833624,0.0739040562669459,0.0863869426324126,0.0890356411013575,0.100910042683418,0.0970891161758521,"unknown"
"ABTB2",0.169627222758046,0.173943985092656,0.0992106224190724,0.103892577228845,0.065125991403931,0.0726733025572837,0.0770181566207523,0.0757446649124943,0.0839099941007369,0.078853482906183,"unknown"
"ACAA1",0.0503740032125308,0.0517996825487345,0.065106023019969,0.0633191715852604,0.0900839249902579,0.0863581496583122,0.164247764059574,0.167365249541406,0.129499206371836,0.131846825012118,"unknown"
"ACAA2",0.0497755907640729,0.0538311793651652,0.0980280826979578,0.114412660646371,0.112411903603165,0.113673642279061,0.199039276122497,0.164062077542854,0.0488202743380378,0.045945312640819,"unknown"
"ACACA",0.198425665900774,0.206067568717556,0.0971236490511446,0.0868351629648541,0.0692621904518764,0.0656029274104332,0.0648200153178453,0.0661560718236746,0.0728278444387712,0.0728789039230704,"unknown"
"ACAD10",0.0603310668395199,0.0529495286222011,0.0811704632642802,0.0680918238660917,0.184644283937879,0.182095580778016,0.101798202679225,0.111860729687541,0.0762053425756894,0.0808529777495568,"unknown"
"ACAD11",0.0443876736388312,0.0448291083957134,0.0447915394802341,0.047158381155432,0.106141578457984,0.109363112960337,0.1423767974378,0.160212640061613,0.148087272590658,0.152651895821397,"unknown"
"ACAD8",0.051463895631068,0.0578352548543689,0.0962435527912621,0.0980354975728155,0.137183328276699,0.131257584951456,0.154334799757282,0.142909966626214,0.0657804915048544,0.0649556280339806,"unknown"
"ACAD9",0.0411996620670234,0.040730310710598,0.0701586407584718,0.0744015770205576,0.132263212240683,0.13108983384962,0.191354548014644,0.18231484088989,0.0672017272129916,0.0692856472355205,"Mitochondria matrix"
"ACADM",0.049323062777366,0.0514903877729094,0.101094921328917,0.117983168047437,0.117542197160898,0.116847902573581,0.181576799301952,0.164003640355404,0.0514810054136213,0.0486569152679133,"unknown"
"ACADS",0.0473766114003573,0.0428618086107856,0.110401337150103,0.115876736277881,0.157835584330753,0.149977906284221,0.134022401106607,0.120804595492882,0.0643503486964708,0.0564926706499395,"unknown"
"ACADSB",0.0375945515688731,0.0357671040608898,0.0987763637562524,0.102224022456881,0.126056198720787,0.121826693921382,0.206972560027883,0.170046816567601,0.049906272666472,0.050829416252979,"unknown"
"ACADVL",0.0468780717964849,0.0455805449612708,0.0850371564502811,0.0833562694137538,0.157344788267212,0.144959304840168,0.145283686548972,0.143337396296151,0.0723174615656824,0.0759053198600244,"unknown"
"ACAP2",0.221336190784719,0.242949820163307,0.0979923081395832,0.0902256888202215,0.0614684309767666,0.0593419555267595,0.061642868416025,0.0590512264613289,0.0530289815345511,0.0529625291767383,"Cytosol_3"
"ACAP3",0.23087154188431,0.232459534403818,0.0727655252466628,0.0834542464693364,0.0589491842393758,0.0598923067001999,0.0754901012445992,0.0582398271748243,0.0619236473850519,0.0659540852518218,"unknown"
"ACAT1",0.0357331422537336,0.0335646402172273,0.0979125810831196,0.11686340322824,0.115741439131091,0.114336626942224,0.213616307135315,0.17833572182833,0.048451878111329,0.0454442600693921,"unknown"
"ACAT2",0.175384749912557,0.180447708989157,0.146047569080098,0.13571178733823,0.0769849597761455,0.0722018188177685,0.057109129066107,0.0559898565932144,0.0495278069254984,0.0505946135012242,"Cytosol_5"
"ACBD3",0.0995147878585847,0.0993018130636887,0.136294608959757,0.130044261718244,0.0783469452006593,0.0813378521028946,0.106357760616331,0.0961812693297776,0.0856343870955794,0.0869863140544845,"unknown"
"ACBD4",0.038703114354777,0.0303875911114429,0.0216334263502226,0.0294916424791645,0.0995156277706745,0.10326741266834,0.178993737692372,0.187234598549683,0.16022548040579,0.150547368617533,"ER, peroxisome"
"ACBD5",0.0370892907868573,0.0402139948868478,0.0344096203011078,0.0365116939683742,0.100123094403939,0.0963261054824354,0.193693778998201,0.193494934191838,0.134778903512925,0.133358583467475,"ER, peroxisome"
"ACBD6",0.204946875160919,0.233062702758372,0.134614394342505,0.106996343912529,0.0552790126847354,0.0615183920081018,0.0585403113682006,0.0558454487718636,0.0450488336566024,0.0441476853361712,"Cytosol_5"
"ACBD7",0.269319842083994,0.288049053436538,0.103515807143523,0.113797444744941,0.0420979825297647,0.0423388976965401,0.0398753458298362,0.0396655164910317,0.031660915788492,0.029679194255339,"unknown"
"ACCS",0.403032314053806,0.308467580201717,0.0783238406394259,0.0778133500579771,0.0193548857595006,0.0276685895145235,0.026713242854955,0.0222719747963507,0.02257826914522,0.0137759529765247,"unknown"
"ACD",0.154201677173288,0.150221097074523,0.100921862378522,0.0824096666472357,0.12537994553767,0.113005171423099,0.0733909046243015,0.0691271870289716,0.0595338224394794,0.0718086656729096,"unknown"
"ACIN1",0.0443799934332932,0.0455565284010069,0.0710207580898179,0.077870198095655,0.167980008025975,0.166447776440115,0.101802196198606,0.106946116522564,0.108441866403998,0.109554558388968,"Nucleus (speckles)"
"ACLY",0.15233465637961,0.159586139232039,0.158506890246622,0.156723007626098,0.0654149756945993,0.0664674664407082,0.0566828702671364,0.0532042991571155,0.0660393346117825,0.0650403603442894,"Cytosol_5"
"ACN9",0.0500497246022032,0.0406020501835985,0.0884619798041616,0.111354421664627,0.140089504283966,0.134409424724602,0.152052096083231,0.177947138922889,0.0531957619339045,0.0518378977968176,"unknown"
"ACO1",0.217408650552043,0.21405216003608,0.125517133713215,0.107338311693944,0.0650482658132334,0.0653518243870285,0.0478841967406482,0.0451868619849261,0.0570690118734768,0.0551435832054051,"unknown"
"ACO2",0.0456386764594533,0.0458847580828349,0.105322934807299,0.112137502839403,0.123230105247217,0.11968085106383,0.184665328992201,0.16146740364958,0.051459453320209,0.0505129855379723,"unknown"
"ACOT1",0.0694220584849183,0.0728227563364565,0.101037921323438,0.110584672062913,0.106626047220107,0.106572911316176,0.15320852299899,0.130430932180875,0.0747267928939584,0.0745673851821676,"unknown"
"ACOT11",0.255345148633371,0.273458801622664,0.104741637294673,0.0979251180421627,0.0461195717230831,0.0472667420363104,0.0525703265278979,0.0487547383121633,0.0367593269934162,0.0370585888142582,"Cytosol_4"
"ACOT13",0.0610468517935101,0.0569242540168324,0.0935865700526576,0.0953688284801296,0.126594356181646,0.113569467572798,0.186191997839687,0.156181646338719,0.0509023808452226,0.0596336468787974,"unknown"
"ACOT2",0.0223472668810289,0.0255248723283526,0.0838093436731606,0.0715717798373369,0.229714393796104,0.196983166256856,0.116852657461699,0.113098165311141,0.0690656326839417,0.0710327217703802,"unknown"
"ACOT4",0.0587806195965418,0.0548000720461095,0.0669758645533141,0.062914265129683,0.0957042507204611,0.0956862391930836,0.150432276657061,0.152656700288184,0.126630043227666,0.135419668587896,"unknown"
"ACOT7",0.222357903123836,0.247317415365429,0.110880164895598,0.107840335333905,0.0575229286289589,0.0551845981968874,0.056769466600847,0.0521534291182762,0.0501355365602293,0.039838222176033,"unknown"
"ACOT8",0.0473348887293611,0.0438262742282843,0.0529253409906676,0.0583722182340273,0.0860193826274228,0.0915201005025126,0.181191672648959,0.180482770997846,0.126992103374013,0.131335247666906,"unknown"
"ACOT9",0.0477820711683019,0.0471212357622094,0.0849999541086524,0.0971795177737189,0.12566886639193,0.115802226648188,0.181426853780988,0.158554606114563,0.0705808926784944,0.0708837755729535,"unknown"
"ACOX1",0.0442828442885034,0.0457164954773964,0.0658724993633457,0.0688624166454449,0.0930741442894466,0.0907067334446299,0.177810475085595,0.164596361166917,0.124322081057884,0.124755949180838,"unknown"
"ACOX3",0.0491647614130836,0.0427299210856258,0.057950438822922,0.0675658234383067,0.0870915996754923,0.0869625341101851,0.157967032967033,0.160695847776385,0.146332694151486,0.143539346559481,"unknown"
"ACP1",0.31249049627454,0.262190778785284,0.0764139542700739,0.0790870021048251,0.0482749237701179,0.0482989331818073,0.0452497378972557,0.0454658226024602,0.0413682163408056,0.0411601347728309,"Cytosol_4"
"ACP2",0.0241004421367877,0.0245434649701846,0.0449313757631068,0.0473945827167932,0.0668432851029142,0.0658509139561053,0.207822011146454,0.190393492880623,0.163502006893435,0.164618424433595,"unknown"
"ACP5",0.0451651294257661,0.0484280472081722,0.105672914807101,0.141485668947734,0.0659724288406228,0.0811365664980661,0.144639492214619,0.125280174551225,0.134880491917088,0.107339085589606,"unknown"
"ACPL2",0.0533674762314038,0.0565838789994595,0.0490434967525851,0.0571509582753702,0.0718241345395582,0.0754392649234886,0.169060509130862,0.141947031251384,0.176432539717701,0.149150710178187,"Golgi, Endo/Lyosome"
"ACPP",0.0501104594937495,0.0440507137723913,0.072291080728589,0.0692124105011933,0.0765320155086904,0.0896895600251972,0.178997613365155,0.157730833725191,0.136375331600287,0.125009981279556,"unknown"
"ACSF2",0.050792345642099,0.0550997907011511,0.0924091792495141,0.103079683061743,0.116357078786067,0.116366422484676,0.19404993272537,0.170373000448498,0.0525209298848856,0.0489516370159964,"unknown"
"ACSF3",0.0629220117520452,0.0598173385522318,0.101730426749712,0.102511356818377,0.146110111139682,0.139100787596545,0.130662933439997,0.120987019418493,0.0658457377408265,0.0703122767920916,"unknown"
"ACSL1",0.0457516947655226,0.0443940225224806,0.0565200814603346,0.0519542111087347,0.121865032500442,0.122051014999489,0.146972669871765,0.147363233119763,0.125761365855473,0.137366673795996,"ER, Mitochondrion"
"ACSL3",0.0421731289449955,0.0410820559062218,0.0404328223624887,0.0412173128944995,0.0954824165915239,0.0961226330027051,0.191163210099188,0.182019837691614,0.133769161406673,0.13653742110009,"ER, peroxisome"
"ACSL4",0.050420926308571,0.0505111570285219,0.0587943371200159,0.0614922356465482,0.094823463596416,0.098369530890487,0.17023829933139,0.169092369188014,0.123931893852581,0.122325787037455,"ER, Mitochondrion"
"ACSL5",0.0483220476327971,0.045853785754869,0.0399299572478414,0.0378994625709043,0.106526456973073,0.105464638655775,0.153414118457942,0.155593640267131,0.153991598595419,0.153004293844248,"unknown"
"ACSM3",0.100785929134067,0.086619799063236,0.135733754377299,0.148144554507846,0.0816360733533859,0.0859141387857351,0.0886573931145199,0.0840000352830139,0.0977339484338752,0.0907743739470225,"unknown"
"ACSS2",0.153156338973215,0.146274232450175,0.171680902381082,0.149039769327022,0.0751047277079593,0.0729739042126834,0.0641695228768837,0.0655930943184085,0.0506682625174546,0.051339245235116,"Cytosol_5"
"ACTA1",0.121332512805662,0.111332331806911,0.133269380441275,0.142853264312476,0.0811145903093269,0.0893771832974353,0.0654581983384315,0.0685170772321671,0.101359300620826,0.0853861608354902,"unknown"
"ACTB",0.240539100611025,0.214807785158916,0.0750129031183924,0.0802407472154238,0.0545177563558264,0.0615437124352763,0.0710254233055292,0.0676456387459834,0.0654396217305163,0.0692273113231107,"unknown"
"ACTBL2",0.0976201570151301,0.10321151327068,0.120548234239145,0.103167556067413,0.0848725680677293,0.0905518387298127,0.108952324017337,0.110851275198467,0.0915628544049513,0.088661678989336,"unknown"
"ACTG1",0.302807735925168,0.24384452038634,0.0726632010777322,0.0764230859978537,0.0417392892751947,0.0451414523506892,0.0591534931157573,0.0569843287387641,0.0490307260231225,0.0522121671093792,"unknown"
"ACTL6A",0.105902161547213,0.111626848691695,0.132996587030717,0.137692832764505,0.0927053469852105,0.0928236632536974,0.0620341296928328,0.0657565415244596,0.0999863481228669,0.0984755403868032,"unknown"
