,n113,n114,n115,n116,n117,n118,n119,n121,markers
Q62261,0.3510243357922576,0.20947041674717914,0.0,0.44088502290150283,0.5988604822710889,1.0,0.1980732349980542,0.009700024103813543,unknown
Q9JHU4,0.10922789771558693,0.10125719516254938,0.0,0.12178873114931607,0.1477798389468587,1.0,0.4632656260418295,0.047220677322872426,unknown
Q9QXS1,1.0,0.46176840546423653,0.0,0.37459638567430387,0.44446931454801325,0.9974074708563656,0.619345841273947,0.018712918565449422,unknown
P16546,0.3667420399539341,0.17968322297521738,0.0,0.3998450318604685,0.5710438469799588,1.0,0.27329394785547073,0.017217036666321264,unknown
Q69ZN7,0.5359324099737026,1.0,0.206369466131578,0.6510785349239722,0.22219124159746378,0.13796331048567992,0.02751754379234143,0.0,unknown
P30999,1.0,0.5600310051366238,0.10816502759822309,0.6478272454958687,0.4301706054899849,0.22629992584296516,0.0,0.04767836797042042,Plasma membrane
Q03265,0.041129233660483544,0.04671849257569738,0.02229639406865917,0.23861205198980445,1.0,0.6147179332275217,0.17880268154688103,0.0,Mitochondrion
P58252,0.3067736044626633,0.30093579118722624,0.0,0.3447865098742909,0.289925055532476,0.405773494831717,1.0,0.9328787353290265,unknown
P63038,0.025165609916579824,0.03412684098562582,0.0,0.24793637080094147,1.0,0.5882708153005058,0.08967093608110525,0.0006167767574544335,Mitochondrion
P52480,0.11202157186346538,0.09770723831958678,0.0,0.09089270991915864,0.05771006896092852,0.31094370774788527,0.21739241458404396,1.0,unknown
Q62318,0.054868421130887295,0.07229301532933093,0.0,0.14133167805265306,0.15253726742360496,1.0,0.5633158220721638,0.966083526742695,unknown
P08113,0.29252501430021915,0.43706061497794185,0.0978478276359572,1.0,0.7588353418438375,0.5663485379043786,0.08979792642984276,0.0,Endoplasmic reticulum
P56480,0.04045670772910765,0.0532729949971761,0.012093677860493136,0.2483739175827374,1.0,0.625052903068511,0.09929739982863957,0.0,Mitochondrion
Q6PB66,0.03300583802709341,0.0509908279642582,0.0,0.237688378123605,1.0,0.6418959779919754,0.13899913257792407,0.06492915290154799,Mitochondrion
Q8BTM8,0.31956357138709157,0.25559441640476915,0.0,0.33503005776875544,0.3693043970250307,1.0,0.3368978408849093,0.028501828898178167,unknown
P07901,0.09950225077352934,0.07413276540826635,0.005722448658161351,0.043586392938621855,0.01678551698545247,0.013770309961407916,0.0,1.0,Cytosol
D4AFX7,0.17021276237989025,0.8522870646818376,0.07803819630648474,1.0,0.2512560301118775,0.12912777864693434,0.0,0.02768158636066051,unknown
Q61543,0.17767087359737432,0.3607546184586274,0.06979824593265029,1.0,0.4458433805602724,0.29240293632894604,0.0713852255814572,0.0,unknown
Q9CQN1,0.06138088638553471,0.05932638401309566,0.013610167073915484,0.04193714252425858,0.06406623770545064,0.0282536872846146,0.0,1.0,Mitochondrion
P38647,0.03669678726177112,0.04840814859379461,0.007574689221966757,0.23884059345007588,1.0,0.6396718361114266,0.10595706871011595,0.0,Mitochondrion
P43247,0.06590358920515402,0.0816969363756872,0.0,0.0957596661579519,0.11498259651223124,1.0,0.3646246672762848,0.6228273569875621,unknown
P80318,0.23230972918679005,0.22192377056894685,0.0,0.2043649126297652,0.14361425303879513,0.35996520506861523,0.3097538517516348,1.0,unknown
Q80U72,1.0,0.4916665364976982,0.02741390994765108,0.3405548937646762,0.24626705490777,0.17152506687077418,0.0,0.06087880375574444,Plasma membrane
Q8BHN3,0.3042657782515958,0.43773997015565214,0.09290069285297371,1.0,0.8205185616663819,0.5991851861859405,0.07662586341298468,0.0,unknown
P27773,0.13149328378068478,0.3616751249932322,0.034399604349006144,1.0,0.7244857769114387,0.6186613761963063,0.06491118985331314,0.0,Endoplasmic reticulum
Q3U7R1,0.49164782180917577,0.5535955373814899,0.16709076967683642,1.0,0.6686576876430554,0.43644700171263007,0.0,0.008722226793631936,unknown
Q922D8,0.14077523103923006,0.19259169780121763,0.0,0.3410226648914049,0.281577079865731,0.2644230166253843,1.0,0.26348008780102694,unknown
Q9CPY7,0.11158428864004576,0.12419265460271058,0.0,0.27679449867633105,1.0,0.670904327099717,0.1388004009144998,0.7948488266286907,unknown
Q99K87,0.04220044059216671,0.04929407815382312,0.003513474803469641,0.23910620040468628,1.0,0.5743946357139168,0.11168309079368934,0.0,unknown
P08249,0.03579647660222527,0.03679303838294833,0.016191643120874392,0.21183948243716735,1.0,0.5357731786857111,0.15706654624411504,0.0,Mitochondrion
P27659,0.2874069643168518,0.346990171799874,0.0,0.898033474094519,0.7719396945655272,0.818202353117205,1.0,0.650195400557644,60S Ribosome
Q02248,1.0,0.5202218010165548,0.11480478123292574,0.3584814205188662,0.19937134091450132,0.11017991645604096,0.019943154625388274,0.0,Plasma membrane
Q3V3R1,0.04831849210398703,0.05360019423305383,0.0,0.22420399003598937,1.0,0.5772077275373388,0.10573769006594777,0.001082752319321522,Mitochondrion
Q9D8E6,0.20867758424910876,0.19906118328819683,0.0,0.4307812189483465,0.42851889233253665,0.37147219084505934,1.0,0.27814443511344533,60S Ribosome
O35129,0.058375353690499635,0.05652863810971728,0.0,0.24290924183876195,1.0,0.5810176012069678,0.12065562590931014,0.005702164515903017,unknown
P05064,0.16421299297590286,0.1363581855764903,0.006050313039777561,0.0948687518054655,0.04007310338103056,0.027404052302339076,0.0,1.0,Cytosol
P09103,0.1484105311704585,0.3424141805128529,0.05541498645885346,1.0,0.7185768474583741,0.629736025584392,0.054284345143610184,0.0,Endoplasmic reticulum
P20029,0.29829008759308695,0.4164337563960814,0.11270945333201025,1.0,0.7863286553892285,0.6001484855563799,0.10449496288263856,0.0,Endoplasmic reticulum
P47738,0.01612670371114279,0.025657420703444817,0.0,0.21224346882681588,1.0,0.6125085018864949,0.11652102434307066,0.0005915824979131945,Mitochondrion
P51432,0.8691989177510226,1.0,0.05594640688560322,0.5492290379277349,0.2537113189089652,0.17377115489049658,0.0,0.07774667453728208,unknown
P68040,0.3111138233925122,0.28870606933566256,0.0,0.5531492144665748,0.6035507442125005,0.7651352320801138,1.0,0.652401747543843,unknown
P80314,0.19632561231733278,0.1898161677521453,0.0,0.14822655363427542,0.10161642042061128,0.25407906091066973,0.19292996107783295,1.0,unknown
Q8K2B3,0.06340223594105722,0.06707688462162893,0.008094247734428515,0.25533976752751,1.0,0.590759033557835,0.10783421426718273,0.0,Mitochondrion
