,P1rep1,P2rep1,P3rep1,P4rep1,P5rep1,P6rep1,P7rep1,P8rep1,P9rep1,SNrep1,P1rep2,P2rep2,P3rep2,P4rep2,P5rep2,P6rep2,P7rep2,P8rep2,P9rep2,SNrep2,P1rep3,P2rep3,P3rep3,P4rep3,P5rep3,P6rep3,P7rep3,P8rep3,P9rep3,SNrep3,markers
P09382,0.15942028985507248,0.3140096618357488,0.23188405797101452,0.18840579710144925,0.18357487922705318,0.10144927536231889,0.028985507246376836,0.0,0.07246376811594206,0.9710144927536232,0.43961352657004826,0.23671497584541065,0.27053140096618356,0.1932367149758454,0.07729468599033819,0.024154589371980662,0.043478260869565216,0.004830917874396172,0.07729468599033819,1.0,0.3188405797101449,0.2512077294685991,0.2657004830917874,0.2512077294685991,0.12077294685990338,0.14009661835748793,0.04830917874396136,0.03381642512077294,0.014492753623188451,0.855072463768116,unknown
P63218,0.48245614035087714,0.8640350877192982,0.8991228070175438,0.706140350877193,0.631578947368421,0.34210526315789475,0.2719298245614035,0.12719298245614033,0.048245614035087724,0.0043859649122807015,0.8771929824561402,0.7675438596491228,0.5789473684210527,0.8245614035087719,0.39035087719298245,0.17543859649122806,0.29385964912280704,0.18859649122807015,0.14035087719298245,0.008771929824561403,1.0,0.6578947368421052,0.7675438596491228,0.7894736842105262,0.3333333333333333,0.25438596491228066,0.2807017543859649,0.13596491228070176,0.021929824561403504,0.0,unknown
P04792,0.0666666666666667,0.15555555555555559,0.2833333333333334,0.32222222222222224,0.4444444444444444,0.49444444444444446,0.19999999999999998,0.022222222222222206,0.19999999999999998,1.0,0.14444444444444446,0.2777777777777778,0.5444444444444445,0.35555555555555557,0.3277777777777777,0.4666666666666666,0.18888888888888888,0.0,0.022222222222222206,0.8944444444444445,0.07777777777777774,0.16111111111111107,0.3944444444444445,0.42222222222222233,0.48333333333333334,0.4500000000000001,0.19444444444444442,0.09999999999999998,0.07222222222222222,0.85,unknown
P60174-1,0.029126213592233,0.11650485436893207,0.1990291262135922,0.23300970873786414,0.2912621359223301,0.4805825242718447,0.1650485436893204,0.0,0.07766990291262135,0.9611650485436893,0.03398058252427187,0.1650485436893204,0.3592233009708738,0.1990291262135922,0.23300970873786414,0.31553398058252424,0.16019417475728154,0.004854368932038839,0.058252427184466035,1.0,0.019417475728155355,0.10194174757281554,0.2912621359223301,0.3203883495145631,0.3932038834951456,0.35436893203883496,0.11165048543689322,0.058252427184466035,0.07766990291262135,0.8786407766990291,unknown
P00558,0.026737967914438526,0.08021390374331551,0.2085561497326203,0.34224598930481287,0.3743315508021391,0.7379679144385027,0.21925133689839577,0.06417112299465243,0.15508021390374338,0.6577540106951872,0.28342245989304815,0.11229946524064174,0.5508021390374331,0.4598930481283423,0.4545454545454546,0.5721925133689839,0.2459893048128343,0.0,0.026737967914438526,0.15508021390374338,0.01069518716577541,0.10695187165775404,0.29946524064171126,0.42245989304812837,0.44385026737967914,0.3957219251336898,0.16042780748663102,0.11229946524064174,0.08556149732620325,1.0,unknown
P49006,0.29545454545454547,0.7651515151515151,1.0,0.9393939393939393,0.7954545454545455,0.5454545454545454,0.2878787878787878,0.15909090909090912,0.06060606060606055,0.23484848484848483,0.5833333333333333,0.712121212121212,0.8030303030303031,1.0,0.5075757575757576,0.38636363636363635,0.43939393939393934,0.2121212121212121,0.15909090909090912,0.3409090909090909,0.7424242424242424,0.6136363636363636,0.9545454545454545,0.9848484848484849,0.5681818181818182,0.4621212121212121,0.40151515151515144,0.15909090909090912,0.0,0.14393939393939395,unknown
P09651-2,0.8893280632411066,0.0,0.03952569169960472,0.09486166007905139,0.21739130434782605,0.30434782608695654,0.5296442687747036,0.7075098814229248,0.39920948616600793,0.02371541501976284,0.2450592885375494,0.08695652173913043,0.16205533596837945,0.1660079051383399,0.16205533596837945,0.1660079051383399,0.5335968379446641,1.0,0.5217391304347826,0.04743083003952568,0.5612648221343874,0.09881422924901183,0.1976284584980237,0.23320158102766797,0.23715415019762845,0.2766798418972332,0.5375494071146245,0.6363636363636362,0.37944664031620556,0.01185770750988142,unknown
Q9C010,0.07368421052631582,0.21052631578947367,0.37368421052631584,0.3947368421052632,0.37894736842105253,0.5368421052631578,0.13157894736842105,0.015789473684210503,0.05263157894736843,0.9263157894736843,0.10000000000000002,0.21578947368421053,0.4842105263157895,0.30526315789473685,0.23157894736842108,0.3473684210526316,0.17368421052631575,0.09473684210526313,0.10526315789473682,0.9631578947368421,0.12105263157894737,0.13157894736842105,1.0,0.6631578947368421,0.4842105263157895,0.9842105263157893,0.0,0.021052631578947385,0.12105263157894737,0.8684210526315789,unknown
P23396,0.09090909090909093,0.158102766798419,0.16600790513833996,0.22529644268774707,0.3478260869565218,0.3517786561264822,0.4940711462450592,0.8300395256916996,0.7786561264822134,0.0,0.07114624505928853,0.14624505928853757,0.12648221343873517,0.19367588932806323,0.1976284584980237,0.17786561264822134,0.5217391304347826,1.0,0.9762845849802372,0.0,0.09881422924901187,0.12648221343873517,0.17391304347826086,0.26877470355731226,0.26877470355731226,0.3241106719367589,0.5731225296442687,0.8063241106719368,0.7786561264822134,0.03162055335968379,RIBOSOME
O75368,0.025830258302583047,0.04797047970479704,0.11808118081180811,0.15129151291512918,0.1697416974169742,0.1881918819188192,0.11808118081180811,0.040590405904059025,0.0774907749077491,0.985239852398524,0.0,0.09594095940959407,0.23616236162361623,0.14022140221402216,0.16605166051660514,0.19926199261992616,0.1107011070110701,0.02952029520295203,0.0036900369003690066,1.0,0.044280442804428055,0.08856088560885605,0.23616236162361623,0.26199261992619927,0.3062730627306273,0.2656826568265683,0.07380073800738009,0.036900369003690044,0.051660516605166046,0.6162361623616235,unknown
