"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","KNN",0.946520644106851,0.958511904761905,0.94437564499484,0.958333333333333,0.363330661936767
"LOPITDC2019","KNN",1,1,1,1,0.345108303548967
"LOPITDC2019","KNN",0.991292517006803,0.9875,0.996,0.991666666666667,0.345019228567123
"LOPITDC2019","KNN",1,1,1,1,0.341886852931683
"LOPITDC2019","KNN",1,1,1,1,0.224689575709248
"LOPITDC2019","KNN",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.348596411755213
"LOPITDC2019","KNN",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,0.345461766693484
"LOPITDC2019","KNN",0.983303860890068,0.979047619047619,0.989473684210526,0.983333333333333,0.352681379075474
"LOPITDC2019","KNN",1,1,1,1,0.340264780491596
"LOPITDC2019","KNN",0.991292517006803,0.9875,0.996,0.991666666666667,0.34742765721636
"LOPITDC2019","KNN",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.346956183904813
"LOPITDC2019","KNN",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.350266709503942
"LOPITDC2019","KNN",0.980572808833678,0.981944444444444,0.981140350877193,0.975,0.233013831337425
"LOPITDC2019","KNN",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.346910795379033
"LOPITDC2019","KNN",0.987777777777778,0.9875,0.989473684210526,0.983333333333333,0.350599180455285
"LOPITDC2019","KNN",1,1,1,1,0.340264780491596
"LOPITDC2019","KNN",0.993849021435228,0.993333333333333,0.994736842105263,0.991666666666667,0.348700238007936
"LOPITDC2019","KNN",0.966747846747847,0.98015873015873,0.96140350877193,0.983333333333333,0.234427048476132
"LOPITDC2019","KNN",0.987777777777778,0.9875,0.989473684210526,0.983333333333333,0.229899452252457
"LOPITDC2019","KNN",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333,0.243026177016437
"LOPITDC2019","KNN",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,0.347284116003579
"LOPITDC2019","KNN",1,1,1,1,0.343270635611422
"LOPITDC2019","KNN",0.977076830732293,0.97328431372549,0.98178431372549,0.975,0.233463722404963
"LOPITDC2019","KNN",0.983083333333333,0.979807692307692,0.988235294117647,0.983333333333333,0.348509606199657
"LOPITDC2019","KNN",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,0.346046711319483
"LOPITDC2019","KNN",0.953400479247556,0.968521303258145,0.94780701754386,0.966666666666667,0.245869314271339
"LOPITDC2019","KNN",1,1,1,1,0.222082458788405
"LOPITDC2019","KNN",0.985141538442031,0.980833333333333,0.990736842105263,0.983333333333333,0.173095722258348
"LOPITDC2019","KNN",1,1,1,1,0.341935078240325
"LOPITDC2019","KNN",0.970117647058824,0.986425339366516,0.96078431372549,0.983333333333333,0.350501027768285
"LOPITDC2019","KNN",0.976273557859765,0.971355311355311,0.98359133126935,0.975,0.356171189351437
"LOPITDC2019","KNN",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,0.346974339315126
