"data","method","f1score","precision","recall","accuracy","quadloss"
"LOPITDC2019","RF",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.23957866666667
"LOPITDC2019","RF",0.962800982800983,0.985,0.95,0.975,1.22038326666667
"LOPITDC2019","RF",1,1,1,1,1.21557653333333
"LOPITDC2019","RF",1,1,1,1,1.2212902
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.220079
"LOPITDC2019","RF",1,1,1,1,1.2332918
"LOPITDC2019","RF",1,1,1,1,1.21773766666667
"LOPITDC2019","RF",0.98240002066089,0.98015873015873,0.98640350877193,0.983333333333333,1.2012728
"LOPITDC2019","RF",0.98240002066089,0.98015873015873,0.98640350877193,0.983333333333333,1.2221658
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.24499766666667
"LOPITDC2019","RF",0.980897506611792,0.973214285714286,0.990736842105263,0.983333333333333,1.2195686
"LOPITDC2019","RF",1,1,1,1,1.21990673333333
"LOPITDC2019","RF",1,1,1,1,1.21788666666667
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.2189142
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.19701493333333
"LOPITDC2019","RF",0.987044534412955,0.985714285714286,0.99,0.991666666666667,1.24308033333333
"LOPITDC2019","RF",0.974958524958525,0.975187969924812,0.978070175438597,0.975,1.20888286666667
"LOPITDC2019","RF",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,1.22053466666667
"LOPITDC2019","RF",1,1,1,1,1.238397
"LOPITDC2019","RF",1,1,1,1,1.2334886
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.22199813333333
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.24013653333333
"LOPITDC2019","RF",1,1,1,1,1.22493446666667
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.20560953333333
"LOPITDC2019","RF",0.970348056062342,0.96765873015873,0.976451127819549,0.975,1.23021766666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.21708706666667
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.22699946666667
"LOPITDC2019","RF",0.978909090909091,0.978365384615385,0.979901960784314,0.975,1.23442913333333
"LOPITDC2019","RF",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,1.24211013333333
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.20789526666667
"LOPITDC2019","RF",1,1,1,1,1.23310793333333
"LOPITDC2019","RF",1,1,1,1,1.20963513333333
"LOPITDC2019","RF",0.98240002066089,0.98015873015873,0.98640350877193,0.983333333333333,1.23851453333333
"LOPITDC2019","RF",0.973692537667693,0.96765873015873,0.98240350877193,0.975,1.2228138
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.20423266666667
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.23557506666667
"LOPITDC2019","RF",0.95804036375465,0.96765873015873,0.95740350877193,0.975,1.2580472
"LOPITDC2019","RF",0.987044534412955,0.985714285714286,0.99,0.991666666666667,1.24010273333333
"LOPITDC2019","RF",0.98578431372549,0.98578431372549,0.98578431372549,0.983333333333333,1.2259746
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.2308926
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.25319766666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.21793126666667
"LOPITDC2019","RF",1,1,1,1,1.21731526666667
"LOPITDC2019","RF",1,1,1,1,1.2253402
"LOPITDC2019","RF",0.98240002066089,0.98015873015873,0.98640350877193,0.983333333333333,1.21963066666667
"LOPITDC2019","RF",0.962800982800983,0.985,0.95,0.975,1.21088913333333
"LOPITDC2019","RF",1,1,1,1,1.21228153333333
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.243762
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.228986
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.2069982
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.21793813333333
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.24062326666667
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.22611953333333
"LOPITDC2019","RF",1,1,1,1,1.21480246666667
"LOPITDC2019","RF",1,1,1,1,1.2160974
"LOPITDC2019","RF",1,1,1,1,1.22354866666667
"LOPITDC2019","RF",0.989450549450549,0.994444444444444,0.985714285714286,0.991666666666667,1.21607946666667
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.2473678
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.22911413333333
"LOPITDC2019","RF",1,1,1,1,1.20892786666667
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667,1.25772513333333
"LOPITDC2019","RF",0.974958524958525,0.975187969924812,0.978070175438597,0.975,1.22607593333333
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.23211093333333
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.23980286666667
"LOPITDC2019","RF",0.980897506611792,0.973214285714286,0.990736842105263,0.983333333333333,1.24401233333333
"LOPITDC2019","RF",0.98240431066518,0.989473684210526,0.977380952380952,0.983333333333333,1.20656206666667
"LOPITDC2019","RF",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,1.22165126666667
"LOPITDC2019","RF",0.979839565468856,0.98015873015873,0.981666666666667,0.983333333333333,1.23617426666667
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.2193728
"LOPITDC2019","RF",1,1,1,1,1.21357986666667
"LOPITDC2019","RF",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.20209933333333
"LOPITDC2019","RF",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,1.25484066666667
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.21298026666667
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.2115572
"LOPITDC2019","RF",1,1,1,1,1.22825526666667
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.23796133333333
"LOPITDC2019","RF",0.987044534412955,0.985714285714286,0.99,0.991666666666667,1.24898206666667
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.23845413333333
"LOPITDC2019","RF",1,1,1,1,1.22846233333333
"LOPITDC2019","RF",1,1,1,1,1.23133053333333
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.24293606666667
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667,1.22456326666667
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.19458373333333
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.2291342
"LOPITDC2019","RF",1,1,1,1,1.22630613333333
"LOPITDC2019","RF",1,1,1,1,1.2334014
"LOPITDC2019","RF",0.959701607962477,0.975187969924812,0.953070175438597,0.975,1.23249533333333
"LOPITDC2019","RF",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333,1.23257266666667
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.22303133333333
"LOPITDC2019","RF",1,1,1,1,1.22642306666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667,1.22197766666667
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.2221526
"LOPITDC2019","RF",0.984087548062703,0.981944444444444,0.987666666666667,0.983333333333333,1.21662406666667
"LOPITDC2019","RF",0.98240002066089,0.98015873015873,0.98640350877193,0.983333333333333,1.20860773333333
"LOPITDC2019","RF",0.987044534412955,0.985714285714286,0.99,0.991666666666667,1.2466876
"LOPITDC2019","RF",1,1,1,1,1.20066626666667
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333,1.1952258
"LOPITDC2019","RF",1,1,1,1,1.21124213333333
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667,1.24018906666667
"LOPITDC2019","RF",0.98960498960499,0.985714285714286,0.994736842105263,0.991666666666667,1.21964613333333
