,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,R2_Con_03,R2_Con_06,R2_Con_12,R2_Con_24,R2_Con_80,R3_Con_03,R3_Con_06,R3_Con_12,R3_Con_24,R3_Con_80,markers
Q92887,0.07064864016501883,0.13263828165287853,0.09718616174525248,0.3621219255173651,1.0,0.1685522746126769,0.0465729467949165,0.0,0.1843770319051159,0.6516670029819956,0.09817717091545097,0.03603506647833104,0.0025201228672017727,0.25562207125400765,0.8269993946324076,Plasma membrane
Q13443;Q13443-2,0.2920791664923238,0.2614251642328131,0.15960500439349146,0.4427381898824238,1.0,0.4183020210050646,0.12111803841164975,0.04577597389012302,0.25953387171011494,0.821833549520902,0.2723042805138296,0.06366793589689876,0.0,0.22163270429725013,0.944683877986529,Plasma membrane
Q9H6X2;Q9H6X2-5;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2;Q9H6X2-3,0.2054159252123857,0.11285301802530483,0.146280963375836,0.41629777784313976,1.0,0.16919864111652042,0.05737508027314887,0.05808099376933193,0.2858508463608687,0.6019922447558961,0.15551666495090488,0.009069027555138026,0.0,0.2893313920712196,0.8305807609159231,Plasma membrane
O95782;O95782-2,0.0,0.34937154073402454,0.48946091496495153,0.8139780500077207,1.0,0.0744884894559334,0.15088004224601245,0.26563675403155523,0.4753124859885702,0.8279770237484375,0.016559640111792576,0.12545272481803899,0.18029781446627113,0.3852906157057536,0.8238420955616765,Plasma membrane
O94973;O94973-2;O94973-3,0.0,0.3746103825542872,0.5453843558229581,0.8876757925319247,1.0,0.08852680282068597,0.1588037815053956,0.3070785983494506,0.569118849763513,0.8626258929031007,0.03124946382920301,0.14193799291968615,0.2113456600191019,0.43860772886629024,0.833572584657792,Plasma membrane
Q96CW1;Q96CW1-2,0.0,0.32255448936524317,0.4969097186796906,0.7627651976867199,1.0,0.07386067690853813,0.1400372659467655,0.2713218671635462,0.48831814593860157,0.8234431801706505,0.019427693860784273,0.13849078285336788,0.16781489456529436,0.42710319015835285,0.8204361297112688,Plasma membrane
P05023;P05023-4;P05023-3;P05023-2,0.016005595646314236,0.04959653342886878,0.09079106743777454,0.29834348397222704,0.9784362898135356,0.03673507685483725,0.02540389306856367,0.07410648787894297,0.2719347629527278,0.8608765375232441,0.0,0.003616698227476661,0.03496596550488763,0.2331234965965504,1.0,Plasma membrane
P05026;P05026-2,0.04031510821275433,0.04999312990815209,0.09042802433774068,0.3288977201864433,1.0,0.03885125018056009,0.02470590722205181,0.06393060854921265,0.28928019053054693,0.8410366440129786,0.0,0.0014198189818876012,0.032483203506212976,0.2597211799646987,0.8772367433650752,Plasma membrane
P54709,0.03248818562201929,0.04830446978804521,0.09474968681519023,0.3394237399501067,1.0,0.03486008671699292,0.02474611271764983,0.0779261569786962,0.31454946514893906,0.7918900477629401,0.0,0.005032618152805378,0.03730058160314528,0.2550353258024571,0.908986869704289,Plasma membrane
P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2,0.014940712845894797,0.05721572314736595,0.1051322804354785,0.3337851661997202,1.0,0.034382253786884386,0.03084236601325907,0.09876843724693794,0.28957236564733874,0.994495275641914,0.0,0.006118835225781127,0.04440053392644351,0.23570243305634747,0.9913929020874995,Plasma membrane
