,Map1_01K,Map1_03K,Map1_06K,Map1_12K,Map1_24K,Map1_80K,Map2_01K,Map2_03K,Map2_06K,Map2_12K,Map2_24K,Map2_80K,Map3_01K,Map3_03K,Map3_06K,Map3_12K,Map3_24K,Map3_80K,Map4_01K,Map4_03K,Map4_06K,Map4_12K,Map4_24K,Map4_80K,Map5_01K,Map5_03K,Map5_06K,Map5_12K,Map5_24K,Map5_80K,markers
Q9JHU4,0.4902979331574324,0.41185686015830986,0.22130606860158203,0.03779133685136171,0.0,0.6932167985927877,0.34921943711521514,0.25662379067721947,0.10804199648196815,0.1917875989445915,0.1484993403693931,0.5426286279683387,0.4642150395778358,0.38077176781002586,0.2391160949868075,0.22202066842568022,0.17752308707124076,0.3836301671064186,0.4652594547053636,1.0,0.5685740985048385,0.4087236147757263,0.3858014511873357,0.7460971855760762,0.561895338610377,0.7196844766930529,0.48738456464379754,0.46066952506596426,0.3137642919964807,0.7901550131926114,Large Protein Complex
P14873,0.018557433141270778,0.15467325166642476,0.1481043916138086,0.18648138284994933,0.2665795122581062,0.7010926580480636,0.0,0.10046320954179358,0.08870059232718365,0.11137365031714547,0.1638018689778719,0.5752029567940082,0.017288852305556848,0.1583466485901964,0.15968947207024012,0.17228167013670354,0.24896463790571188,1.0,0.022443874174857555,0.1345502671121223,0.14076405364837996,0.19014832389160538,0.24047515292370777,0.6738165561096853,0.024135315289142808,0.13499572297809806,0.1575493471489208,0.2278409916234931,0.27487532077664206,0.6607756742361882,unknown
Q6ZWQ0;E9QP46,0.7461360493333193,0.11013890217703268,0.08165395353691773,0.1400589703669553,0.132144068607412,0.01580153601280314,0.8558574621867721,0.09561375279413481,0.08643333652248804,0.20268236890400337,0.11363972410913878,0.0,0.8670122550511835,0.09474398337000896,0.04989867186208992,0.1726535795360645,0.18972280448453108,0.04873970410444171,0.9172849277656465,0.028026145268889444,0.03535395266714834,0.11966287737120888,0.10057143851165018,0.02053308168004726,1.0,0.08898393535873655,0.05783966670435681,0.1340575613404889,0.12135892774825432,0.03469727675193298,unknown
A3KGU7;A3KGU9,0.16545716650335365,0.6252636955939801,1.0,0.8270353370514724,0.4130547430825188,0.5261460781496725,0.0,0.6712615393683105,0.6183627911088857,0.49304138332436837,0.36032790347574667,0.4353291927906416,0.06263123383751651,0.7344256900290517,0.8073395171331541,0.6485450388390753,0.5176488790327933,0.6906135419813211,0.058210725626421975,0.7411301274825459,0.814043954586646,0.7229569270591578,0.48417580852323167,0.5581456459222043,0.07869241367115741,0.6391637380799762,0.8660586012038509,0.8403950952005559,0.6178961819088257,0.6588349996193441,Actin binding proteins
F7ACR9,0.12088507707758758,0.6711249980073014,1.0,0.9614213521656648,0.6273387641016651,0.7292586629257072,0.14330958036421318,0.6147980466238377,0.704868030203999,0.7183121044492989,0.4613336734205868,0.6474251675195423,0.16574471137751343,0.6794146248146803,0.8800661044599261,0.8422313974929204,0.6847816267861219,0.8154495262690834,0.0,0.7273456721240048,0.8572164921062568,0.8904281379691481,0.6710718593739212,0.8326133048510256,0.055195098492457025,0.616445344258637,0.864018237178977,0.8448883291619522,0.6684680663382695,0.8350576819865344,unknown
P63260;Q4KL81,0.1787050030796973,0.5169002368509618,0.3968237841544806,0.46470412679463813,0.2300438777518833,0.0,0.12121943320866288,0.9009416889442025,0.5849075773258076,0.511566327794112,0.2991306998215685,0.09171148631915918,0.20108837144326663,1.0,0.7621330556314005,0.6776159966472575,0.41930240089406373,0.05697122864055104,0.15802340570093218,0.6180540121790926,0.5635084421810597,0.41206352431691057,0.32827670288221517,0.047859134001764614,0.09360375405599322,0.41130153730878893,0.526869566873884,0.6722185886730635,0.2564721271502322,0.1307506207019168,Actin binding proteins
Q61879;Q3UH59;Q5SV64,0.20345626682115753,0.7179545471212434,0.7659888091169751,0.6588284040158101,0.2036946047623589,0.0,0.11228283746819061,0.8150864250042152,0.5928454616789259,0.42600890283878734,0.23638357008235442,0.049847463717632545,0.13485160713107125,1.0,0.8576389143523432,0.6005456105484698,0.34062891882576307,0.14605349036748042,0.11825961968597996,0.7874025564494243,0.7702972257463631,0.5238741282331446,0.2819794516027309,0.05862196669135628,0.11974464839653635,0.6577833838120861,0.7406883199741847,0.5305109232111818,0.267202499248319,0.10170429961645892,Actin binding proteins
P10126;Q58E64;D3YZ68;D3Z3I8,0.8125065648961866,0.21993277546304096,0.0,0.256696194110847,0.43678442631560166,0.8664262455796339,0.3766499772416904,0.2754980567907268,0.11610237736773694,0.4314099646370915,0.40642834634641667,0.9970239137285108,0.6244879380974024,0.270981408213995,0.1945485102062212,0.42055600294107076,0.41467385595742473,1.0,0.8063793284548845,0.5289205560029406,0.2796645775708118,0.16266937432162318,0.431077343230279,0.5556002941073472,0.7170967403102091,0.23642379468505678,0.05812121424319594,0.3306606911522679,0.06204264556562979,0.8571478589685241,Large Protein Complex
Q62261;A0A0A0MQG2,0.2128375519550006,0.5073048109709061,0.8272729535329406,0.6647004654172589,0.22417183105602384,0.12792752432863058,0.0,0.6899873068020609,0.5825182309166496,0.45294805744294375,0.24293785310734503,0.12581696906344214,0.05636277657482876,0.7303068767266484,0.7525573060554024,0.5139251847980281,0.43348515393613524,0.2608576619627169,0.06374972000298701,0.9081609796162186,0.9403668583090677,0.7917319993031199,0.41257871027153564,0.3231787749819557,0.10412404489907591,0.6822220562980665,1.0,0.8846661191169533,0.5770925110132158,0.419696856566863,Actin binding proteins
P63038,0.08031524357568193,0.5278691781313586,0.7611696240315309,0.25827987038678596,0.010194165235145162,0.0,0.10079685248901099,0.8591432907132222,1.0,0.2947721919223789,0.013625330335067817,0.0006221171326832622,0.10555467911380846,0.6508840375751438,0.9282152474153285,0.26895367880162846,0.010582303722957615,0.006865773363850195,0.0952982239116676,0.5601618829641418,0.6430586648369889,0.18248331004502386,0.009230079313804516,0.000594154467432263,0.09555906966960613,0.5177692303839808,0.6349202771893088,0.17767853118379687,0.00871673486218157,0.002909108399984642,Mitochondrion
P58252,0.06004838166396255,0.12251584652601362,0.11994365679639904,0.14737269191903707,0.3198242337018095,1.0,0.0,0.08642098171908066,0.09162660379091796,0.1619331230670302,0.23276785987690296,0.9216860091251486,0.004401812781333316,0.143889518326852,0.13902838595094513,0.17954037419236346,0.2646599503934836,0.8725388125057416,0.045235324738953475,0.14662246991456693,0.13259791162690981,0.12789754110910445,0.2515693419481279,0.7926172030498821,0.012968123220137172,0.10749609578344582,0.10415071806963362,0.09007257249594264,0.22631441957313905,0.9891294362617508,Large Protein Complex
