data,method,f1score,precision,recall,accuracy,quadloss
itzhak2017,RowMaxMin,0.8254837059526171,0.825630687503684,0.837359119335193,0.8836858006042296,0.8324228581276291
itzhak2017,RowMaxMin,0.8557068935324219,0.8419889322813247,0.8759993171197406,0.904833836858006,0.2290579769169453
itzhak2017,RowMaxMin,0.8224156602898266,0.8138734114676831,0.8343020860481561,0.8897280966767371,0.4095168624935732
itzhak2017,RowMaxMin,0.8365236643691123,0.8278820650648755,0.8635822610412519,0.8972809667673716,0.32514352746866665
itzhak2017,RowMaxMin,0.8194309276258518,0.8015523157339014,0.8518551788908627,0.8851963746223565,0.46693394685331185
itzhak2017,RowMaxMin,0.8535048043353838,0.8525928906534089,0.8684412286581623,0.8942598187311178,0.24676173430359932
itzhak2017,RowMaxMin,0.873275734096683,0.8741772017308378,0.8789011454599908,0.9078549848942599,0.3401940375685181
itzhak2017,RowMaxMin,0.8749558957529016,0.875868725537665,0.8813873395671279,0.9138972809667674,0.3318136412496977
itzhak2017,RowMaxMin,0.8509890550007101,0.8536375616304402,0.8508773293707205,0.9063444108761329,0.0841199918099212
itzhak2017,RowMaxMin,0.8756813176371719,0.8800505560019234,0.8758647239704417,0.9033232628398792,0.058933993708605935
itzhak2017,RowMaxMin,0.8472200785813921,0.8512836427341831,0.8514929405612376,0.8912386706948641,0.15998394070425795
itzhak2017,RowMaxMin,0.8590570865011106,0.8489153047134542,0.8787995770395859,0.9033232628398792,0.30256644292249
itzhak2017,RowMaxMin,0.8325715379498507,0.8230513238115577,0.8476793523587709,0.8867069486404834,0.35611177878402495
itzhak2017,RowMaxMin,0.8265770814924812,0.8010575776522337,0.8603960214540032,0.8942598187311178,0.35200397391171395
itzhak2017,RowMaxMin,0.8514350033471065,0.8492424550443533,0.8603185448124959,0.8987915407854985,0.19780796704687467
itzhak2017,RowMaxMin,0.8461867165037195,0.8427514389691709,0.8544611555604987,0.9018126888217523,0.3216010048815087
itzhak2017,RowMaxMin,0.8374148436468974,0.8244333517359833,0.8526772697323254,0.8912386706948641,0.14838994184504298
itzhak2017,RowMaxMin,0.829085259709021,0.8192076852359111,0.8439953866933969,0.8836858006042296,0.21830498792950603
itzhak2017,RowMaxMin,0.8542538660848531,0.8525247568471581,0.8639515578789722,0.8987915407854985,0.4979762302990898
itzhak2017,RowMaxMin,0.8666211517402177,0.8485079557687926,0.8917856722322663,0.8867069486404834,0.8534445861724831
itzhak2017,RowMaxMin,0.814748509692259,0.7938680463232445,0.8662894629253727,0.8731117824773413,1.6592224739880879
itzhak2017,RowMaxMin,0.8527449189996011,0.8568494256820222,0.8512512237814174,0.9033232628398792,0.1307975977493541
itzhak2017,RowMaxMin,0.8436527499568486,0.8417022449079541,0.8495694139429445,0.8987915407854985,0.14296993492507257
itzhak2017,RowMaxMin,0.8365265729405759,0.8246195754478921,0.8562001532514647,0.8972809667673716,0.5295293968979121
itzhak2017,RowMaxMin,0.8525889177578009,0.8537494248731462,0.8576532571832335,0.8972809667673716,0.14498490691720667
itzhak2017,RowMaxMin,0.8674684764493538,0.8597233299414752,0.8826214442499335,0.9018126888217523,0.20789105173637784
itzhak2017,RowMaxMin,0.8184480282583014,0.8041110828086837,0.8415044867003401,0.8867069486404834,0.26515699650690033
itzhak2017,RowMaxMin,0.8532387278144528,0.862403976570732,0.8563604325237199,0.8987915407854985,0.1589831667052196
itzhak2017,RowMaxMin,0.8458923087417958,0.8481976170571538,0.8553012219197749,0.8912386706948641,0.6303676027103674
itzhak2017,RowMaxMin,0.8310448556272063,0.8339389222032411,0.8325648474519528,0.8957703927492447,0.16382072812886317
itzhak2017,RowMaxMin,0.8525935041580276,0.8408471848054688,0.8693355228023321,0.9018126888217523,0.22326493867804162
itzhak2017,RowMaxMin,0.8639925983097423,0.8420804949930624,0.8901968241510465,0.8927492447129909,0.6640740923125914
