"data","method","f1score","precision","recall","accuracy","quadloss"
"itzhak2017","MAP",0.564674603174603,0.875359860464225,0.540812257917521,0.808139534883721,0.335408364509064
"itzhak2017","MAP",0.557551476301476,0.877469558599696,0.536249715197084,0.813953488372093,0.345937738780378
"itzhak2017","MAP",0.650675426468332,0.911875511875512,0.617977709425078,0.848837209302326,0.315194790990714
"itzhak2017","MAP",0.635700200973029,0.87154367201426,0.611036113009797,0.831395348837209,0.372747969184989
"itzhak2017","MAP",0.627109752415459,0.908251373040105,0.575049365838839,0.825581395348837,0.340777304100874
"itzhak2017","MAP",0.587528899768802,0.899028822055138,0.541153072074125,0.796511627906977,0.35027952465551
"itzhak2017","MAP",0.601532965162265,0.828309523809524,0.571368762816131,0.802325581395349,0.364632272957169
"itzhak2017","MAP",0.629461488228849,0.897075237751294,0.591792003104583,0.819767441860465,0.357673936064267
"itzhak2017","MAP",0.551564146615025,0.850269382232853,0.524829118250171,0.796511627906977,0.340705365573532
"itzhak2017","MAP",0.549315527704274,0.902246913580247,0.504253056884636,0.796511627906977,0.388660541632816
"itzhak2017","MAP",0.510562813812003,0.88735632183908,0.488996187808768,0.773255813953488,0.367820083116984
"itzhak2017","MAP",0.568302287388388,0.881038505354295,0.541767297030455,0.808139534883721,0.321246132193238
"itzhak2017","MAP",0.61908545650638,0.905359276327018,0.60176008202324,0.843023255813954,0.329664992945512
"itzhak2017","MAP",0.62508877396282,0.896219726219726,0.592878977747399,0.825581395348837,0.334476158144788
"itzhak2017","MAP",0.561870866019199,0.86725050173326,0.529535011771854,0.790697674418605,0.401795283420356
"itzhak2017","MAP",0.621928632832888,0.887734487734488,0.590847383610541,0.825581395348837,0.3181514138343
"itzhak2017","MAP",0.611461126109689,0.89355000119706,0.573842750816435,0.837209302325581,0.338968312338928
"itzhak2017","MAP",0.58883620398514,0.86437908496732,0.569801397432976,0.819767441860465,0.389011242829563
"itzhak2017","MAP",0.609443510349107,0.914415584415584,0.573800979722032,0.831395348837209,0.384583092372701
"itzhak2017","MAP",0.541460563553587,0.871565934065934,0.519583048530417,0.808139534883721,0.341347359537432
"itzhak2017","MAP",0.524501312267483,0.836696696696697,0.495454545454545,0.808139534883721,0.404040643381454
"itzhak2017","MAP",0.664056049770335,0.893492063492063,0.639318941292625,0.848837209302326,0.347411705227083
