"data","method","f1score","precision","recall","accuracy","quadloss"
"itzhak2017","NNET",0.676744407531275,0.786514803463956,0.666735019366598,0.854651162790698,1.75950075019538
"itzhak2017","NNET",0.767294287908323,0.792723796671165,0.785438026885395,0.901162790697674,1.76835029486733
"itzhak2017","NNET",0.71259625513058,0.788217518353001,0.706355851750589,0.848837209302326,1.69001834811639
"itzhak2017","NNET",0.715616442021718,0.831963093403771,0.694611528822055,0.86046511627907,1.67328860654159
"itzhak2017","NNET",0.756538168573772,0.863100934153566,0.752482532087795,0.883720930232558,1.66462306377187
"itzhak2017","NNET",0.782752163553674,0.896087857271168,0.780561251613883,0.895348837209302,1.80461868100981
"itzhak2017","NNET",0.764112117581777,0.88112326270221,0.739401534138376,0.872093023255814,1.67828966315226
"itzhak2017","NNET",0.817155008909132,0.916670311778572,0.807300448089922,0.912790697674419,1.69047147064024
"itzhak2017","NNET",0.754641727081486,0.843171979535616,0.757530189109136,0.872093023255814,1.64459343633713
"itzhak2017","NNET",0.793543951877285,0.790667819834487,0.80238664843928,0.883720930232558,1.64139932324259
"itzhak2017","NNET",0.809766232205991,0.875740421194967,0.831694767221083,0.883720930232558,1.62590446838861
"itzhak2017","NNET",0.876256535787187,0.915740740740741,0.85423978923658,0.906976744186046,1.66850312584272
"itzhak2017","NNET",0.693289817934988,0.695797563980291,0.701660424157215,0.819767441860465,1.79092582943748
"itzhak2017","NNET",0.766307223372441,0.777843169761273,0.767878977747399,0.866279069767442,1.66346740616498
"itzhak2017","NNET",0.774447237600409,0.841705516705517,0.798851294903926,0.88953488372093,1.69616640813542
"itzhak2017","NNET",0.777033248214249,0.859585973601611,0.771214043052939,0.901162790697674,1.7093015375123
"itzhak2017","NNET",0.75318982572238,0.863233620005166,0.745156451735399,0.86046511627907,1.65395424243165
"itzhak2017","NNET",0.711606853553401,0.798213257381208,0.73298874495922,0.854651162790698,1.64345306254925
"itzhak2017","NNET",0.779828170455915,0.864604251620953,0.782785562390826,0.906976744186046,1.70521901724206
"itzhak2017","NNET",0.758587453979581,0.828246753246753,0.772954165717324,0.88953488372093,1.72788694450544
"itzhak2017","NNET",0.768860714570296,0.883673407539985,0.752858471937419,0.872093023255814,1.6599092719774
"itzhak2017","NNET",0.731705829043962,0.869075369075369,0.706058707374497,0.872093023255814,1.7190976186787
"itzhak2017","NNET",0.73595061062265,0.848810135250813,0.720083352320194,0.854651162790698,1.6375219172663
"itzhak2017","NNET",0.781346478445188,0.859911141490089,0.782194144822514,0.877906976744186,1.67244378607908
"itzhak2017","NNET",0.777608434552879,0.79707787673474,0.781097653594444,0.88953488372093,1.77588516246107
"itzhak2017","NNET",0.736900317878579,0.817164875354531,0.729125844915319,0.883720930232558,1.68902286827672
"itzhak2017","NNET",0.783046654885551,0.881096759466464,0.783587780426676,0.901162790697674,1.69333774209851
"itzhak2017","NNET",0.741841914330246,0.822279541951673,0.740774284195337,0.877906976744186,1.69650783553832
"itzhak2017","NNET",0.743668903608663,0.834632034632035,0.730529923293081,0.877906976744186,1.6961605264928
"itzhak2017","NNET",0.765550705381769,0.855907598148977,0.761696855775803,0.883720930232558,1.7109362913957
"itzhak2017","NNET",0.714640641765558,0.824961245650901,0.701504708741551,0.854651162790698,1.69280168929553
"itzhak2017","NNET",0.669451513451336,0.793702765131977,0.668636553504975,0.831395348837209,1.69471325614791
"itzhak2017","NNET",0.836282272529431,0.850363933452169,0.834288395600976,0.906976744186046,1.70386031674484
"itzhak2017","NNET",0.759861368697273,0.85300571639314,0.748904458114984,0.86046511627907,1.67922915204542
"itzhak2017","NNET",0.782873991207324,0.863970138388743,0.795927318295739,0.88953488372093,1.70753486331408
"itzhak2017","NNET",0.750196078291217,0.831186868686869,0.755440708200657,0.88953488372093,1.69029308581241
"itzhak2017","NNET",0.643927425786496,0.704094956099768,0.652621136173768,0.837209302325581,1.7811307489968
"itzhak2017","NNET",0.759513339607753,0.812587772236266,0.738919291021345,0.843023255813954,1.80714865162824
"itzhak2017","NNET",0.762765515447589,0.858353025597703,0.749954431533379,0.877906976744186,1.66283662010574
"itzhak2017","NNET",0.737673800902857,0.86935557667265,0.726169613797984,0.872093023255814,1.65007523554474
"itzhak2017","NNET",0.758397856204874,0.736884107607792,0.813989519252677,0.883720930232558,1.786368858762
"itzhak2017","NNET",0.729001395191154,0.868863863409318,0.724938292701451,0.854651162790698,1.62742377272434
"itzhak2017","NNET",0.766502912518434,0.830682389505919,0.783011506037822,0.86046511627907,1.64790344020604
