"data","method","f1score","precision","recall","accuracy","quadloss"
"nikolovski2014","MCMC",0.664925654056089,0.701325757575758,0.670267232767233,0.672727272727273,0.564384868953847
"nikolovski2014","MCMC",0.698958333333333,0.728409090909091,0.704087579087579,0.672727272727273,0.537851409965726
"nikolovski2014","MCMC",0.599728800611154,0.612310606060606,0.626706626706627,0.618181818181818,0.655646464290655
"nikolovski2014","MCMC",0.627992840492841,0.666296897546898,0.623584748584749,0.618181818181818,0.50123587990707
"nikolovski2014","MCMC",0.633639005921615,0.629897186147186,0.655927405927406,0.636363636363636,0.621410973283236
"nikolovski2014","MCMC",0.68291292041292,0.722996794871795,0.6625666000666,0.690909090909091,0.534358909651565
"nikolovski2014","MCMC",0.636750749250749,0.671469155844156,0.621045621045621,0.672727272727273,0.539587487940325
"nikolovski2014","MCMC",0.641871921182266,0.67249503968254,0.689352314352314,0.654545454545455,0.586998498257379
"nikolovski2014","MCMC",0.489497730530339,0.52275641025641,0.49521312021312,0.509090909090909,0.726681450301683
"nikolovski2014","MCMC",0.648861283643892,0.685416666666667,0.655927405927406,0.654545454545455,0.606753085555259
"nikolovski2014","MCMC",0.600984613212874,0.595170454545455,0.630348817848818,0.618181818181818,0.686575311430764
"nikolovski2014","MCMC",0.637204462204462,0.644817682317682,0.646603396603397,0.690909090909091,0.549826002215401
"nikolovski2014","MCMC",0.628374125874126,0.635416666666667,0.636322011322011,0.618181818181818,0.626368146495637
"nikolovski2014","MCMC",0.588630952380952,0.595386904761905,0.623730436230436,0.618181818181818,0.694793799243697
"nikolovski2014","MCMC",0.689921744921745,0.674107142857143,0.717199467199467,0.672727272727273,0.573133836785786
"nikolovski2014","MCMC",0.624367842302625,0.649336080586081,0.639298201798202,0.618181818181818,0.660474193689824
"nikolovski2014","MCMC",0.593981018981019,0.609767316017316,0.601273726273726,0.6,0.736085092628204
"nikolovski2014","MCMC",0.614425851925852,0.626190476190476,0.650516150516151,0.6,0.703410485799644
"nikolovski2014","MCMC",0.644553363303363,0.643429487179487,0.663628038628039,0.636363636363636,0.507253755590103
"nikolovski2014","MCMC",0.660984848484849,0.719318181818182,0.655927405927406,0.654545454545455,0.624287151286709
"nikolovski2014","MCMC",0.601352813852814,0.620535714285714,0.598297535797536,0.6,0.620593407140353
"nikolovski2014","MCMC",0.681191251204039,0.771428571428571,0.690871628371628,0.690909090909091,0.530997991229848
"nikolovski2014","MCMC",0.600830188330188,0.637202380952381,0.588307525807526,0.636363636363636,0.610066489094905
"nikolovski2014","MCMC",0.526650432900433,0.529924242424242,0.557567432567433,0.527272727272727,0.823736982257591
"nikolovski2014","MCMC",0.644170875420875,0.668686868686869,0.652264402264402,0.6,0.646470093135921
"nikolovski2014","MCMC",0.635449320794148,0.706169871794872,0.610764235764236,0.6,0.628422373613994
"nikolovski2014","MCMC",0.612946428571429,0.628025793650794,0.625333000333,0.6,0.640457956448132
