,FS1.A.A431,FS1.B.A431,FS2.A.A431,FS2.B.A431,FP1.A.A431,FP1.B.A431,FP2.A.A431,FP2.B.A431,FP3.A.A431,FP3.B.A431,markers
A2M,1.0,0.6374470928937329,0.13176654043216737,0.073178881710848,0.060035642682111416,0.0,0.5363109824014209,0.32189797282245286,0.2564045444419686,0.23267988416128194,unknown
AAAS,0.06873947558335318,0.05713254751022347,0.051238874188116304,0.0,0.9910392109694507,1.0,0.642711089728168,0.6502886697137407,0.6426509502044752,0.6686913639644025,Plasma Membrane
AACS,0.9579325815075447,1.0,0.2451832959469014,0.19967427711028513,0.04756783332821196,0.04968810496881084,0.026180745475217586,0.013520572780628671,0.009556586669944576,0.0,Cytosol_4
AADAT,0.7178096571028685,0.5275542337298766,1.0,0.796273617914627,0.3948565430370895,0.4120888733379988,0.7255073477956603,0.600332400279917,0.011196641007697449,0.0,unknown
AAED1,0.1704881136587426,0.12097341398227641,0.0,0.05429736953157934,0.3539175692783783,0.40371360247573357,0.6794204529469702,0.7113518075678646,1.0,0.7041778027852058,unknown
AAGAB,1.0,0.9867465317222643,0.19714964370546373,0.14155392612482412,0.05931357361699207,0.07136218114220824,0.05297944851802164,0.05883162931598354,0.0,0.00454404626665293,unknown
AAK1,1.0,0.8899005125113071,0.15299969852276174,0.12806753090141687,0.023786554115164126,0.032378655411516355,0.05939101597829382,0.03910159782936378,0.01730479348809152,0.0,Cytosol_3
AAMDC,0.9084603658536552,1.0,0.23555640243902373,0.19805640243902378,0.051867378048780124,0.050457317073170464,0.07446646341463403,0.07694359756097502,0.022522865853658494,0.0,unknown
AAMP,0.8705020993094864,1.0,0.23258961102050793,0.24376279537804954,0.027551268260522857,0.013810333460564097,0.04094520975745188,0.020299108227211073,0.015441201984801929,0.0,unknown
AAR2,0.622300692652453,0.6917017520032475,0.9200054325682391,1.0,0.0,0.006111639277469005,0.07184571506179435,0.0988727420888209,0.6315360586717286,0.5141925845443318,unknown
AARS,0.9359942154736102,1.0,0.17489515545914686,0.18594360086767925,0.04344179320318173,0.04315256688358634,0.025683297180043505,0.022415039768618982,0.007057122198120149,0.0,Cytosol_4
AARS2,0.016465745369008977,0.0,0.35107321376065787,0.43178476918553305,0.7438253454866188,0.6731108497500747,1.0,0.8847397824169333,0.15002940311672994,0.12849162011173162,unknown
AARSD1,0.9084753394292062,1.0,0.15973954003879207,0.1610037406483793,0.02485106677750077,0.02725824328068713,0.019413272374618987,0.018010529232474495,0.0,0.0015759213078415128,unknown
AASDH,0.5060371890847669,0.6095146099975889,0.8547452306206228,1.0,0.2016421154310552,0.2580294614827345,0.4044916686790632,0.2564597923206955,0.1406665056749577,0.0,unknown
AASDHPPT,0.8794665074151476,1.0,0.5805713148203434,0.3931024186324296,0.11525828605553898,0.08923061610430942,0.004379416741315677,0.017318602567930375,0.0029361998606549275,0.0,Cytosol_5
AASS,0.010245296029947358,0.0,0.33484385774800446,0.3784848783371088,0.4667520441335791,0.5131514136538272,1.0,0.8732144616293936,0.20884641907201268,0.3402620431484577,unknown
AATF,0.002880553066188869,0.005633081551658012,0.0,0.02182819101267428,1.0,0.9932787095122257,0.2801177826142614,0.34176161823069945,0.40807835104340057,0.49724747151453125,Nucleus (Nucleolus)
ABAT,0.004859283255720284,0.0,0.42792063170682426,0.34814739825875796,0.6300870621583393,0.5535533508807421,1.0,0.7599716541810145,0.1325167037861919,0.08665721806033586,unknown
ABCA2,0.17347848230201127,0.20741023682200113,0.0,0.07072829131652655,0.44938884644766874,0.37859689330277446,0.7062006620830157,0.6774255156608093,0.9252610134963019,1.0,"Golgi, Endo/Lyosome"
ABCA3,0.0,0.021851792488112334,0.04194048191483652,0.05711385371587257,0.28092108778116054,0.29924667414649714,0.7436020729817806,0.6810920553507468,0.9392530854303567,1.0,unknown
ABCA5,0.10635301913360372,0.06700902841050285,0.009194069411082792,0.0,0.33330572351528187,0.317733786134349,0.8955520583119351,0.8306137662552812,0.9974322869212293,1.0,unknown
ABCA7,0.0,0.041486419402879934,0.06510176583221094,0.10368059002907606,0.4271328274590451,0.4066378271044651,1.0,0.9136231472945225,0.5235798879512061,0.48308630593575086,unknown
ABCB10,0.06292779863104399,0.056156620298814575,0.03363509236770429,0.0,0.987193640980348,0.9622433208213761,0.9402369912416348,1.0,0.43328181349819805,0.524177522631929,Mitochondria membrane
ABCB7,0.009836405052806047,0.012632014909919092,0.0,0.008076206253882952,0.5082832884655221,0.5230896665976411,1.0,0.9507144336301485,0.26879271070615035,0.298923172499482,Mitochondria membrane
ABCB8,0.07832576249188856,0.08403634003893604,0.0,0.004931862426995015,0.6053861129136939,0.5234263465282328,0.9576898118105152,1.0,0.34996755353666525,0.3435431537962369,Mitochondria membrane
ABCB9,0.0,0.013603044826614338,0.1200310121229205,0.07048209754722301,0.3344375528615733,0.2792500704820978,0.9015365097265322,0.8424725119819582,1.0,0.8877925007048212,unknown
ABCC1,0.04552129221732756,0.05904307391091551,0.0,0.0070362212432700365,0.8940895741556549,0.8851566324033294,1.0,0.943587860988747,0.3662506118453261,0.39158100832109716,Plasma Membrane
ABCC10,0.10809259613545065,0.1592372935399531,0.0,0.02385051973726181,0.30954658503922017,0.25157834321790784,0.7179389069574686,0.6788470123078926,0.8688221414450633,1.0,"Golgi, Endo/Lyosome"
