"data","method","f1score","precision","recall","accuracy","quadloss"
"orre2019","MAP",0.68674140448935,0.712133450934866,0.698703842717579,0.693215339233038,0.489344042709462
"orre2019","MAP",0.693719602798776,0.718458482717917,0.699054991633669,0.693215339233038,0.479777915987285
"orre2019","MAP",0.656181553767564,0.686951549498177,0.659295783618084,0.665191740412979,0.515774729781804
"orre2019","MAP",0.657637749698627,0.68255649079792,0.67037363237291,0.671091445427729,0.518808926011897
"orre2019","MAP",0.673960024431079,0.694271043752479,0.680887291908051,0.687315634218289,0.488921997621558
"orre2019","MAP",0.628283504193822,0.65590294418278,0.640213141310204,0.650442477876106,0.567574764292234
"orre2019","MAP",0.655144942851803,0.672916076910079,0.671252725885107,0.654867256637168,0.532640045932554
"orre2019","MAP",0.67053904807996,0.707848017412006,0.678719606669443,0.676991150442478,0.497766201170989
"orre2019","MAP",0.664771333413386,0.698897184339455,0.671863082246462,0.675516224188791,0.503251597642967
"orre2019","MAP",0.664632053030736,0.695289224956712,0.66830746638259,0.671091445427729,0.516565623199099
"orre2019","MAP",0.638752306117162,0.668099917808,0.640913221879661,0.648967551622419,0.554222848755805
"orre2019","MAP",0.637024964862288,0.677807462686184,0.648405914520035,0.650442477876106,0.542886302189306
"orre2019","MAP",0.667940484487701,0.70122129939265,0.673224528544655,0.68141592920354,0.509689386637517
"orre2019","MAP",0.67897766909536,0.704020150195506,0.683886067286618,0.687315634218289,0.484812331795084
"orre2019","MAP",0.667320227539332,0.685631419091551,0.67225681173715,0.672566371681416,0.518561776233219
"orre2019","MAP",0.666579724164971,0.706708982828249,0.67073611387705,0.672566371681416,0.495656546714814
"orre2019","MAP",0.666792425184922,0.691394625537506,0.67098942516337,0.684365781710914,0.487858240825595
"orre2019","MAP",0.654142771922029,0.689470178237313,0.656429624854351,0.672566371681416,0.50503033670674
"orre2019","MAP",0.661234679410526,0.684516374202991,0.66835336151551,0.674041297935103,0.52140399486915
"orre2019","MAP",0.679689283628956,0.711131020454913,0.680002459612735,0.690265486725664,0.490572034874243
"orre2019","MAP",0.687100209931264,0.71277431448854,0.689355225726105,0.699115044247788,0.47314646829358
"orre2019","MAP",0.670963639673268,0.695266363845363,0.670673272193765,0.679941002949852,0.496919487864025
"orre2019","MAP",0.66126157739463,0.705094417162943,0.658262512852389,0.672566371681416,0.51478248684836
"orre2019","MAP",0.661999865213042,0.690199385820357,0.660811376277493,0.666666666666667,0.512756038457037
"orre2019","MAP",0.676470493171592,0.696249264148916,0.684284583510364,0.682890855457227,0.504762115421861
"orre2019","MAP",0.627641709966247,0.663975285739527,0.630606055293472,0.651917404129793,0.547618498902154
