"data","method","f1score","precision","recall","accuracy","quadloss"
"orre2019","RF",0.725473944981602,0.735922674356004,0.722155012202508,0.740412979351032,1.42476922713864
"orre2019","RF",0.692516519376807,0.716174018667312,0.686737378741716,0.71976401179941,1.42450195870206
"orre2019","RF",0.711524681559063,0.734915228320801,0.703918368012545,0.727138643067847,1.46847985840708
"orre2019","RF",0.71647885505544,0.725638600300762,0.714085100980679,0.728613569321534,1.48777225958702
"orre2019","RF",0.714173880338528,0.714614921406999,0.717898263332244,0.718289085545723,1.45820081415929
"orre2019","RF",0.719663664719478,0.73214931608582,0.716325820837582,0.728613569321534,1.47422046017699
"orre2019","RF",0.682645174692137,0.69989977809234,0.67849572069179,0.706489675516224,1.43937457227139
"orre2019","RF",0.713792969142359,0.718230945708709,0.713060435615499,0.716814159292035,1.47768433038348
"orre2019","RF",0.717622364038949,0.728898018732234,0.715654905081442,0.728613569321534,1.46450521533923
"orre2019","RF",0.666886204389425,0.711079219634487,0.654183369684236,0.6976401179941,1.40649136283186
"orre2019","RF",0.714772712216682,0.719537950161491,0.714291004631646,0.725663716814159,1.48584375221239
"orre2019","RF",0.717387903864084,0.728232784196468,0.7140386300201,0.728613569321534,1.41190947492625
"orre2019","RF",0.714492910268485,0.726796489997194,0.709976924504103,0.724188790560472,1.46909301474926
"orre2019","RF",0.716262671360932,0.742346483903,0.705141928345578,0.724188790560472,1.44965546902655
"orre2019","RF",0.716058707700575,0.750029711128585,0.704819841719513,0.724188790560472,1.43172810619469
"orre2019","RF",0.730013524985945,0.735728733738399,0.729704744657693,0.74188790560472,1.45149928023599
"orre2019","RF",0.68911725577004,0.705533704739317,0.685162545515609,0.699115044247788,1.45368133333333
"orre2019","RF",0.68705692989125,0.704280926549072,0.682597883692151,0.712389380530973,1.4716297699115
"orre2019","RF",0.712213495089735,0.724492840873966,0.70762137483003,0.727138643067847,1.4609163539823
"orre2019","RF",0.708776901140791,0.742956858676368,0.697206114771725,0.730088495575221,1.45644344542773
"orre2019","RF",0.703544917516661,0.721790981329539,0.695260513200172,0.71976401179941,1.47110757522124
"orre2019","RF",0.716989470971405,0.741421333654237,0.714302970616231,0.731563421828909,1.47300625368732
"orre2019","RF",0.729686705178095,0.741763398244191,0.723228984965483,0.73598820058997,1.47765669616519
"orre2019","RF",0.726203770871044,0.740413599519783,0.718760274420248,0.731563421828909,1.44510446017699
"orre2019","RF",0.713153177792133,0.73257596977317,0.704899358925601,0.733038348082596,1.44813384070796
"orre2019","RF",0.702162746174163,0.727223897694285,0.695096443706668,0.716814159292035,1.40734896755162
"orre2019","RF",0.711116527785468,0.726534494776244,0.704975743301395,0.725663716814159,1.47976489675516
