cv_index,true_label,pred_label,pred_prob
2.0,Mitochondrion,Mitochondrion,0.9996211528778076
3.0,Mitochondrion,Mitochondrion,0.9975047707557678
1.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9972320199012756
1.0,Mitochondrion,Mitochondrion,0.9768433570861816
3.0,Mitochondrion,Mitochondrion,0.9989691972732544
2.0,Cytosol,Cytosol,0.6380887031555176
5.0,Mitochondrion,Cytosol,0.5870435237884521
1.0,Mitochondrion,Mitochondrion,0.9820131659507751
1.0,Plasma membrane,Plasma membrane,0.9032931327819824
5.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9921309351921082
5.0,Mitochondrion,Mitochondrion,0.99064040184021
5.0,60S Ribosome,60S Ribosome,0.9619130492210388
4.0,Plasma membrane,Plasma membrane,0.9443535804748535
1.0,Mitochondrion,Mitochondrion,0.991701066493988
1.0,Cytosol,Cytosol,0.5388503670692444
3.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9973955154418945
3.0,Endoplasmic reticulum,Endoplasmic reticulum,0.996086835861206
5.0,Mitochondrion,Mitochondrion,0.9960172772407532
2.0,Mitochondrion,Mitochondrion,0.9997156262397766
3.0,Plasma membrane,Plasma membrane,0.9936943650245667
1.0,40S Ribosome,40S Ribosome,0.8635085225105286
3.0,Cytosol,Proteasome,0.8618506789207458
2.0,Cytosol,Cytosol,0.6627337336540222
1.0,Nucleus - Nucleolus,Nucleus - Nucleolus,0.8153607249259949
5.0,Plasma membrane,Plasma membrane,0.9684215784072876
5.0,40S Ribosome,40S Ribosome,0.764118492603302
4.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9331532120704651
1.0,Mitochondrion,Mitochondrion,0.9923065304756165
2.0,Plasma membrane,Plasma membrane,0.9946487545967102
4.0,Mitochondrion,Mitochondrion,0.9959035515785217
3.0,Plasma membrane,Plasma membrane,0.9969724416732788
2.0,60S Ribosome,60S Ribosome,0.9875116348266602
4.0,Mitochondrion,Mitochondrion,0.995240330696106
4.0,60S Ribosome,60S Ribosome,0.9478927254676819
2.0,Cytosol,Proteasome,0.838359534740448
3.0,Plasma membrane,Plasma membrane,0.9514960646629333
2.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9829117059707642
4.0,60S Ribosome,40S Ribosome,0.6652316451072693
1.0,40S Ribosome,40S Ribosome,0.9259346723556519
5.0,Cytosol,Proteasome,0.7241359949111938
5.0,Mitochondrion,Mitochondrion,0.9970986843109131
5.0,40S Ribosome,40S Ribosome,0.9068173170089722
2.0,40S Ribosome,Nucleus - Nucleolus,0.7076751589775085
4.0,Cytosol,Cytosol,0.4900846779346466
3.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9838083386421204
2.0,Plasma membrane,Plasma membrane,0.996629536151886
4.0,Mitochondrion,Mitochondrion,0.9953721165657043
5.0,Mitochondrion,Mitochondrion,0.9894862174987793
5.0,Nucleus - Chromatin,Nucleus - Chromatin,0.9740921854972839
1.0,Mitochondrion,Mitochondrion,0.9778348803520203
1.0,Mitochondrion,Mitochondrion,0.985418438911438
5.0,Mitochondrion,Mitochondrion,0.9539729952812195
2.0,Mitochondrion,Mitochondrion,0.9998646974563599
1.0,Plasma membrane,Plasma membrane,0.9833012819290161
2.0,Cytosol,Cytosol,0.6289618015289307
2.0,Mitochondrion,Mitochondrion,0.9997854828834534
4.0,Cytosol,Cytosol,0.5230399370193481
5.0,Lysosome,Lysosome,0.8046414256095886
1.0,60S Ribosome,60S Ribosome,0.6227321624755859
5.0,Nucleus - Chromatin,Nucleus - Chromatin,0.993765115737915
1.0,60S Ribosome,60S Ribosome,0.9224540591239929
5.0,Nucleus - Nucleolus,40S Ribosome,0.6271268725395203
1.0,Plasma membrane,Plasma membrane,0.9874710440635681
5.0,Mitochondrion,Mitochondrion,0.9807435870170593
2.0,Nucleus - Chromatin,Nucleus - Chromatin,0.8824928402900696
4.0,Mitochondrion,Mitochondrion,0.9889417290687561
2.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9703407287597656
2.0,Plasma membrane,Lysosome,0.8043093681335449
1.0,Mitochondrion,Mitochondrion,0.965146005153656
5.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9878556132316589
5.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9822836518287659
5.0,60S Ribosome,60S Ribosome,0.973954439163208
5.0,Plasma membrane,Plasma membrane,0.9764702916145325
3.0,Cytosol,Proteasome,0.5676189661026001
3.0,Mitochondrion,Mitochondrion,0.9960303902626038
4.0,40S Ribosome,40S Ribosome,0.5987861752510071
2.0,Mitochondrion,Mitochondrion,0.9999001026153564
3.0,Mitochondrion,Mitochondrion,0.9968529343605042
1.0,Mitochondrion,Mitochondrion,0.9810975790023804
3.0,Mitochondrion,Mitochondrion,0.994322657585144
4.0,Plasma membrane,Plasma membrane,0.9690076112747192
2.0,Lysosome,Lysosome,0.947973906993866
3.0,Mitochondrion,Mitochondrion,0.9924800395965576
4.0,Endoplasmic reticulum,Plasma membrane,0.6565672755241394
3.0,60S Ribosome,60S Ribosome,0.756142258644104
5.0,Plasma membrane,Plasma membrane,0.9504434466362
4.0,Mitochondrion,Mitochondrion,0.9944943785667419
1.0,60S Ribosome,60S Ribosome,0.9568374156951904
5.0,40S Ribosome,40S Ribosome,0.8107179999351501
2.0,60S Ribosome,60S Ribosome,0.9949435591697693
3.0,40S Ribosome,40S Ribosome,0.9335601329803467
5.0,Plasma membrane,Plasma membrane,0.356174498796463
1.0,Mitochondrion,Mitochondrion,0.9465094208717346
3.0,Mitochondrion,Mitochondrion,0.9783746600151062
2.0,Nucleus - Chromatin,Nucleus - Chromatin,0.9946281313896179
5.0,Cytosol,Cytosol,0.6501259803771973
5.0,Endoplasmic reticulum,Endoplasmic reticulum,0.96622633934021
2.0,60S Ribosome,60S Ribosome,0.9955079555511475
5.0,Mitochondrion,Mitochondrion,0.9895609617233276
4.0,Mitochondrion,Mitochondrion,0.9962950348854065
5.0,Mitochondrion,Mitochondrion,0.9937976002693176
2.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9995182752609253
2.0,Mitochondrion,Mitochondrion,0.9996253252029419
2.0,Plasma membrane,Plasma membrane,0.9910129904747009
4.0,Mitochondrion,Mitochondrion,0.9811785817146301
3.0,Mitochondrion,Mitochondrion,0.9985906481742859
