cv_index,true_label,pred_label,pred_prob
2.0,Mitochondrion,Mitochondrion,0.9045150279998779
3.0,Mitochondrion,Mitochondrion,0.9918163418769836
1.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9591957330703735
1.0,Mitochondrion,Mitochondrion,0.8585079908370972
3.0,Mitochondrion,Mitochondrion,0.9939572811126709
2.0,Cytosol,Cytosol,0.5858943462371826
5.0,Mitochondrion,Cytosol,0.73740553855896
1.0,Mitochondrion,Mitochondrion,0.8697450160980225
1.0,Plasma membrane,Plasma membrane,0.7897747159004211
5.0,Endoplasmic reticulum,Endoplasmic reticulum,0.993671178817749
5.0,Mitochondrion,Mitochondrion,0.9738102555274963
5.0,60S Ribosome,60S Ribosome,0.9235418438911438
4.0,Plasma membrane,Plasma membrane,0.9995995163917542
1.0,Mitochondrion,Mitochondrion,0.8740749359130859
1.0,Cytosol,Cytosol,0.5371475219726562
3.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9833235144615173
3.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9783258438110352
5.0,Mitochondrion,Mitochondrion,0.9854954481124878
2.0,Mitochondrion,Mitochondrion,0.8718510270118713
3.0,Plasma membrane,Plasma membrane,0.9816567301750183
1.0,40S Ribosome,40S Ribosome,0.7222951054573059
3.0,Cytosol,Proteasome,0.711991012096405
2.0,Cytosol,Cytosol,0.5892274379730225
1.0,Nucleus - Nucleolus,Nucleus - Nucleolus,0.44386786222457886
5.0,Plasma membrane,Plasma membrane,0.9135744571685791
5.0,40S Ribosome,40S Ribosome,0.6179461479187012
4.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9959518909454346
1.0,Mitochondrion,Mitochondrion,0.886218249797821
2.0,Plasma membrane,Plasma membrane,0.8819596171379089
4.0,Mitochondrion,Mitochondrion,0.9996585845947266
3.0,Plasma membrane,Plasma membrane,0.9840738773345947
2.0,60S Ribosome,60S Ribosome,0.741726279258728
4.0,Mitochondrion,Mitochondrion,0.9995757937431335
4.0,60S Ribosome,60S Ribosome,0.976504921913147
2.0,Cytosol,Proteasome,0.5377713441848755
3.0,Plasma membrane,Plasma membrane,0.946809709072113
2.0,Endoplasmic reticulum,Endoplasmic reticulum,0.7382426261901855
4.0,60S Ribosome,40S Ribosome,0.9541724324226379
1.0,40S Ribosome,40S Ribosome,0.7968095541000366
5.0,Cytosol,Proteasome,0.7771549820899963
5.0,Mitochondrion,Mitochondrion,0.986832857131958
5.0,40S Ribosome,40S Ribosome,0.8895783424377441
2.0,40S Ribosome,Nucleus - Nucleolus,0.6202613711357117
4.0,Cytosol,Cytosol,0.8642745614051819
3.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9309474229812622
2.0,Plasma membrane,Plasma membrane,0.874825119972229
4.0,Mitochondrion,Mitochondrion,0.9993318915367126
5.0,Mitochondrion,Mitochondrion,0.9582130312919617
5.0,Nucleus - Chromatin,Nucleus - Chromatin,0.9109549522399902
1.0,Mitochondrion,Mitochondrion,0.8404074311256409
1.0,Mitochondrion,Mitochondrion,0.8628612756729126
5.0,Mitochondrion,Mitochondrion,0.8767845630645752
2.0,Mitochondrion,Mitochondrion,0.8846704363822937
1.0,Plasma membrane,Plasma membrane,0.866550087928772
2.0,Cytosol,Cytosol,0.620525062084198
2.0,Mitochondrion,Mitochondrion,0.8586624264717102
4.0,Cytosol,Cytosol,0.932925820350647
5.0,Lysosome,Lysosome,0.9331296682357788
1.0,60S Ribosome,60S Ribosome,0.43662917613983154
5.0,Nucleus - Chromatin,Nucleus - Chromatin,0.9755504131317139
1.0,60S Ribosome,60S Ribosome,0.7303417325019836
5.0,Nucleus - Nucleolus,40S Ribosome,0.7650295495986938
1.0,Plasma membrane,Plasma membrane,0.8181411027908325
5.0,Mitochondrion,Mitochondrion,0.9406874775886536
2.0,Nucleus - Chromatin,Nucleus - Chromatin,0.5891680121421814
4.0,Mitochondrion,Mitochondrion,0.9983139038085938
2.0,Endoplasmic reticulum,Endoplasmic reticulum,0.6887784600257874
2.0,Plasma membrane,Lysosome,0.5713258981704712
1.0,Mitochondrion,Mitochondrion,0.7636332511901855
5.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9919071197509766
5.0,Endoplasmic reticulum,Endoplasmic reticulum,0.9813685417175293
5.0,60S Ribosome,60S Ribosome,0.9603318572044373
