cv_index,true_label,pred_label,pred_prob
5.0,RIBOSOME,RIBOSOME,0.9941152334213257
3.0,RIBOSOME,RIBOSOME,0.9977830052375793
4.0,RIBOSOME,RIBOSOME,0.9990572333335876
4.0,ER,ER,0.9819855690002441
4.0,NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9998761415481567
3.0,MITOCHONDRION,MITOCHONDRION,0.9995133876800537
4.0,RIBOSOME,RIBOSOME,0.9984908103942871
5.0,ER,ER,0.9898645281791687
1.0,PROTEASOME,PROTEASOME,0.9936655163764954
2.0,RIBOSOME,RIBOSOME,0.9984739422798157
1.0,RIBOSOME,RIBOSOME,0.9387972950935364
1.0,CYTOSOL,CYTOSOL,0.9855883717536926
3.0,RIBOSOME,RIBOSOME,0.9984419941902161
4.0,MITOCHONDRION,MITOCHONDRION,0.9976454377174377
2.0,ER,ER,0.8529295325279236
4.0,RIBOSOME,RIBOSOME,0.9977015852928162
2.0,NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9934588074684143
3.0,RIBOSOME,RIBOSOME,0.998871386051178
1.0,CYTOSOL,CYTOSOL,0.9848819375038147
1.0,ER,ER,0.38520509004592896
3.0,PROTEASOME,PROTEASOME,0.9999746084213257
2.0,ER,ER,0.9319624304771423
3.0,RIBOSOME,RIBOSOME,0.9986063838005066
5.0,MITOCHONDRION,MITOCHONDRION,0.997952938079834
3.0,PROTEASOME,PROTEASOME,0.9999572038650513
4.0,PROTEASOME,PROTEASOME,0.994458794593811
2.0,ER,ER,0.994433581829071
1.0,PROTEASOME,PROTEASOME,0.994355320930481
1.0,RIBOSOME,RIBOSOME,0.9447306990623474
1.0,RIBOSOME,RIBOSOME,0.9446995258331299
3.0,RIBOSOME,RIBOSOME,0.9993645548820496
5.0,RIBOSOME,RIBOSOME,0.9964678287506104
1.0,MITOCHONDRION,MITOCHONDRION,0.9095112681388855
1.0,ER,ER,0.33358800411224365
3.0,RIBOSOME,RIBOSOME,0.9991907477378845
4.0,CYTOSOL,CYTOSOL,0.9999485015869141
1.0,ER,ER,0.3653879463672638
4.0,MITOCHONDRION,MITOCHONDRION,0.9997914433479309
2.0,PROTEASOME,PROTEASOME,0.9958826303482056
4.0,RIBOSOME,RIBOSOME,0.981204628944397
1.0,PM,PM,0.8770156502723694
3.0,RIBOSOME,RIBOSOME,0.9990147352218628
5.0,PROTEASOME,PROTEASOME,0.9976779818534851
4.0,ER,ER,0.9687932133674622
3.0,ER,ER,0.9752904772758484
1.0,RIBOSOME,RIBOSOME,0.9402792453765869
2.0,RIBOSOME,RIBOSOME,0.9985160231590271
4.0,PROTEASOME,PROTEASOME,0.9975111484527588
3.0,ER,ER,0.9780991673469543
3.0,PM,PM,0.9932858347892761
4.0,ER,ER,0.9782775640487671
4.0,RIBOSOME,RIBOSOME,0.9971215128898621
1.0,ER,ER,0.35846707224845886
5.0,RIBOSOME,RIBOSOME,0.9956111311912537
3.0,PROTEASOME,PROTEASOME,0.9999761581420898
3.0,MITOCHONDRION,MITOCHONDRION,0.9997379183769226
2.0,RIBOSOME,RIBOSOME,0.9983630776405334
3.0,GA,GA,0.9942610263824463
5.0,MITOCHONDRION,MITOCHONDRION,0.9994543194770813
4.0,ER,ER,0.9799382090568542
5.0,RIBOSOME,RIBOSOME,0.9957347512245178
5.0,MITOCHONDRION,MITOCHONDRION,0.9997881054878235
4.0,RIBOSOME,RIBOSOME,0.9981332421302795
2.0,RIBOSOME,RIBOSOME,0.9964969754219055
5.0,PM,PM,0.8755211234092712
1.0,RIBOSOME,RIBOSOME,0.9464571475982666
1.0,CYTOSOL,CYTOSOL,0.9856358766555786
3.0,RIBOSOME,RIBOSOME,0.9984070658683777
1.0,MITOCHONDRION,MITOCHONDRION,0.7390690445899963
4.0,ER,ER,0.9791746735572815
2.0,RIBOSOME,RIBOSOME,0.9991594552993774
4.0,CYTOSOL,CYTOSOL,0.9997655749320984
5.0,RIBOSOME,RIBOSOME,0.9953025579452515
