true_label,pred_label,pred_prob
RIBOSOME,RIBOSOME,0.9877364784479141
RIBOSOME,RIBOSOME,0.9864975810050964
RIBOSOME,RIBOSOME,0.988227054476738
RIBOSOME,RIBOSOME,0.976783886551857
RIBOSOME,RIBOSOME,0.9845735877752304
RIBOSOME,RIBOSOME,0.985540971159935
RIBOSOME,RIBOSOME,0.9897152036428452
RIBOSOME,RIBOSOME,0.9864345639944077
RIBOSOME,RIBOSOME,0.9858196824789047
RIBOSOME,RIBOSOME,0.9846439212560654
RIBOSOME,RIBOSOME,0.9880420118570328
RIBOSOME,RIBOSOME,0.9877868443727493
RIBOSOME,RIBOSOME,0.9817071408033371
RIBOSOME,RIBOSOME,0.9876880049705505
ER,ER,0.8577107340097427
ER,ER,0.8707106187939644
ER,ER,0.6246277689933777
ER,ER,0.8480864316225052
ER,ER,0.5995539836585522
ER,ER,0.8253133967518806
ER,ER,0.8661197051405907
ER,ER,0.8465806022286415
ER,ER,0.8512407690286636
ER,ER,0.8589908853173256
ER,ER,0.5653313249349594
ER,ER,0.8415145128965378
ER,ER,0.8092986196279526
ER,ER,0.8502602949738503
ER,ER,0.8585608527064323
ER,ER,0.8508528396487236
ER,ER,0.8649900108575821
PM,PM,0.9734707176685333
PM,PM,0.9726380407810211
PM,PM,0.979767307639122
PM,PM,0.9640620648860931
PM,PM,0.9848266690969467
PM,PM,0.9840930998325348
PM,PM,0.9744382053613663
PM,PM,0.9710148721933365
PM,PM,0.9744901210069656
PM,PM,0.9798765182495117
PM,PM,0.9630563408136368
PM,PM,0.9717359393835068
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9834715873003006
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9525595456361771
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9859382212162018
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9865232706069946
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9932589083909988
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9977916777133942
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9885310679674149
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9852139353752136
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9976826310157776
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9971935003995895
NUCLEUS/CHROMATIN,NUCLEUS/CHROMATIN,0.9199303835630417
