data,method,f1score,precision,recall,accuracy
LOPITDC2019,DeepSP,0.9927950310559005,0.9944444444444445,0.9916666666666666,0.9916666666666667
LOPITDC2019,DeepSP,0.9597226366638132,0.9721396250808017,0.9555211558307534,0.975
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9771428571428572,0.9944444444444445,0.9666666666666666,0.9916666666666667
LOPITDC2019,DeepSP,0.9771428571428572,0.9944444444444445,0.9666666666666666,0.9916666666666667
LOPITDC2019,DeepSP,0.9927950310559005,0.9944444444444445,0.9916666666666666,0.9916666666666667
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9630952380952381,0.9805555555555555,0.9524509803921568,0.975
LOPITDC2019,DeepSP,0.992969696969697,0.9923076923076923,0.9941176470588236,0.9916666666666667
LOPITDC2019,DeepSP,0.9896049896049895,0.9857142857142858,0.9947368421052631,0.9916666666666667
LOPITDC2019,DeepSP,0.9524059724059724,0.9707142857142858,0.9447368421052632,0.9666666666666667
LOPITDC2019,DeepSP,0.9825746865746865,0.9780219780219781,0.9888544891640867,0.9833333333333333
LOPITDC2019,DeepSP,0.970096618357488,0.9894736842105264,0.9583333333333333,0.9833333333333333
LOPITDC2019,DeepSP,0.9771428571428572,0.9944444444444445,0.9666666666666666,0.9916666666666667
LOPITDC2019,DeepSP,0.9927950310559005,0.9944444444444445,0.9916666666666666,0.9916666666666667
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9927950310559005,0.9944444444444445,0.9916666666666666,0.9916666666666667
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.992969696969697,0.9923076923076923,0.9941176470588236,0.9916666666666667
LOPITDC2019,DeepSP,0.9722889722889724,0.9607142857142857,0.9888544891640867,0.9833333333333333
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9824000206608903,0.9801587301587302,0.9864035087719298,0.9833333333333333
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9771428571428572,0.9944444444444445,0.9666666666666666,0.9916666666666667
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9684353741496599,0.9819444444444445,0.9626666666666667,0.9833333333333333
LOPITDC2019,DeepSP,0.9896049896049895,0.9857142857142858,0.9947368421052631,0.9916666666666667
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9927950310559005,0.9944444444444445,0.9916666666666666,0.9916666666666667
LOPITDC2019,DeepSP,0.9912925170068029,0.9875,0.9960000000000001,0.9916666666666667
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9771428571428572,0.9944444444444445,0.9666666666666666,0.9916666666666667
LOPITDC2019,DeepSP,0.9896049896049895,0.9857142857142858,0.9947368421052631,0.9916666666666667
LOPITDC2019,DeepSP,0.9896049896049895,0.9857142857142858,0.9947368421052631,0.9916666666666667
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9701176470588235,0.9864253393665159,0.9607843137254901,0.9833333333333333
LOPITDC2019,DeepSP,0.9912925170068029,0.9875,0.9960000000000001,0.9916666666666667
LOPITDC2019,DeepSP,0.9825746865746865,0.9780219780219781,0.9888544891640867,0.9833333333333333
LOPITDC2019,DeepSP,0.9701176470588235,0.9864253393665159,0.9607843137254901,0.9833333333333333
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9801587301587302,0.975,0.9894736842105264,0.9833333333333333
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9628009828009828,0.985,0.95,0.975
LOPITDC2019,DeepSP,0.9857843137254901,0.9857843137254901,0.9857843137254901,0.9833333333333333
LOPITDC2019,DeepSP,0.970096618357488,0.9894736842105264,0.9583333333333333,0.9833333333333333
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,1.0,1.0,1.0,1.0
LOPITDC2019,DeepSP,0.9896049896049895,0.9857142857142858,0.9947368421052631,0.9916666666666667
