"data","method","f1score","precision","recall","accuracy"
"LOPITDC2019","NB",0.989450549450549,0.994444444444444,0.985714285714286,0.991666666666667
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",0.961389135364291,0.976973684210526,0.954333333333333,0.975
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",0.956743066457352,0.974252136752137,0.948380952380952,0.975
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",0.959851758112628,0.985,0.944047619047619,0.975
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",0.937544065804935,0.985,0.925,0.975
"LOPITDC2019","NB",0.98578431372549,0.98578431372549,0.98578431372549,0.983333333333333
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",0.986057692307692,0.985714285714286,0.988235294117647,0.983333333333333
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",0.962800982800983,0.985,0.95,0.975
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",0.970201607915894,0.965865384615385,0.975901960784314,0.966666666666667
"LOPITDC2019","NB",0.95269046742731,0.980952380952381,0.935714285714286,0.966666666666667
"LOPITDC2019","NB",0.962800982800983,0.985,0.95,0.975
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333
"LOPITDC2019","NB",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333
"LOPITDC2019","NB",1,1,1,1
"LOPITDC2019","NB",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","NB",0.991292517006803,0.9875,0.996,0.991666666666667
