"data","method","f1score","precision","recall","accuracy"
"LOPITDC2019","RF",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","RF",0.944444444444444,0.989473684210526,0.933333333333333,0.983333333333333
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","RF",0.970117647058824,0.986425339366516,0.96078431372549,0.983333333333333
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.970117647058824,0.986425339366516,0.96078431372549,0.983333333333333
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",0.985353535353535,0.989473684210526,0.983333333333333,0.983333333333333
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","RF",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","RF",0.962800982800983,0.985,0.95,0.975
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.970117647058824,0.986425339366516,0.96078431372549,0.983333333333333
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667
"LOPITDC2019","RF",0.963095238095238,0.980555555555556,0.952450980392157,0.975
"LOPITDC2019","RF",0.991292517006803,0.9875,0.996,0.991666666666667
"LOPITDC2019","RF",0.970096618357488,0.989473684210526,0.958333333333333,0.983333333333333
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.96843537414966,0.981944444444444,0.962666666666667,0.983333333333333
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667
"LOPITDC2019","RF",0.992969696969697,0.992307692307692,0.994117647058824,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.977142857142857,0.994444444444444,0.966666666666667,0.991666666666667
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.992795031055901,0.994444444444444,0.991666666666667,0.991666666666667
"LOPITDC2019","RF",1,1,1,1
"LOPITDC2019","RF",0.946339869281046,0.974117647058824,0.932212885154062,0.966666666666667
"LOPITDC2019","RF",0.9842622139765,0.979807692307692,0.990117647058824,0.983333333333333
