cv_index,true_label,pred_label,pred_prob
4.0,Plasma membrane,Plasma membrane,0.995566189289093
5.0,Plasma membrane,Plasma membrane,0.8384745121002197
4.0,Plasma membrane,Plasma membrane,0.9509222507476807
1.0,Plasma membrane,Actin binding proteins,0.8280518054962158
2.0,Plasma membrane,Plasma membrane,0.9810357093811035
3.0,Plasma membrane,Plasma membrane,0.9256336688995361
4.0,Plasma membrane,Plasma membrane,0.9270370602607727
2.0,Plasma membrane,Plasma membrane,0.992641270160675
5.0,Plasma membrane,Plasma membrane,0.9683204889297485
4.0,Plasma membrane,Plasma membrane,0.9992942810058594
4.0,Plasma membrane,Plasma membrane,0.994115948677063
3.0,Plasma membrane,Plasma membrane,0.9988235831260681
5.0,Plasma membrane,Plasma membrane,0.9988148212432861
1.0,Plasma membrane,Plasma membrane,0.996131420135498
5.0,Plasma membrane,Plasma membrane,0.995051920413971
3.0,Plasma membrane,Plasma membrane,0.9769524335861206
2.0,Plasma membrane,Plasma membrane,0.989452600479126
3.0,Plasma membrane,Golgi,0.645970344543457
2.0,Plasma membrane,Plasma membrane,0.9993088245391846
5.0,Plasma membrane,Plasma membrane,0.9673793911933899
1.0,Plasma membrane,Plasma membrane,0.9864727258682251
2.0,Plasma membrane,Plasma membrane,0.9964749217033386
1.0,Plasma membrane,Plasma membrane,0.9155505299568176
2.0,Plasma membrane,Plasma membrane,0.9927740097045898
4.0,Plasma membrane,Plasma membrane,0.9628488421440125
2.0,Plasma membrane,Plasma membrane,0.9944074153900146
5.0,Plasma membrane,Plasma membrane,0.9480876922607422
1.0,Plasma membrane,Plasma membrane,0.990190863609314
4.0,Plasma membrane,Plasma membrane,0.9981448650360107
1.0,Plasma membrane,Plasma membrane,0.9951298236846924
3.0,Plasma membrane,Plasma membrane,0.9896506071090698
2.0,Plasma membrane,Plasma membrane,0.669678807258606
4.0,Plasma membrane,Plasma membrane,0.9979344606399536
3.0,Plasma membrane,Plasma membrane,0.8462393283843994
1.0,Plasma membrane,Plasma membrane,0.9963114857673645
3.0,Plasma membrane,Plasma membrane,0.9983710646629333
3.0,Plasma membrane,Plasma membrane,0.9980108141899109
3.0,Plasma membrane,Plasma membrane,0.982373833656311
2.0,Plasma membrane,Plasma membrane,0.9830118417739868
5.0,Plasma membrane,Endosome,0.816974937915802
5.0,Plasma membrane,Plasma membrane,0.9856443405151367
1.0,Plasma membrane,Plasma membrane,0.9967232346534729
1.0,Plasma membrane,Plasma membrane,0.47985702753067017
5.0,Peroxisome,Peroxisome,0.7515725493431091
1.0,Peroxisome,ER,0.9333064556121826
4.0,Peroxisome,Peroxisome,0.63885098695755
5.0,Peroxisome,Peroxisome,0.6207931041717529
3.0,Peroxisome,Peroxisome,0.9050353765487671
4.0,Peroxisome,Peroxisome,0.9682424068450928
2.0,Peroxisome,Peroxisome,0.9611802101135254
1.0,Peroxisome,Peroxisome,0.8324081301689148
3.0,Nuclear pore complex,Nuclear pore complex,0.7656041383743286
4.0,Nuclear pore complex,Nuclear pore complex,0.929699718952179
2.0,Nuclear pore complex,Nuclear pore complex,0.9731897115707397
5.0,Nuclear pore complex,ER,0.9640055894851685
4.0,Nuclear pore complex,Nuclear pore complex,0.6381722688674927
1.0,Nuclear pore complex,Nuclear pore complex,0.9096891283988953
2.0,Nuclear pore complex,Nuclear pore complex,0.9046196937561035
3.0,Nuclear pore complex,Nuclear pore complex,0.505987286567688
3.0,Mitochondrion,Mitochondrion,0.9584004878997803
5.0,Mitochondrion,Mitochondrion,0.9277536869049072
2.0,Mitochondrion,Mitochondrion,0.6470364332199097
1.0,Mitochondrion,Mitochondrion,0.9979321956634521
2.0,Mitochondrion,Mitochondrion,0.9253255128860474
3.0,Mitochondrion,Mitochondrion,0.9616960287094116
1.0,Mitochondrion,Mitochondrion,0.9360020160675049
3.0,Mitochondrion,Mitochondrion,0.9119832515716553
4.0,Mitochondrion,Mitochondrion,0.7345978021621704
5.0,Mitochondrion,Mitochondrion,0.9131051898002625
1.0,Mitochondrion,Mitochondrion,0.8427168130874634
4.0,Mitochondrion,Mitochondrion,0.9996299743652344
2.0,Mitochondrion,Mitochondrion,0.8978257775306702
4.0,Mitochondrion,Mitochondrion,0.9956343770027161
5.0,Mitochondrion,Mitochondrion,0.9408242106437683
3.0,Mitochondrion,Mitochondrion,0.9507178664207458
3.0,Mitochondrion,Mitochondrion,0.9822043776512146
4.0,Mitochondrion,Mitochondrion,0.9998687505722046
2.0,Mitochondrion,Mitochondrion,0.9433799386024475
5.0,Mitochondrion,Mitochondrion,0.9214873313903809
2.0,Mitochondrion,Mitochondrion,0.9867245554924011
3.0,Mitochondrion,Mitochondrion,0.919025182723999
3.0,Mitochondrion,Mitochondrion,0.8794165849685669
1.0,Mitochondrion,Mitochondrion,0.8774294257164001
2.0,Mitochondrion,Mitochondrion,0.7781318426132202
2.0,Mitochondrion,Mitochondrion,0.5969446301460266
2.0,Mitochondrion,Mitochondrion,0.5436291098594666
3.0,Mitochondrion,Mitochondrion,0.7229164838790894
5.0,Mitochondrion,Mitochondrion,0.9372194409370422
5.0,Mitochondrion,Mitochondrion,0.9834716320037842
2.0,Mitochondrion,Mitochondrion,0.8122329115867615
1.0,Mitochondrion,Mitochondrion,0.8089457154273987
3.0,Mitochondrion,Mitochondrion,0.879297137260437
4.0,Mitochondrion,Mitochondrion,0.9543144106864929
1.0,Mitochondrion,Mitochondrion,0.8072123527526855
5.0,Mitochondrion,Mitochondrion,0.935419499874115
2.0,Mitochondrion,Mitochondrion,0.7239747047424316
1.0,Mitochondrion,Mitochondrion,0.7081292271614075
3.0,Mitochondrion,Mitochondrion,0.709302544593811
5.0,Mitochondrion,Mitochondrion,0.9201537370681763
2.0,Mitochondrion,Mitochondrion,0.7246036529541016
1.0,Mitochondrion,Mitochondrion,0.8559474945068359
4.0,Mitochondrion,Mitochondrion,0.8957400321960449
3.0,Mitochondrion,Mitochondrion,0.8418052792549133
5.0,Mitochondrion,Mitochondrion,0.9431113004684448
4.0,Mitochondrion,Mitochondrion,0.9258428812026978
5.0,Mitochondrion,Mitochondrion,0.9947052597999573
2.0,Mitochondrion,Mitochondrion,0.8814153671264648
5.0,Mitochondrion,Mitochondrion,0.9484769701957703
4.0,Mitochondrion,Mitochondrion,0.9607944488525391
3.0,Mitochondrion,Mitochondrion,0.9572545289993286
5.0,Mitochondrion,Mitochondrion,0.9452833533287048
1.0,Mitochondrion,Mitochondrion,0.861975908279419
4.0,Mitochondrion,Mitochondrion,0.5385454297065735
2.0,Mitochondrion,Mitochondrion,0.89033043384552
4.0,Mitochondrion,Mitochondrion,0.9706655144691467
3.0,Mitochondrion,Mitochondrion,0.8420383930206299
5.0,Mitochondrion,Mitochondrion,0.9594204425811768
1.0,Mitochondrion,Mitochondrion,0.9531306028366089
3.0,Mitochondrion,Mitochondrion,0.8079599738121033
4.0,Mitochondrion,Mitochondrion,0.6921132206916809
4.0,Mitochondrion,Mitochondrion,0.7327870726585388
2.0,Mitochondrion,Mitochondrion,0.7496527433395386
3.0,Mitochondrion,Mitochondrion,0.9797646999359131
1.0,Mitochondrion,Mitochondrion,0.855002760887146
3.0,Mitochondrion,Mitochondrion,0.8995800018310547
1.0,Mitochondrion,Mitochondrion,0.8647347092628479
4.0,Mitochondrion,Mitochondrion,0.9784623384475708
4.0,Mitochondrion,Mitochondrion,0.6132388114929199
4.0,Mitochondrion,Mitochondrion,0.8814382553100586
2.0,Mitochondrion,Mitochondrion,0.772723376750946
2.0,Mitochondrion,Mitochondrion,0.7992609143257141
3.0,Mitochondrion,Mitochondrion,0.8901676535606384
5.0,Mitochondrion,Mitochondrion,0.9714561104774475
4.0,Mitochondrion,Mitochondrion,0.9610790014266968
3.0,Mitochondrion,Mitochondrion,0.6752581000328064
5.0,Mitochondrion,Mitochondrion,0.9210050702095032
5.0,Mitochondrion,Mitochondrion,0.9661239385604858
3.0,Mitochondrion,Mitochondrion,0.9978684186935425
2.0,Mitochondrion,Mitochondrion,0.805258572101593
2.0,Mitochondrion,Mitochondrion,0.5620462894439697
1.0,Mitochondrion,Mitochondrion,0.9923031330108643
5.0,Mitochondrion,Mitochondrion,0.9389464855194092
1.0,Mitochondrion,Mitochondrion,0.9128428101539612
5.0,Mitochondrion,Mitochondrion,0.8693344593048096
1.0,Mitochondrion,Mitochondrion,0.8375967144966125
1.0,Mitochondrion,Mitochondrion,0.6016635894775391
4.0,Mitochondrion,Mitochondrion,0.7459680438041687
3.0,Mitochondrion,Mitochondrion,0.9430433511734009
4.0,Mitochondrion,Mitochondrion,0.8741797804832458
1.0,Mitochondrion,Mitochondrion,0.9370744228363037
2.0,Mitochondrion,Mitochondrion,0.9175798892974854
4.0,Mitochondrion,Mitochondrion,0.9887517094612122
1.0,Mitochondrion,Mitochondrion,0.8660222291946411
3.0,Mitochondrion,Mitochondrion,0.9125430583953857
4.0,Mitochondrion,Mitochondrion,0.9987190961837769
4.0,Mitochondrion,Mitochondrion,0.9739536046981812
5.0,Mitochondrion,Mitochondrion,0.8939889669418335
1.0,Mitochondrion,Mitochondrion,0.8340499997138977
3.0,Mitochondrion,Mitochondrion,0.9844146966934204
5.0,Mitochondrion,Mitochondrion,0.9176667332649231
1.0,Mitochondrion,Mitochondrion,0.8938532471656799
1.0,Mitochondrion,Mitochondrion,0.8610965609550476
4.0,Mitochondrion,Mitochondrion,0.9157881736755371
4.0,Mitochondrion,Mitochondrion,0.959808886051178
2.0,Mitochondrion,Mitochondrion,0.9340359568595886
1.0,Mitochondrion,Mitochondrion,0.8799854516983032
5.0,Mitochondrion,Mitochondrion,0.951046884059906
2.0,Mitochondrion,Mitochondrion,0.6886778473854065
3.0,Mitochondrion,Mitochondrion,0.9907490611076355
2.0,Mitochondrion,Mitochondrion,0.608822762966156
5.0,Mitochondrion,Mitochondrion,0.9407697916030884
3.0,Mitochondrion,Mitochondrion,0.91595458984375
1.0,Mitochondrion,Mitochondrion,0.5557817816734314
2.0,Mitochondrion,Mitochondrion,0.8840877413749695
3.0,Mitochondrion,Mitochondrion,0.9200004935264587
2.0,Mitochondrion,Mitochondrion,0.7272598743438721
