Majority protein IDs,R1_C2_03,R1_C2_06,R1_C2_12,R1_C2_24,R1_C2_80,R1_C6_03,R1_C6_06,R1_C6_12,R1_C6_24,R1_C6_80,R1_Con_03,R1_Con_06,R1_Con_12,R1_Con_24,R1_Con_80,markers
Q92887,0.043199419,0.035763934,0.040021235,0.062315205,0.128565822,0.052678604,0.038276084,0.041278395,0.075847593,0.127626751,0.039185842,0.046689722,0.042398223,0.074468842,0.151684329,Plasma membrane
Q13443;Q13443-2,0.062716359,0.046912269,0.053224274,0.072961741,0.108720317,0.063544195,0.04314314,0.045118074,0.066616095,0.092889182,0.057867414,0.055451187,0.047425462,0.069742744,0.113667546,Plasma membrane
Q9H6X2;Q9H6X2-5;Q9H6X2-4;Q9H6X2-6;Q9H6X2-2;Q9H6X2-3,0.056459792,0.036672397,0.046883702,0.073342542,0.131435422,0.053404228,0.031707247,0.037735594,0.063656642,0.119350572,0.050255184,0.039622092,0.043462101,0.074480073,0.141532411,Plasma membrane
O95782;O95782-2,0.025418533,0.036402216,0.050631635,0.083537802,0.121755594,0.024478357,0.038859999,0.049641488,0.091949417,0.127048712,0.020779652,0.053227298,0.066238004,0.096377314,0.113653977,Plasma membrane
O94973;O94973-2;O94973-3,0.026985125,0.038113177,0.048842477,0.088048428,0.121866467,0.023681647,0.039167024,0.050171654,0.095529791,0.124776414,0.021954667,0.053048371,0.067223085,0.095634226,0.104957447,Plasma membrane
Q96CW1;Q96CW1-2,0.026272502,0.038123517,0.052553694,0.090623137,0.12115594,0.026180285,0.039219009,0.049932045,0.087277274,0.125172906,0.022262778,0.051264596,0.066941385,0.090845229,0.112175704,Plasma membrane
P05023;P05023-4;P05023-3;P05023-2,0.019487679,0.020803319,0.032669404,0.078919402,0.194832473,0.019409171,0.017951394,0.027057041,0.068678557,0.18158427,0.017503456,0.023736601,0.031380672,0.069894163,0.196092397,Plasma membrane
P05026;P05026-2,0.021644863,0.020422874,0.030978053,0.07989737,0.206079776,0.021144319,0.016780773,0.024747257,0.076718486,0.168493071,0.021180727,0.02286165,0.029884566,0.071303064,0.187863151,Plasma membrane
P54709,0.020136541,0.020602776,0.032184979,0.080812046,0.190965255,0.019266465,0.017355746,0.029056154,0.076086984,0.176981328,0.020324352,0.023071598,0.031139007,0.073638229,0.188378542,Plasma membrane
P20020;P20020-6;P20020-3;P20020-4;P20020-5;P20020-2,0.015620643,0.019951894,0.035015715,0.076827224,0.204113079,0.016202814,0.017996323,0.0279764,0.065995537,0.187123593,0.015206516,0.02277474,0.031352936,0.072287201,0.191555385,Plasma membrane
P80723;P80723-2,0.044822267,0.042317916,0.054272625,0.086138208,0.122592763,0.04437623,0.038787038,0.048561255,0.079000458,0.107364393,0.047432427,0.043751896,0.048786904,0.076761507,0.115034113,Plasma membrane
P35613;P35613-2;P35613-4;P35613-3,0.020191484,0.023509299,0.036967145,0.080953197,0.185371236,0.020042619,0.021336603,0.031033743,0.069367285,0.169750462,0.022190391,0.025107751,0.03238431,0.07099066,0.190803816,Plasma membrane
Q6YHK3;Q6YHK3-4;Q6YHK3-2,0.025216621,0.027469406,0.038841827,0.07461375,0.186964753,0.025268266,0.02362722,0.030217828,0.065850027,0.168036073,0.028321357,0.029886736,0.034773843,0.066258387,0.174653905,Plasma membrane
P16070;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070-18;P16070-12;P16070-14;P16070-13;P16070-8,0.016958767,0.023561481,0.033445477,0.067757812,0.188369576,0.016716351,0.020656141,0.030522496,0.068931871,0.19734839,0.021464599,0.02677159,0.031033485,0.065716895,0.190745068,Plasma membrane
P08174;P08174-2;P08174-4;P08174-3;P08174-5;P08174-6;P08174-7,0.028280896,0.033080511,0.043028077,0.077380382,0.174873708,0.026281022,0.025694888,0.032790503,0.062688266,0.157436507,0.031585602,0.032636729,0.035326749,0.064719547,0.174196614,Plasma membrane
