"data","method","f1score","precision","recall","accuracy"
"hirst2018","KNN",0.764768564768565,0.856914600550964,0.756739267676768,0.884615384615385
"hirst2018","KNN",0.681354628151852,0.746037248192421,0.670824314574315,0.846153846153846
"hirst2018","KNN",0.692543940723921,0.797428424857763,0.684054834054834,0.871794871794872
"hirst2018","KNN",0.789313096287182,0.854995702018108,0.78739243803582,0.891025641025641
"hirst2018","KNN",0.672016148103105,0.78595281219638,0.669545905483406,0.858974358974359
"hirst2018","KNN",0.6367895173995,0.697528804397908,0.633944354256854,0.807692307692308
"hirst2018","KNN",0.700297594446531,0.765239197530864,0.719647764408794,0.846153846153846
"hirst2018","KNN",0.704732912668614,0.807507493002145,0.706170157456922,0.852564102564103
"hirst2018","KNN",0.729465813315781,0.781043956043956,0.713742334054834,0.865384615384615
"hirst2018","KNN",0.698551336024264,0.768888888888889,0.708963718062983,0.83974358974359
"hirst2018","KNN",0.681969400036627,0.785415037843374,0.679545454545455,0.858974358974359
"hirst2018","KNN",0.784917547344241,0.801704937574503,0.782969399881165,0.903846153846154
"hirst2018","KNN",0.658076670834559,0.803783091908092,0.658723394660895,0.852564102564103
"hirst2018","KNN",0.727867996374558,0.760485633647398,0.732732657456922,0.865384615384615
"hirst2018","KNN",0.815844225501187,0.851722144720866,0.81290491575418,0.897435897435897
"hirst2018","KNN",0.711704889244425,0.721530691530691,0.714968620023767,0.858974358974359
"hirst2018","KNN",0.713353863362834,0.715364805342427,0.721361593879976,0.846153846153846
"hirst2018","KNN",0.684048424523704,0.694359286546787,0.68375946969697,0.865384615384615
"hirst2018","KNN",0.746833863060507,0.774299432451606,0.745020053475936,0.865384615384615
"hirst2018","KNN",0.710688231356387,0.728433048433048,0.716613880400645,0.852564102564103
"hirst2018","KNN",0.776051838719678,0.859066770647653,0.76395493803582,0.871794871794872
"hirst2018","KNN",0.698556736341128,0.789651523444627,0.717008451107716,0.858974358974359
"hirst2018","KNN",0.671148219714462,0.736295364540801,0.687320951107716,0.865384615384615
"hirst2018","KNN",0.739041234986663,0.824565047553553,0.722166518122401,0.871794871794872
"hirst2018","KNN",0.742817631494813,0.79546332219544,0.752479893472541,0.852564102564103
"hirst2018","KNN",0.744575642573745,0.781376262626263,0.749983288770053,0.878205128205128
