"data","method","f1score","precision","recall","accuracy"
"hirst2018","MAP",0.666766474266474,0.85830106401535,0.678731246286393,0.884615384615385
"hirst2018","MAP",0.609245026270424,0.759226107226107,0.621880570409982,0.826923076923077
"hirst2018","MAP",0.718240287262026,0.845179063360882,0.700523088023088,0.871794871794872
"hirst2018","MAP",0.646210454244869,0.801059546514092,0.624867636448519,0.865384615384615
"hirst2018","MAP",0.781110093610094,0.891827308493975,0.751443664587047,0.897435897435897
"hirst2018","MAP",0.627565749241976,0.743083431719795,0.60633541295306,0.83974358974359
"hirst2018","MAP",0.782667507304917,0.858315708573146,0.751743538324421,0.865384615384615
"hirst2018","MAP",0.618549006225207,0.752312904486818,0.617921069943129,0.801282051282051
"hirst2018","MAP",0.669782915414237,0.803721646981835,0.658032531194296,0.83974358974359
"hirst2018","MAP",0.713759971954319,0.801101928374656,0.751694333036245,0.858974358974359
"hirst2018","MAP",0.76640494581671,0.894288472964944,0.750368840718105,0.897435897435897
"hirst2018","MAP",0.727372395972331,0.870555370555371,0.699881164587047,0.884615384615385
"hirst2018","MAP",0.718084023054475,0.828930917567281,0.718763926024955,0.865384615384615
"hirst2018","MAP",0.668124734334141,0.828609744327943,0.67352291295306,0.846153846153846
"hirst2018","MAP",0.588864921538381,0.807133566916176,0.601805078091843,0.83974358974359
"hirst2018","MAP",0.707770118217879,0.858355980783082,0.695657202274849,0.858974358974359
"hirst2018","MAP",0.696423021423021,0.800498434289172,0.684918114973262,0.852564102564103
"hirst2018","MAP",0.840670213783421,0.896969696969697,0.80258745543672,0.897435897435897
"hirst2018","MAP",0.739746433040116,0.879338842975207,0.72363339275104,0.871794871794872
"hirst2018","MAP",0.685275772836043,0.753365234982882,0.680395207325354,0.846153846153846
"hirst2018","MAP",0.781889750034911,0.851316192225283,0.788872177658942,0.884615384615385
"hirst2018","MAP",0.793411591806087,0.93325384704695,0.734066107503607,0.884615384615385
"hirst2018","MAP",0.762932802006029,0.881810781810782,0.760360962566845,0.897435897435897
"hirst2018","MAP",0.742385200691122,0.838994107744108,0.735848638697903,0.865384615384615
"hirst2018","MAP",0.740066938747157,0.860620629370629,0.726350293905441,0.871794871794872
"hirst2018","MAP",0.775562089881367,0.87629007465964,0.746119413674561,0.865384615384615
"hirst2018","MAP",0.763454010510085,0.868279405779406,0.719253458959341,0.878205128205128
"hirst2018","MAP",0.671720992373166,0.85024198024198,0.658387445887446,0.871794871794872
"hirst2018","MAP",0.75414359878415,0.841471861471861,0.751945929887106,0.852564102564103
"hirst2018","MAP",0.823549445541927,0.856354771115409,0.832256387403446,0.871794871794872
"hirst2018","MAP",0.766947723314183,0.861788093702987,0.771682820855615,0.884615384615385
"hirst2018","MAP",0.790075021596761,0.903357164720801,0.783340760546643,0.897435897435897
"hirst2018","MAP",0.739785707076755,0.83185520361991,0.73184789067142,0.884615384615385
"hirst2018","MAP",0.680863854375892,0.814646332503475,0.681145090612002,0.852564102564103
"hirst2018","MAP",0.742688792688793,0.843034706995746,0.749214837450132,0.858974358974359
"hirst2018","MAP",0.791249804512886,0.847742201029988,0.783796605763518,0.858974358974359
"hirst2018","MAP",0.769821152906626,0.826415343915344,0.764944481580511,0.858974358974359
"hirst2018","MAP",0.822776498863455,0.92773251381742,0.793110331253714,0.91025641025641
"hirst2018","MAP",0.770858869005671,0.835189836163568,0.74727699792038,0.891025641025641
"hirst2018","MAP",0.786713962868854,0.904482323232323,0.774438316993464,0.897435897435897
"hirst2018","MAP",0.747740858678359,0.876048635707727,0.726548706603854,0.871794871794872
"hirst2018","MAP",0.70843885590213,0.840175565175565,0.700354649435532,0.865384615384615
"hirst2018","MAP",0.808617395810019,0.863155136268344,0.796747808972074,0.891025641025641
"hirst2018","MAP",0.708967869626784,0.806061651713826,0.681346686401833,0.852564102564103
"hirst2018","MAP",0.780198596782755,0.874200446018628,0.777926322043969,0.891025641025641
"hirst2018","MAP",0.674689662189662,0.835393241167435,0.683480020796197,0.83974358974359
"hirst2018","MAP",0.701341405508072,0.851737470397757,0.670840760546643,0.865384615384615
"hirst2018","MAP",0.746870924080226,0.882397084933317,0.70156992721331,0.871794871794872
"hirst2018","MAP",0.729094243018495,0.821143250688705,0.734879122103387,0.858974358974359
"hirst2018","MAP",0.822615189869305,0.87747668997669,0.805996546345811,0.91025641025641
"hirst2018","MAP",0.739776734857906,0.841351447509805,0.734669435956201,0.858974358974359
"hirst2018","MAP",0.739868173900841,0.801948051948052,0.723492275698158,0.884615384615385
"hirst2018","MAP",0.729885535202559,0.848229043683589,0.718085529666412,0.871794871794872
"hirst2018","MAP",0.653359314296814,0.802565235690236,0.660884713733978,0.858974358974359
"hirst2018","MAP",0.811328825753322,0.885569985569986,0.805562982768865,0.897435897435897
"hirst2018","MAP",0.836179342100395,0.923246352413019,0.799249851455734,0.91025641025641
"hirst2018","MAP",0.699888074888075,0.860127591706539,0.673910984848485,0.871794871794872
"hirst2018","MAP",0.744407166009108,0.88861592952502,0.714715431627196,0.884615384615385
"hirst2018","MAP",0.718896347881855,0.849534556352738,0.715867312834225,0.865384615384615
"hirst2018","MAP",0.688858565343714,0.791575091575092,0.691884841057635,0.858974358974359
"hirst2018","MAP",0.742383932716916,0.852134491680527,0.717865233214498,0.871794871794872
"hirst2018","MAP",0.660710713928536,0.800485593259787,0.680806224004753,0.858974358974359
"hirst2018","MAP",0.707205050225645,0.872262214909274,0.699564579619727,0.858974358974359
"hirst2018","MAP",0.714589422922756,0.84287837362,0.709531899881165,0.858974358974359
"hirst2018","MAP",0.674098140185097,0.843336600506412,0.666231246286393,0.865384615384615
"hirst2018","MAP",0.81708108504225,0.923363000635728,0.812218826924709,0.92948717948718
"hirst2018","MAP",0.784684553006301,0.872687918142464,0.808972073677956,0.903846153846154
"hirst2018","MAP",0.701625613834916,0.775395946622048,0.667942555810203,0.807692307692308
"hirst2018","MAP",0.831121368157037,0.880428367928368,0.822930592691622,0.884615384615385
"hirst2018","MAP",0.70229124690072,0.84995670995671,0.709744503862151,0.871794871794872
"hirst2018","MAP",0.717842717765366,0.870041763791764,0.713980800653595,0.865384615384615
"hirst2018","MAP",0.720130885985879,0.791791335972922,0.686242944147356,0.833333333333333
"hirst2018","MAP",0.806059359945852,0.876480872069107,0.828306038324421,0.91025641025641
"hirst2018","MAP",0.773452440111843,0.876833062770563,0.728182693531958,0.871794871794872
"hirst2018","MAP",0.727895999664453,0.865568711591439,0.7233019533571,0.865384615384615
"hirst2018","MAP",0.708345559248954,0.842038396386222,0.685534573677956,0.871794871794872
"hirst2018","MAP",0.721049201694363,0.786232021946308,0.717689765300059,0.858974358974359
"hirst2018","MAP",0.714846681023067,0.829604373889133,0.710556855317885,0.852564102564103
"hirst2018","MAP",0.647574394629299,0.804275490287201,0.663579067990833,0.846153846153846
"hirst2018","MAP",0.802444111709625,0.884129759129759,0.772998498641881,0.891025641025641
"hirst2018","MAP",0.686324377703143,0.856183042546679,0.6799688057041,0.852564102564103
"hirst2018","MAP",0.733426468028072,0.891371091518818,0.691570378151261,0.865384615384615
"hirst2018","MAP",0.740951662928613,0.860658221047831,0.746620617944147,0.871794871794872
"hirst2018","MAP",0.763401042485201,0.829205037386856,0.789643944699092,0.897435897435897
"hirst2018","MAP",0.754515130602087,0.883482258482258,0.737309677658942,0.884615384615385
"hirst2018","MAP",0.703703379196954,0.895732142857143,0.690206290849673,0.884615384615385
"hirst2018","MAP",0.630078771059345,0.80410980877962,0.627763984381631,0.852564102564103
"hirst2018","MAP",0.849414011914012,0.93668430335097,0.810992275698158,0.916666666666667
"hirst2018","MAP",0.761594202898551,0.911160556615102,0.734848484848485,0.916666666666667
"hirst2018","MAP",0.75110073953824,0.859580796187939,0.758796605763517,0.871794871794872
"hirst2018","MAP",0.736567805716742,0.855019895928987,0.744709304176216,0.858974358974359
"hirst2018","MAP",0.736310557634087,0.874110856463798,0.722100866861896,0.865384615384615
