data,method,result,Precision,Recall,F1-score,Accuracy
itzhak2017,WithoutAttention,Cross_validation_1,0.8947351421188628,0.9106232158541941,0.8998101617483639,0.9097744360902256
itzhak2017,WithoutAttention,Cross_validation_2,0.850974025974026,0.8852680532028359,0.8547619047619047,0.9022556390977443
itzhak2017,WithoutAttention,Cross_validation_3,0.9081415174765559,0.907996632996633,0.8931766828318551,0.9393939393939394
itzhak2017,WithoutAttention,Cross_validation_4,0.8412037037037038,0.8662037037037038,0.8399331662489558,0.9090909090909091
itzhak2017,WithoutAttention,Cross_validation_5,0.8875141723356008,0.8723695286195285,0.871164480434132,0.8939393939393939
itzhak2017,WithoutAttention,Cross_validation,0.8765137123217499,0.888492226875379,0.8717692792050423,0.9108908635224424
itzhak2017,WithoutAttention,Test,0.8662878787878788,0.8791049593681173,0.8682128982128984,0.9186046511627907
itzhak2017,WithAttention,Cross_validation_1,0.8604166666666666,0.9039505105401844,0.8774091505680652,0.9022556390977443
itzhak2017,WithAttention,Cross_validation_2,0.8630212380212381,0.9063990055837882,0.8670842411038491,0.9022556390977443
itzhak2017,WithAttention,Cross_validation_3,0.9014933880528956,0.9251262626262626,0.892003781658954,0.9393939393939394
itzhak2017,WithAttention,Cross_validation_4,0.8698919284025667,0.8680555555555557,0.8547393455220887,0.9166666666666666
itzhak2017,WithAttention,Cross_validation_5,0.9082894493717664,0.936763468013468,0.9196341874733512,0.9242424242424242
itzhak2017,WithAttention,Cross_validation,0.8806225341030267,0.9080589604638518,0.8821741412652615,0.9169628616997038
itzhak2017,WithAttention,Test,0.8653651903651904,0.9137901572112098,0.8847513262368336,0.936046511627907
