cv_index,true_label,pred_label,pred_prob
3.0,Large Protein Complex,Large Protein Complex,0.9994763731956482
1.0,Actin binding proteins,Actin binding proteins,0.9303749799728394
2.0,Large Protein Complex,Large Protein Complex,0.9999116659164429
2.0,Actin binding proteins,Actin binding proteins,0.9963120818138123
4.0,Large Protein Complex,Large Protein Complex,0.9999526739120483
5.0,Large Protein Complex,Large Protein Complex,0.5305895805358887
2.0,Actin binding proteins,Actin binding proteins,0.9995354413986206
5.0,Mitochondrion,Mitochondrion,0.9996848106384277
1.0,ER,ER,0.9690226316452026
2.0,Large Protein Complex,Large Protein Complex,1.0
4.0,Large Protein Complex,Large Protein Complex,0.6397117376327515
2.0,Actin binding proteins,Actin binding proteins,0.5931417346000671
3.0,ER_high_curvature,ER_high_curvature,0.583626389503479
2.0,Mitochondrion,Mitochondrion,0.9999817609786987
3.0,Large Protein Complex,Large Protein Complex,0.997479259967804
5.0,Mitochondrion,Mitochondrion,0.9997510313987732
3.0,ER,ER,0.9150288105010986
2.0,Large Protein Complex,Large Protein Complex,0.9999567270278931
5.0,Large Protein Complex,Large Protein Complex,0.9997313618659973
4.0,Large Protein Complex,Large Protein Complex,0.9988728165626526
1.0,Golgi,Golgi,0.9981854557991028
4.0,Large Protein Complex,Large Protein Complex,0.8807039260864258
3.0,Large Protein Complex,Large Protein Complex,0.9998936653137207
3.0,Actin binding proteins,Actin binding proteins,0.9960506558418274
4.0,Mitochondrion,Mitochondrion,0.9997640252113342
1.0,ER,ER,0.9816104173660278
2.0,Large Protein Complex,Large Protein Complex,0.9999995231628418
1.0,Large Protein Complex,Large Protein Complex,0.9993267059326172
3.0,ER,ER,0.9501607418060303
5.0,Golgi,Golgi,0.9927850961685181
4.0,Large Protein Complex,Large Protein Complex,0.9895622134208679
2.0,ER,ER,0.9998118281364441
4.0,Plasma membrane,Plasma membrane,0.6598807573318481
2.0,ER,ER,0.9865115880966187
2.0,Mitochondrion,Mitochondrion,0.9999991655349731
4.0,ER,ER,0.9986745119094849
4.0,Endosome,Endosome,0.874000608921051
5.0,Large Protein Complex,Large Protein Complex,0.9998226761817932
1.0,ER,ER,0.8295884728431702
4.0,Large Protein Complex,Large Protein Complex,0.99428790807724
1.0,Large Protein Complex,Large Protein Complex,0.9431993961334229
1.0,Large Protein Complex,Large Protein Complex,0.9997287392616272
4.0,Actin binding proteins,Actin binding proteins,0.9228784441947937
5.0,Large Protein Complex,Large Protein Complex,0.9997509121894836
5.0,Large Protein Complex,Large Protein Complex,0.9989901185035706
4.0,Large Protein Complex,Large Protein Complex,0.9993809461593628
4.0,Mitochondrion,Mitochondrion,0.9996753931045532
2.0,ER,ER,0.9995889067649841
4.0,Large Protein Complex,Large Protein Complex,0.9999247789382935
4.0,Plasma membrane,Plasma membrane,0.8723390102386475
4.0,Large Protein Complex,Large Protein Complex,0.9958369731903076
1.0,Actin binding proteins,Actin binding proteins,0.9603601098060608
3.0,ER,ER,0.9865503311157227
3.0,Large Protein Complex,Large Protein Complex,0.9999980926513672
2.0,Mitochondrion,Mitochondrion,0.9999762773513794
