cv_index,true_label,pred_label,pred_prob
3.0,Large Protein Complex,Large Protein Complex,0.9992666840553284
1.0,Actin binding proteins,Actin binding proteins,0.9137135744094849
2.0,Large Protein Complex,Large Protein Complex,0.9983141422271729
2.0,Actin binding proteins,Actin binding proteins,0.9930012226104736
4.0,Large Protein Complex,Large Protein Complex,1.0
5.0,Large Protein Complex,Actin binding proteins,0.5382543206214905
2.0,Actin binding proteins,Actin binding proteins,0.9993972778320312
5.0,Mitochondrion,Mitochondrion,0.9999902248382568
1.0,ER,ER,0.9934459328651428
2.0,Large Protein Complex,Large Protein Complex,1.0
4.0,Large Protein Complex,Nuclear pore complex,0.6909833550453186
2.0,Actin binding proteins,Large Protein Complex,0.844897449016571
3.0,ER_high_curvature,ER_high_curvature,0.6739901900291443
2.0,Mitochondrion,Mitochondrion,1.0
3.0,Large Protein Complex,Large Protein Complex,0.998245358467102
5.0,Mitochondrion,Mitochondrion,0.999984622001648
3.0,ER,ER,0.9711393117904663
2.0,Large Protein Complex,Large Protein Complex,0.9999690055847168
5.0,Large Protein Complex,Large Protein Complex,0.9999984502792358
4.0,Large Protein Complex,Large Protein Complex,1.0
1.0,Golgi,Golgi,0.9999914169311523
4.0,Large Protein Complex,Large Protein Complex,0.9805412888526917
3.0,Large Protein Complex,Large Protein Complex,0.9999594688415527
3.0,Actin binding proteins,Actin binding proteins,0.9926342368125916
4.0,Mitochondrion,Mitochondrion,0.9999983310699463
1.0,ER,ER,0.9988256096839905
2.0,Large Protein Complex,Large Protein Complex,0.9999949932098389
1.0,Large Protein Complex,Large Protein Complex,0.9999994039535522
3.0,ER,ER,0.9776636362075806
5.0,Golgi,Golgi,0.999268114566803
4.0,Large Protein Complex,Large Protein Complex,0.9996247291564941
2.0,ER,ER,0.9999892711639404
4.0,Plasma membrane,Plasma membrane,0.6386984586715698
2.0,ER,ER,0.9903298616409302
2.0,Mitochondrion,Mitochondrion,1.0
4.0,ER,ER,0.9999451637268066
4.0,Endosome,Endosome,0.9910564422607422
5.0,Large Protein Complex,Large Protein Complex,0.999890923500061
1.0,ER,Large Protein Complex,0.4952583611011505
4.0,Large Protein Complex,Large Protein Complex,0.9993829727172852
1.0,Large Protein Complex,Large Protein Complex,0.9985812902450562
1.0,Large Protein Complex,Large Protein Complex,0.9999957084655762
4.0,Actin binding proteins,Actin binding proteins,0.9993523955345154
5.0,Large Protein Complex,Large Protein Complex,0.9999967813491821
5.0,Large Protein Complex,Large Protein Complex,0.9992895126342773
4.0,Large Protein Complex,Large Protein Complex,1.0
4.0,Mitochondrion,Mitochondrion,0.9999938011169434
2.0,ER,ER,0.9997157454490662
4.0,Large Protein Complex,Large Protein Complex,1.0
4.0,Plasma membrane,Plasma membrane,0.961593747138977
4.0,Large Protein Complex,Large Protein Complex,0.9995494484901428
1.0,Actin binding proteins,Actin binding proteins,0.9857257604598999
3.0,ER,ER,0.9889867305755615
3.0,Large Protein Complex,Large Protein Complex,1.0
2.0,Mitochondrion,Mitochondrion,1.0
2.0,Large Protein Complex,Large Protein Complex,0.9999487400054932
5.0,Large Protein Complex,Large Protein Complex,0.985537588596344
1.0,Large Protein Complex,Large Protein Complex,0.9913910627365112
1.0,Large Protein Complex,Large Protein Complex,0.7540650963783264
1.0,Peroxisome,Peroxisome,0.9998692274093628
3.0,Large Protein Complex,Large Protein Complex,0.99998939037323
4.0,Large Protein Complex,Large Protein Complex,0.9915865659713745
3.0,Mitochondrion,Mitochondrion,1.0
4.0,Actin binding proteins,Actin binding proteins,0.9892511963844299
3.0,Large Protein Complex,Large Protein Complex,0.9999947547912598
3.0,Large Protein Complex,Large Protein Complex,0.9999743700027466
2.0,Large Protein Complex,Large Protein Complex,1.0
4.0,Large Protein Complex,Large Protein Complex,0.9622885584831238
3.0,Endosome,Endosome,0.9713966846466064
1.0,Large Protein Complex,Large Protein Complex,0.9999997615814209
1.0,Large Protein Complex,Large Protein Complex,0.9999923706054688
4.0,Large Protein Complex,Large Protein Complex,0.9999998807907104
1.0,Large Protein Complex,Large Protein Complex,0.9999984502792358
3.0,Plasma membrane,Plasma membrane,0.38799986243247986
5.0,Plasma membrane,Plasma membrane,0.6662447452545166
3.0,Large Protein Complex,Large Protein Complex,0.9153568148612976
4.0,Large Protein Complex,Large Protein Complex,0.9982452392578125
5.0,Large Protein Complex,Large Protein Complex,0.9999960660934448
1.0,Nuclear pore complex,Nuclear pore complex,1.0
4.0,Large Protein Complex,Large Protein Complex,0.9999725818634033
3.0,Large Protein Complex,Large Protein Complex,0.9999998807907104
4.0,ER,ER,0.939460039138794
1.0,Peroxisome,Peroxisome,0.9999470710754395
3.0,Large Protein Complex,Large Protein Complex,0.9530542492866516
2.0,Large Protein Complex,Large Protein Complex,0.9999942779541016
1.0,Large Protein Complex,Large Protein Complex,0.9849692583084106
3.0,ER,ER,0.9312195181846619
5.0,Large Protein Complex,Large Protein Complex,0.9220187664031982
4.0,Large Protein Complex,Large Protein Complex,1.0
5.0,Large Protein Complex,Large Protein Complex,0.8375028967857361
5.0,ER,Large Protein Complex,0.5834708213806152
3.0,Actin binding proteins,Actin binding proteins,0.3676835596561432
1.0,Actin binding proteins,Plasma membrane,0.8490944504737854
5.0,Mitochondrion,Mitochondrion,0.9999998807907104
4.0,Mitochondrion,Mitochondrion,0.999998927116394
1.0,Plasma membrane,Plasma membrane,0.7499143481254578
2.0,Mitochondrion,Mitochondrion,1.0
3.0,Large Protein Complex,Large Protein Complex,0.9999998807907104
2.0,Plasma membrane,Plasma membrane,0.9846775531768799
4.0,Large Protein Complex,Large Protein Complex,1.0
2.0,Plasma membrane,Plasma membrane,0.6585614085197449
5.0,Large Protein Complex,Large Protein Complex,0.9999951124191284
2.0,Large Protein Complex,Large Protein Complex,1.0
3.0,Endosome,Endosome,0.7172629237174988
3.0,Mitochondrion,Mitochondrion,1.0
3.0,Mitochondrion,Mitochondrion,1.0
5.0,ER,ER,0.9913082718849182
5.0,ER,ER,0.9757819175720215
1.0,Large Protein Complex,Large Protein Complex,0.9936332702636719
3.0,Actin binding proteins,Actin binding proteins,0.9480092525482178
4.0,ER,ER,0.9999833106994629
4.0,Large Protein Complex,Large Protein Complex,0.9999681711196899
4.0,Mitochondrion,Mitochondrion,0.9999985694885254
3.0,Large Protein Complex,Large Protein Complex,0.9835101366043091
4.0,Large Protein Complex,Large Protein Complex,0.9990972280502319
5.0,Large Protein Complex,Large Protein Complex,0.9999998807907104
1.0,Large Protein Complex,Large Protein Complex,0.9999994039535522
2.0,Mitochondrion,Mitochondrion,1.0
4.0,Large Protein Complex,Large Protein Complex,0.9988736510276794
2.0,Large Protein Complex,Large Protein Complex,0.9984048008918762
1.0,Large Protein Complex,Large Protein Complex,0.9999760389328003
4.0,Large Protein Complex,Large Protein Complex,0.9999998807907104
4.0,Mitochondrion,Mitochondrion,0.9999997615814209
4.0,Plasma membrane,Plasma membrane,0.9886314272880554
1.0,Large Protein Complex,Large Protein Complex,0.9999954700469971
5.0,Mitochondrion,Mitochondrion,0.9999939203262329
3.0,Large Protein Complex,Large Protein Complex,0.9891726970672607
2.0,Large Protein Complex,Large Protein Complex,1.0
3.0,Mitochondrion,Mitochondrion,1.0
4.0,Mitochondrion,Mitochondrion,0.9999997615814209
2.0,Large Protein Complex,Large Protein Complex,1.0
5.0,Plasma membrane,Plasma membrane,0.6214840412139893
5.0,Actin binding proteins,Actin binding proteins,0.9594461917877197
2.0,ER,ER,0.8753196001052856
1.0,ER,ER,0.997973620891571
5.0,Ergic/cisGolgi,Ergic/cisGolgi,0.4441588521003723
1.0,ER,ER,0.9983605742454529
1.0,Mitochondrion,Mitochondrion,1.0
2.0,ER,ER,0.9749232530593872
2.0,Endosome,Endosome,0.9105800986289978
1.0,Mitochondrion,Mitochondrion,1.0
2.0,Large Protein Complex,Large Protein Complex,0.9999997615814209
3.0,Plasma membrane,Plasma membrane,0.9866776466369629
1.0,Large Protein Complex,Large Protein Complex,0.9961460828781128
4.0,Endosome,Plasma membrane,0.8904762864112854
4.0,Large Protein Complex,Large Protein Complex,1.0
1.0,Large Protein Complex,Large Protein Complex,0.9999790191650391
5.0,Mitochondrion,Mitochondrion,0.9999991655349731
1.0,Large Protein Complex,Large Protein Complex,0.9998939037322998
3.0,Large Protein Complex,Large Protein Complex,0.9999629259109497
2.0,Large Protein Complex,Large Protein Complex,0.9999997615814209
5.0,Peroxisome,Peroxisome,0.7895890474319458
1.0,Large Protein Complex,Large Protein Complex,0.9999575614929199
1.0,Large Protein Complex,Endosome,0.47129350900650024
5.0,Endosome,Plasma membrane,0.4080371856689453
3.0,Large Protein Complex,Large Protein Complex,0.9987515211105347
2.0,Large Protein Complex,Large Protein Complex,0.6899405121803284
4.0,ER,ER,0.9945774078369141
2.0,Large Protein Complex,Large Protein Complex,0.7710158824920654
3.0,Large Protein Complex,Large Protein Complex,1.0
2.0,Mitochondrion,Mitochondrion,1.0
1.0,ER,ER,0.7893713712692261
5.0,Mitochondrion,Mitochondrion,0.999998927116394
1.0,Nuclear pore complex,Nuclear pore complex,0.9999998807907104
4.0,Plasma membrane,Plasma membrane,0.4485352337360382
2.0,Mitochondrion,Mitochondrion,1.0
3.0,Ergic/cisGolgi,Ergic/cisGolgi,0.30747121572494507
5.0,Actin binding proteins,Large Protein Complex,0.9611304402351379
4.0,Plasma membrane,Large Protein Complex,0.6280171871185303
4.0,Plasma membrane,Plasma membrane,0.8186611533164978
3.0,Large Protein Complex,Actin binding proteins,0.5039275884628296
1.0,Large Protein Complex,Large Protein Complex,0.9993199110031128
5.0,Endosome,Endosome,0.6187095046043396
4.0,Large Protein Complex,Large Protein Complex,1.0
3.0,Large Protein Complex,Large Protein Complex,1.0
2.0,Large Protein Complex,Large Protein Complex,0.8610482811927795
5.0,Actin binding proteins,Actin binding proteins,0.5480177998542786
5.0,Large Protein Complex,Large Protein Complex,0.9998946189880371
2.0,Mitochondrion,Mitochondrion,1.0
2.0,Mitochondrion,Mitochondrion,1.0
2.0,Large Protein Complex,Large Protein Complex,1.0
3.0,Plasma membrane,Lysosome,0.7264338135719299
2.0,Large Protein Complex,Large Protein Complex,0.9999854564666748
3.0,ER,ER,0.9995112419128418
3.0,Large Protein Complex,Large Protein Complex,0.9999958276748657
3.0,Mitochondrion,Mitochondrion,1.0
4.0,ER,ER,0.985888659954071
1.0,Ergic/cisGolgi,Ergic/cisGolgi,0.9522836804389954
5.0,Mitochondrion,Mitochondrion,0.9999997615814209
1.0,Nuclear pore complex,Nuclear pore complex,1.0
4.0,Large Protein Complex,Large Protein Complex,0.9999997615814209
2.0,Peroxisome,Peroxisome,0.9926142692565918
3.0,Mitochondrion,Mitochondrion,1.0
2.0,Endosome,Large Protein Complex,0.7388755083084106
5.0,Large Protein Complex,Large Protein Complex,0.9999966621398926
2.0,Large Protein Complex,Large Protein Complex,1.0
4.0,Large Protein Complex,Large Protein Complex,1.0
2.0,ER,ER,0.7261363863945007
3.0,Large Protein Complex,Large Protein Complex,1.0
3.0,Nuclear pore complex,Nuclear pore complex,1.0
4.0,Large Protein Complex,Large Protein Complex,0.9999983310699463
2.0,Ergic/cisGolgi,Ergic/cisGolgi,0.9956833124160767
5.0,ER_high_curvature,ER_high_curvature,0.580467164516449
3.0,Large Protein Complex,Large Protein Complex,0.9999998807907104
1.0,Large Protein Complex,Large Protein Complex,0.9999600648880005
1.0,Large Protein Complex,Large Protein Complex,0.9999440908432007
1.0,ER_high_curvature,ER_high_curvature,0.3587411940097809
4.0,Actin binding proteins,Actin binding proteins,0.9873120784759521
1.0,Large Protein Complex,Large Protein Complex,0.7614993453025818
4.0,Mitochondrion,Mitochondrion,0.9999990463256836
2.0,Large Protein Complex,Large Protein Complex,0.9999998807907104
3.0,Plasma membrane,Plasma membrane,0.8181853890419006
5.0,ER,ER,0.9336897730827332
5.0,Lysosome,Lysosome,0.7302041053771973
4.0,Mitochondrion,Mitochondrion,0.9999996423721313
5.0,Large Protein Complex,Large Protein Complex,0.999996542930603
3.0,Mitochondrion,Mitochondrion,1.0
1.0,Large Protein Complex,Large Protein Complex,0.7421073913574219
3.0,Mitochondrion,Mitochondrion,1.0
4.0,Large Protein Complex,Large Protein Complex,0.9999997615814209
1.0,Mitochondrion,Mitochondrion,1.0
5.0,ER,ER,0.9895815849304199
2.0,Mitochondrion,Mitochondrion,1.0
5.0,Ergic/cisGolgi,Ergic/cisGolgi,0.900216281414032
1.0,Golgi,Large Protein Complex,0.7541735768318176
5.0,ER,ER,0.9998555183410645
2.0,Large Protein Complex,Large Protein Complex,0.6786121726036072
5.0,ER,ER,0.9776695370674133
4.0,Large Protein Complex,Large Protein Complex,0.9999990463256836
2.0,Nuclear pore complex,Nuclear pore complex,1.0
5.0,Large Protein Complex,Large Protein Complex,0.6069858074188232
5.0,Large Protein Complex,Large Protein Complex,0.9999842643737793
2.0,ER,ER,0.9992358684539795
4.0,Large Protein Complex,Large Protein Complex,0.9999997615814209
