true_label,pred_label,pred_prob
Large Protein Complex,Large Protein Complex,0.9998150765895844
Large Protein Complex,Large Protein Complex,0.9709356725215912
Large Protein Complex,Endosome,0.5087187588214874
Large Protein Complex,Large Protein Complex,0.5039158686995506
Large Protein Complex,Large Protein Complex,0.8513672351837158
Large Protein Complex,Large Protein Complex,0.9987941533327103
Large Protein Complex,Large Protein Complex,0.9970113188028336
Large Protein Complex,Large Protein Complex,0.9981939047574997
Large Protein Complex,Large Protein Complex,0.9370346218347549
Large Protein Complex,Large Protein Complex,0.9238366186618805
Large Protein Complex,Plasma membrane,0.7659112811088562
Large Protein Complex,Large Protein Complex,0.9066545069217682
Large Protein Complex,Large Protein Complex,0.9998094439506531
Large Protein Complex,Large Protein Complex,0.9997905939817429
Large Protein Complex,Large Protein Complex,0.5266925171017647
Large Protein Complex,Large Protein Complex,0.4940407797694206
Large Protein Complex,Large Protein Complex,0.7364209964871407
Large Protein Complex,Large Protein Complex,0.999742403626442
Large Protein Complex,Large Protein Complex,0.9992363601922989
Large Protein Complex,Large Protein Complex,0.9958197623491287
Large Protein Complex,Large Protein Complex,0.9698861539363861
Large Protein Complex,Large Protein Complex,0.3874514102935791
Large Protein Complex,Large Protein Complex,0.9999685883522034
Large Protein Complex,Large Protein Complex,0.9998705238103867
Large Protein Complex,Endosome,0.5491048991680145
Large Protein Complex,Large Protein Complex,0.9995770156383514
Large Protein Complex,Large Protein Complex,0.9263176023960114
Large Protein Complex,Large Protein Complex,0.9996846467256546
Large Protein Complex,Large Protein Complex,0.990850642323494
Large Protein Complex,Large Protein Complex,0.9947791248559952
Large Protein Complex,Large Protein Complex,0.9855858385562897
Large Protein Complex,Large Protein Complex,0.9182661026716232
Large Protein Complex,Large Protein Complex,0.9991669356822968
Large Protein Complex,Large Protein Complex,0.9993657916784286
Large Protein Complex,Large Protein Complex,0.7272803038358688
Large Protein Complex,Large Protein Complex,0.9999814927577972
Large Protein Complex,Large Protein Complex,0.9992330819368362
Large Protein Complex,Large Protein Complex,0.9966074824333191
Large Protein Complex,Large Protein Complex,0.9998597055673599
Large Protein Complex,Large Protein Complex,0.9985059052705765
Large Protein Complex,Large Protein Complex,0.9998148083686829
Large Protein Complex,Large Protein Complex,0.9996735900640488
Large Protein Complex,Large Protein Complex,0.9989051073789597
Large Protein Complex,Large Protein Complex,0.6743357544764876
Large Protein Complex,Large Protein Complex,0.9997846782207489
Large Protein Complex,Large Protein Complex,0.7199133783578873
Large Protein Complex,Large Protein Complex,0.9995856285095215
Large Protein Complex,Large Protein Complex,0.9994633495807648
Large Protein Complex,Large Protein Complex,0.9437327831983566
Large Protein Complex,Large Protein Complex,0.770814411342144
Large Protein Complex,Large Protein Complex,0.7863403856754303
Large Protein Complex,Large Protein Complex,0.7697685174618982
Large Protein Complex,Large Protein Complex,0.8900377005338669
Large Protein Complex,Large Protein Complex,0.8203257769346237
Large Protein Complex,Large Protein Complex,0.9938908070325851
Large Protein Complex,Large Protein Complex,0.6911400482058525
Large Protein Complex,Large Protein Complex,0.9991901218891144
Actin binding proteins,Actin binding proteins,0.6726179824909195
Actin binding proteins,Actin binding proteins,0.8692491799592972
Actin binding proteins,Actin binding proteins,0.5621839240193367
Actin binding proteins,Actin binding proteins,0.8358981013298035
Actin binding proteins,Actin binding proteins,0.9503799378871918
Mitochondrion,Mitochondrion,0.999827042222023
Mitochondrion,Mitochondrion,0.9998020976781845
Mitochondrion,Mitochondrion,0.9901863932609558
Mitochondrion,Mitochondrion,0.9999089688062668
Mitochondrion,Mitochondrion,0.9997205287218094
Mitochondrion,Mitochondrion,0.99992735683918
Mitochondrion,Mitochondrion,0.6858935579657555
Mitochondrion,Mitochondrion,0.999614492058754
Mitochondrion,Mitochondrion,0.9990545809268951
Mitochondrion,Mitochondrion,0.9997921139001846
Mitochondrion,Mitochondrion,0.9996722489595413
Mitochondrion,Mitochondrion,0.9997885376214981
Mitochondrion,Mitochondrion,0.9999121278524399
Mitochondrion,Mitochondrion,0.9997752457857132
Mitochondrion,Mitochondrion,0.9999664276838303
Mitochondrion,Mitochondrion,0.9998265206813812
Mitochondrion,Mitochondrion,0.9998564273118973
Mitochondrion,Mitochondrion,0.9999262243509293
Mitochondrion,Mitochondrion,0.9998858869075775
Mitochondrion,Mitochondrion,0.9997007697820663
Mitochondrion,Mitochondrion,0.9998161643743515
Mitochondrion,Mitochondrion,0.9995030164718628
