true_label,pred_label,pred_prob
Large Protein Complex,Large Protein Complex,0.9999955147504807
Large Protein Complex,Large Protein Complex,0.9959467202425003
Large Protein Complex,Large Protein Complex,0.4765080697834492
Large Protein Complex,Large Protein Complex,0.7919717580080032
Large Protein Complex,Large Protein Complex,0.9395861476659775
Large Protein Complex,Large Protein Complex,0.9999694675207138
Large Protein Complex,Large Protein Complex,0.9999332129955292
Large Protein Complex,Large Protein Complex,0.9998985826969147
Large Protein Complex,Large Protein Complex,0.9911565482616425
Large Protein Complex,Large Protein Complex,0.9764911830425262
Large Protein Complex,Plasma membrane,0.5579981077462435
Large Protein Complex,Large Protein Complex,0.9470638483762741
Large Protein Complex,Large Protein Complex,0.999993771314621
Large Protein Complex,Large Protein Complex,0.9999976307153702
Large Protein Complex,Large Protein Complex,0.5711366012692451
Large Protein Complex,Large Protein Complex,0.7090998888015747
Large Protein Complex,Large Protein Complex,0.8806130886077881
Large Protein Complex,Large Protein Complex,0.9999980926513672
Large Protein Complex,Large Protein Complex,0.9999968558549881
Large Protein Complex,Large Protein Complex,0.9998940378427505
Large Protein Complex,Large Protein Complex,0.9951587170362473
Large Protein Complex,Large Protein Complex,0.5679891631007195
Large Protein Complex,Large Protein Complex,0.9999997913837433
Large Protein Complex,Large Protein Complex,0.9999954998493195
Large Protein Complex,Endosome,0.4303881414234638
Large Protein Complex,Large Protein Complex,0.9999914020299911
Large Protein Complex,Large Protein Complex,0.9872987419366837
Large Protein Complex,Large Protein Complex,0.9999990016222
Large Protein Complex,Large Protein Complex,0.9999230057001114
Large Protein Complex,Large Protein Complex,0.9993491172790527
Large Protein Complex,Large Protein Complex,0.9999947100877762
Large Protein Complex,Large Protein Complex,0.9858187288045883
Large Protein Complex,Large Protein Complex,0.999994307756424
Large Protein Complex,Large Protein Complex,0.9999750703573227
Large Protein Complex,Large Protein Complex,0.7879542708396912
Large Protein Complex,Large Protein Complex,0.9999998062849045
Large Protein Complex,Large Protein Complex,0.9999891072511673
Large Protein Complex,Large Protein Complex,0.9999631196260452
Large Protein Complex,Large Protein Complex,0.9999996274709702
Large Protein Complex,Large Protein Complex,0.9999347925186157
Large Protein Complex,Large Protein Complex,0.9999960213899612
Large Protein Complex,Large Protein Complex,0.9999983906745911
Large Protein Complex,Large Protein Complex,0.9999729841947556
Large Protein Complex,Large Protein Complex,0.7384831011295319
Large Protein Complex,Large Protein Complex,0.9999965876340866
Large Protein Complex,Large Protein Complex,0.9524741321802139
Large Protein Complex,Large Protein Complex,0.9999799728393555
Large Protein Complex,Large Protein Complex,0.9999850541353226
Large Protein Complex,Large Protein Complex,0.9842781722545624
Large Protein Complex,Large Protein Complex,0.8429503887891769
Large Protein Complex,Large Protein Complex,0.8634355366230011
Large Protein Complex,Large Protein Complex,0.9416027069091797
Large Protein Complex,Large Protein Complex,0.9217247068881989
Large Protein Complex,Large Protein Complex,0.8974654376506805
Large Protein Complex,Large Protein Complex,0.9989288449287415
Large Protein Complex,Large Protein Complex,0.9311679303646088
Large Protein Complex,Large Protein Complex,0.9999883621931076
Actin binding proteins,Actin binding proteins,0.612673762247141
Actin binding proteins,Actin binding proteins,0.9309194982051849
Actin binding proteins,Large Protein Complex,0.588857851922512
Actin binding proteins,Actin binding proteins,0.8033686131238937
Actin binding proteins,Actin binding proteins,0.9918964803218842
Mitochondrion,Mitochondrion,0.999999925494194
Mitochondrion,Mitochondrion,0.999999925494194
Mitochondrion,Mitochondrion,0.9978718310594559
