Protein_ID,Map1_01K,Map1_03K,Map1_06K,Map1_12K,Map1_24K,Map1_80K,Map2_01K,Map2_03K,Map2_06K,Map2_12K,Map2_24K,Map2_80K,Map3_01K,Map3_03K,Map3_06K,Map3_12K,Map3_24K,Map3_80K,Map4_01K,Map4_03K,Map4_06K,Map4_12K,Map4_24K,Map4_80K,Map5_01K,Map5_03K,Map5_06K,Map5_12K,Map5_24K,Map5_80K,markers
Q9JHU4,0.035933502,0.033468612,0.027480846,0.021714178,0.020526644,0.042309915,0.031500327,0.028590651,0.023921697,0.026553274,0.025193007,0.037577913,0.035113887,0.03249181,0.028040499,0.027503301,0.026105033,0.032581631,0.035146706,0.051950105,0.03839321,0.033370154,0.03264986,0.043971599,0.03818334,0.043141621,0.035841953,0.035002474,0.030386204,0.045356049,Large Protein Complex
P14873,0.009154551,0.0241204,0.023398158,0.027617684,0.036424423,0.08419887,0.007114173,0.01816004,0.016866747,0.019359636,0.025124085,0.070357377,0.009015071,0.024524287,0.02467193,0.026056434,0.034487678,0.117063545,0.009581863,0.02190789,0.022591092,0.028020862,0.033554265,0.08119988,0.009767836,0.021956868,0.024436625,0.032165147,0.037336542,0.079766043,unknown
Q6ZWQ0;E9QP46,0.083283613,0.022667931,0.019953085,0.025519556,0.024765202,0.013676816,0.093740953,0.021283567,0.020408599,0.031488074,0.023001588,0.012170802,0.094804095,0.021200671,0.016926549,0.028626087,0.030252922,0.01681609,0.099595488,0.01484192,0.01554032,0.023575643,0.021756075,0.014127771,0.107478905,0.020651692,0.01768339,0.024947573,0.023737291,0.015477733,unknown
A3KGU7;A3KGU9,0.016911252,0.036252121,0.052014676,0.044739254,0.027325963,0.032082931,0.009951617,0.038186931,0.035961848,0.030690446,0.025108111,0.028262895,0.012586079,0.040843809,0.043910787,0.037231406,0.031725513,0.039000936,0.012400139,0.041125818,0.044192796,0.040361397,0.030317533,0.033428931,0.013261661,0.036836799,0.046380691,0.045301206,0.035942221,0.037664233,Actin binding proteins
F7ACR9,0.010810425,0.034485352,0.04863571,0.046975804,0.032601382,0.036986644,0.011775274,0.032061798,0.035937199,0.036515651,0.025458755,0.03346563,0.012740581,0.034842027,0.043475368,0.041847471,0.03507295,0.040695139,0.005609157,0.036904334,0.042492228,0.043921211,0.034483066,0.041433638,0.007984012,0.032132675,0.042784884,0.04196179,0.034371034,0.041538811,unknown
P63260;Q4KL81,0.023145906,0.039626534,0.033775076,0.03708296,0.025647706,0.014437414,0.020344571,0.058341299,0.042940607,0.039366607,0.029014384,0.018906616,0.024236672,0.06316852,0.051577001,0.047458391,0.034870483,0.017213685,0.022138069,0.044555869,0.041897803,0.034517725,0.030434701,0.016769642,0.018998828,0.034480593,0.04011235,0.047195369,0.026935584,0.020809036,Actin binding proteins
Q61879;Q3UH59;Q5SV64,0.019576273,0.05119099,0.054142584,0.047557827,0.019590918,0.007074361,0.013973879,0.057159517,0.043503329,0.033251613,0.021599579,0.010137371,0.015360677,0.068522025,0.059774268,0.043976485,0.028005212,0.016049006,0.014341138,0.055458408,0.054407326,0.039265202,0.024401339,0.010676543,0.014432389,0.047493613,0.052587928,0.039673018,0.02349333,0.013323852,Actin binding proteins
P10126;Q58E64;D3YZ68;D3Z3I8,0.041083997,0.028813175,0.02425888,0.02957446,0.033303667,0.042200548,0.032058423,0.029963803,0.02666309,0.033192375,0.032675064,0.044904921,0.037190569,0.029870273,0.028287526,0.032967615,0.032845809,0.044966549,0.040957116,0.035211592,0.030050082,0.027627384,0.033185487,0.035764067,0.039108282,0.029154666,0.025462435,0.031106092,0.025543639,0.042008414,Large Protein Complex
Q62261;A0A0A0MQG2,0.021525891,0.034358387,0.048302179,0.041217483,0.022019824,0.017825623,0.01225071,0.04231945,0.037636089,0.031989591,0.022837622,0.017733648,0.014706925,0.044076524,0.045046169,0.034646894,0.031141423,0.023618544,0.015028839,0.051827172,0.053230662,0.04675335,0.030230348,0.026334416,0.016788299,0.041981051,0.055829396,0.050803297,0.037399643,0.030540548,Actin binding proteins
P63038,0.009221347,0.05983168,0.086213781,0.029345958,0.001291909,0.000139131,0.01153745,0.097292848,0.113221218,0.033472586,0.001679912,0.000209482,0.012075475,0.073742457,0.105103649,0.030552975,0.0013358,0.000915527,0.010915653,0.063483406,0.072857547,0.020774725,0.001182888,0.00020632,0.01094515,0.058689557,0.071937241,0.02023139,0.001124838,0.000468099,Mitochondrion
