cv_index,true_label,pred_label,pred_prob
1.0,Mitochondria,Mitochondria,0.8836621046066284
1.0,Cytosol,Cytosol,0.9975886344909668
5.0,Peroxisome,Mitochondria,0.7508673071861267
4.0,Plasma Membrane,Plasma Membrane,0.9999724626541138
4.0,Nucleus,40S/60S Ribosome,0.9938082098960876
3.0,Lysosome,Lysosome,0.6030911207199097
4.0,Peroxisome,Peroxisome,0.7999246120452881
5.0,Endoplasmic Reticulum,Lysosome,0.562580943107605
2.0,Mitochondria,Mitochondria,0.9914188385009766
2.0,Golgi Apparatus,Golgi Apparatus,0.6587193608283997
3.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.5301609039306641
4.0,Mitochondria,Mitochondria,0.7485395073890686
4.0,Golgi Apparatus,Golgi Apparatus,0.49564310908317566
4.0,Mitochondria,Mitochondria,0.7219930291175842
1.0,Nucleus,Nucleolus,0.9959576725959778
4.0,Nucleolus,Nucleolus,0.49503764510154724
3.0,Nucleolus,Nucleolus,0.9853897094726562
4.0,Lysosome,Lysosome,0.8593584895133972
4.0,Chromatin,Nucleus,0.76151043176651
4.0,Chromatin,Chromatin,0.9922198057174683
1.0,Peroxisome,Peroxisome,0.6524873375892639
1.0,Lysosome,Lysosome,0.6796817779541016
2.0,Cytosol,Cytosol,0.999950647354126
2.0,Mitochondria,Mitochondria,0.84154212474823
4.0,Mitochondria,Mitochondria,0.5359753370285034
2.0,Plasma Membrane,Plasma Membrane,0.9983781576156616
2.0,Lysosome,Endoplasmic Reticulum,0.8757724165916443
4.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.6737329959869385
5.0,Nucleolus,Nucleolus,0.9006665349006653
1.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.9638216495513916
5.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.5979089736938477
2.0,Chromatin,Chromatin,0.9778409600257874
1.0,Chromatin,Chromatin,0.9856809377670288
2.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.9323198199272156
