cv_index,true_label,pred_label,pred_prob
1.0,Mitochondria,Mitochondria,0.7673647999763489
1.0,Cytosol,Cytosol,0.9986338019371033
5.0,Peroxisome,Mitochondria,0.5865165591239929
4.0,Plasma Membrane,Plasma Membrane,0.9999722242355347
4.0,Nucleus,40S/60S Ribosome,0.9993876218795776
3.0,Lysosome,Lysosome,0.7668329477310181
4.0,Peroxisome,Peroxisome,0.9559332728385925
5.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.4719662368297577
2.0,Mitochondria,Mitochondria,0.9236461520195007
2.0,Golgi Apparatus,Golgi Apparatus,0.6469253897666931
3.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.5952867269515991
4.0,Mitochondria,Mitochondria,0.8148257732391357
4.0,Golgi Apparatus,Golgi Apparatus,0.5105721950531006
4.0,Mitochondria,Mitochondria,0.8332962393760681
1.0,Nucleus,Nucleolus,0.9918944239616394
4.0,Nucleolus,Nucleolus,0.6604171991348267
3.0,Nucleolus,Nucleolus,0.9428740739822388
4.0,Lysosome,Lysosome,0.7651181817054749
4.0,Chromatin,Nucleus,0.7336465716362
4.0,Chromatin,Chromatin,0.9994018077850342
1.0,Peroxisome,Peroxisome,0.6531033515930176
1.0,Lysosome,Lysosome,0.750927746295929
2.0,Cytosol,Cytosol,0.9999198913574219
2.0,Mitochondria,Mitochondria,0.5923729538917542
4.0,Mitochondria,Mitochondria,0.7021980881690979
2.0,Plasma Membrane,Plasma Membrane,0.9968763589859009
2.0,Lysosome,Endoplasmic Reticulum,0.8564083576202393
4.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.5918689966201782
5.0,Nucleolus,Nucleolus,0.9326052665710449
1.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.9376410245895386
5.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.6470663547515869
2.0,Chromatin,Chromatin,0.9733091592788696
1.0,Chromatin,Chromatin,0.9784563779830933
2.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.91115403175354
4.0,Nucleus,Nucleus,0.9629580974578857
3.0,Nucleus,Nucleus,0.9712717533111572
4.0,Mitochondria,Mitochondria,0.9432576298713684
5.0,Nucleus,Nucleus,0.5618571639060974
1.0,Nucleus,Nucleus,0.9989253878593445
3.0,Mitochondria,Mitochondria,0.9546359181404114
3.0,Nucleolus,Nucleolus,0.9264799356460571
3.0,Chromatin,Chromatin,0.9929921627044678
4.0,Chromatin,Chromatin,0.9997491240501404
1.0,Nucleus,Nucleus,0.9673398733139038
4.0,Mitochondria,Mitochondria,0.7985657453536987
1.0,Chromatin,Chromatin,0.9203055500984192
2.0,Plasma Membrane,Plasma Membrane,0.9995720982551575
1.0,Plasma Membrane,Plasma Membrane,0.9999649524688721
4.0,Endoplasmic Reticulum,Lysosome,0.9485362768173218
5.0,Golgi Apparatus,Golgi Apparatus,0.845302164554596
2.0,Plasma Membrane,Plasma Membrane,0.9974082112312317
4.0,Golgi Apparatus,Golgi Apparatus,0.9634674787521362
5.0,Nucleolus,Nucleolus,0.8759526014328003
4.0,Chromatin,Chromatin,0.9995753169059753
5.0,Chromatin,Chromatin,0.9567167162895203
3.0,Nucleus,Nucleus,0.9890859127044678
3.0,Golgi Apparatus,Golgi Apparatus,0.7581536173820496
2.0,Nucleus,Nucleus,0.9890194535255432
1.0,Nucleus,Nucleus,0.6129510402679443
4.0,Mitochondria,Mitochondria,0.9548203945159912
2.0,Chromatin,Chromatin,0.9988604784011841
4.0,Peroxisome,Peroxisome,0.8629478216171265
3.0,Nucleus,Nucleus,0.9966583251953125
1.0,Mitochondria,Mitochondria,0.7812979221343994
5.0,Chromatin,Chromatin,0.9846971035003662
5.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.7823233008384705
5.0,Nucleus,Nucleus,0.9688623547554016
1.0,Nucleus,Nucleus,0.9983108043670654
4.0,Plasma Membrane,Plasma Membrane,0.9999887943267822
5.0,Mitochondria,Mitochondria,0.604374349117279
1.0,Mitochondria,Mitochondria,0.6359884738922119
3.0,Nucleolus,Nucleolus,0.7318204045295715
2.0,Mitochondria,Mitochondria,0.9045159816741943
3.0,Golgi Apparatus,Golgi Apparatus,0.9168227314949036
4.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.9350962042808533
1.0,Nucleus,Nucleus,0.9907330274581909
4.0,Mitochondria,Mitochondria,0.732243537902832
5.0,Mitochondria,Mitochondria,0.6275389790534973
4.0,Golgi Apparatus,Golgi Apparatus,0.7541469931602478
4.0,Endoplasmic Reticulum,Lysosome,0.8032342195510864
5.0,Mitochondria,Mitochondria,0.4957975447177887
3.0,Cytosol,Cytosol,0.9997848868370056
2.0,Chromatin,Chromatin,0.8435616493225098
4.0,Plasma Membrane,Plasma Membrane,0.9999667406082153
4.0,Mitochondria,Mitochondria,0.8921674489974976
4.0,Peroxisome,Peroxisome,0.756368100643158
5.0,Mitochondria,Mitochondria,0.5616800785064697
5.0,Cytosol,Cytosol,0.999842643737793
5.0,Plasma Membrane,Plasma Membrane,0.9997623562812805
2.0,Lysosome,Lysosome,0.661483108997345
4.0,Endoplasmic Reticulum,Endoplasmic Reticulum,0.9605942964553833
5.0,Plasma Membrane,Plasma Membrane,0.9999784231185913
5.0,Plasma Membrane,Plasma Membrane,0.9998593330383301
2.0,Mitochondria,Mitochondria,0.8250845074653625
5.0,Chromatin,Chromatin,0.8713119626045227
2.0,Mitochondria,Mitochondria,0.8903782367706299
3.0,Chromatin,Chromatin,0.8400021195411682
4.0,Plasma Membrane,Plasma Membrane,0.9999914169311523
5.0,40S/60S Ribosome,40S/60S Ribosome,0.9728148579597473
2.0,40S/60S Ribosome,40S/60S Ribosome,0.995891809463501
2.0,Plasma Membrane,Plasma Membrane,0.9999783039093018
4.0,Lysosome,Lysosome,0.8119718432426453
2.0,Mitochondria,Mitochondria,0.7131419777870178
2.0,Cytosol,Cytosol,0.99982088804245
