Protein_ID,lps_rep1_set1_126_cyto,lps_rep1_set1_127N_F1.4,lps_rep1_set1_127C_F8,lps_rep1_set1_128N_F10,lps_rep1_set1_128C_F12,lps_rep1_set1_129N_F14,lps_rep1_set1_129C_F16,lps_rep1_set1_130N_F18,lps_rep1_set1_130C_F20,lps_rep1_set1_131_F22,lps_rep1_set2_126_F5.7,lps_rep1_set2_127N_F9,lps_rep1_set2_127C_F11,lps_rep1_set2_128N_F13,lps_rep1_set2_128C_F15,lps_rep1_set2_129N_F17,lps_rep1_set2_129C_F19,lps_rep1_set2_130N_F21,lps_rep1_set2_130C_F23,lps_rep1_set2_131_F25,markers
A0A0B4J2F0,0.015537901,0.004225101,0.013799499,0.016922543,0.026299122,0.026082891,0.075398011,0.115623868,0.132767656,0.073343408,0.006388937,0.018856188,0.026854402,0.031616707,0.049349021,0.102949535,0.11645198,0.07334591,0.048817603,0.025369718,unknown
A0AVT1,0.334765181,0.001868832,0.000419014,0.003858501,0.004904109,0.00679068,0.020656405,0.030908076,0.060490693,0.027633644,0.010833221,0.013446811,0.020661201,0.021464542,0.03610774,0.103844011,0.07945807,0.136921363,0.054862161,0.030105747,unknown
A0FGR8-2,0.004472261,0.002630404,0.005682755,0.006895745,0.018998624,0.023404875,0.113153876,0.135727229,0.122978272,0.06904138,0.004311722,0.008668379,0.015349452,0.022837883,0.048599237,0.190538274,0.062820205,0.092754025,0.03323663,0.017898772,unknown
A0JNW5,0.156939873,0.007785453,0.019671745,0.026780699,0.034088369,0.023136788,0.055193068,0.047807006,0.065602726,0.060503059,0.016974071,0.044807822,0.050532512,0.035650618,0.030445966,0.104597371,0.048834694,0.108785671,0.031102025,0.030760464,unknown
A0MZ66-3,0.293992126,0.005541755,0.009830855,0.006729859,0.015670897,0.013483442,0.033636828,0.035942687,0.049899135,0.033487971,0.028471769,0.037898366,0.045366218,0.038921468,0.041307786,0.099376054,0.050471439,0.079761548,0.039484079,0.040725717,unknown
A0PJW6,0.006610141,0.001566801,0.005139538,0.003335899,0.008396744,0.011463292,0.073991209,0.164400656,0.128702236,0.096393485,0.002701385,0.008190073,0.00961456,0.012459922,0.029383865,0.155134587,0.100028658,0.124480494,0.037173872,0.020832585,unknown
A1L0T0,0.002666403,0.003500269,0.010032224,0.008795815,0.022681788,0.027384903,0.102902216,0.128149765,0.113500479,0.06986944,0.003568179,0.008380257,0.016276115,0.022226984,0.045149912,0.171229497,0.083613246,0.098279412,0.037828122,0.023964973,unknown
A1L170-2,0.004016863,0.025523507,0.030299763,0.041599781,0.063547732,0.143942832,0.092869241,0.042547657,0.029063036,0.026589588,0.020289595,0.025086033,0.046443798,0.096105005,0.150355863,0.051765058,0.048750166,0.027827228,0.016482594,0.016894659,unknown
A2A288,0.020510247,0.011741347,0.023895885,0.026061802,0.036640094,0.046987468,0.066053234,0.065016352,0.101909454,0.101184117,0.008987803,0.019989516,0.020833134,0.024484561,0.055030849,0.055447489,0.069441645,0.07965426,0.06676752,0.099363223,unknown
A2RRP1,0.00641727,0.003062427,0.009843533,0.008641956,0.022236423,0.030694162,0.107375198,0.129454458,0.1191913,0.065172309,0.003723154,0.009159353,0.015588333,0.022802788,0.048174951,0.173531827,0.073736352,0.093770837,0.035655333,0.021768035,unknown
A2RUS2,0.075170121,0.005106687,0.006950601,0.008565002,0.013504693,0.017846521,0.064003706,0.073973729,0.131792593,0.099151576,0.003890681,0.009710163,0.016354941,0.020136513,0.038103489,0.089768083,0.068613112,0.125467911,0.05958829,0.07230159,unknown
A2VDJ0-5,0.005715498,0.002006351,0.006727354,0.00952512,0.023567299,0.023000592,0.106399378,0.134878973,0.117978533,0.066746758,0.004764176,0.016598697,0.017448507,0.03345719,0.049251334,0.145914581,0.088007324,0.075111135,0.041075841,0.031825357,unknown
A3KMH1,0.006198664,0.00210893,0.008243948,0.010562487,0.017784342,0.017996621,0.070105965,0.144574358,0.146446505,0.073449235,0.003971715,0.008267727,0.011042287,0.01633985,0.032643902,0.160234431,0.09481856,0.115178564,0.036227773,0.023804135,Mitochondria
A4D1E9,0.011228362,0.001091129,0.003164666,0.003057856,0.012289211,0.011324474,0.060813096,0.145865778,0.192804942,0.070415,0.001901914,0.008069279,0.012188912,0.016609829,0.030290903,0.169273145,0.088739871,0.102162843,0.032004385,0.026704403,unknown
A4D1P6,0.13161569,0.00627866,0.012457633,0.016763346,0.028435626,0.029368502,0.063911957,0.071457732,0.075541294,0.068804214,0.017602304,0.024636803,0.034782437,0.034952639,0.057983856,0.067005941,0.059892653,0.085675253,0.055072062,0.057761399,unknown
A4D1S0,0.003435844,0.062672169,0.043163679,0.052104058,0.073138201,0.093169293,0.076554677,0.047244621,0.026071659,0.022445798,0.010308117,0.032613822,0.049836638,0.080141613,0.099351776,0.081741011,0.061640081,0.044695037,0.02534594,0.014325966,unknown
A5D8V6,0.019670074,0.038333448,0.045242898,0.075914459,0.073554019,0.137569934,0.051768356,0.026148368,0.016668539,0.015129905,0.005792701,0.029073796,0.030118128,0.053747067,0.078223139,0.122129702,0.067840374,0.068129578,0.015754098,0.029191417,unknown
A5PLL7,0.002781097,0.001794157,0.005815825,0.010707093,0.016970456,0.022600473,0.069312282,0.128071675,0.187789575,0.059776865,0.004440952,0.009856298,0.017223586,0.023030073,0.038776893,0.182676733,0.072384414,0.097178599,0.031029228,0.017783725,unknown
