"data","method","f1score","precision","recall","accuracy"
"mulvey2021","SVM",0.928750295598122,0.923412371941784,0.939889496468444,0.944099378881988
"mulvey2021","SVM",0.855300790291303,0.853296119085593,0.864131920710868,0.894409937888199
"mulvey2021","SVM",0.901865124736405,0.892988792253498,0.915732513100934,0.919254658385093
"mulvey2021","SVM",0.864514896867838,0.858391608391608,0.881926406926407,0.894409937888199
"mulvey2021","SVM",0.868939956631812,0.86877191436015,0.877010708589656,0.900621118012422
"mulvey2021","SVM",0.873794717911107,0.878199200180624,0.878241057188426,0.900621118012422
"mulvey2021","SVM",0.915782501811914,0.911733646626695,0.924065846434267,0.93167701863354
"mulvey2021","SVM",0.905874102015199,0.902031680440771,0.915778081567555,0.93167701863354
"mulvey2021","SVM",0.893870417399829,0.89938936402351,0.894241285030759,0.925465838509317
"mulvey2021","SVM",0.851886894225604,0.867208853238265,0.850633298121336,0.888198757763975
"mulvey2021","SVM",0.833057727433675,0.835961505814447,0.845038733196628,0.863354037267081
"mulvey2021","SVM",0.835446154462693,0.837915797808846,0.850102529049897,0.863354037267081
"mulvey2021","SVM",0.828350402984549,0.834095539042063,0.8315333789018,0.875776397515528
"mulvey2021","SVM",0.76713411092457,0.779980644179912,0.765745458688042,0.819875776397516
"mulvey2021","SVM",0.838372471486923,0.828845270890725,0.863915470494418,0.875776397515528
"mulvey2021","SVM",0.836332887573784,0.832934828329565,0.848154477101846,0.869565217391304
"mulvey2021","SVM",0.912958764571668,0.912706611570248,0.918050808840283,0.937888198757764
"mulvey2021","SVM",0.873190182156027,0.87721619313232,0.883783321941217,0.894409937888199
"mulvey2021","SVM",0.822606223195113,0.819688481453187,0.842247664616086,0.863354037267081
"mulvey2021","SVM",0.874763948641658,0.887518037518037,0.883976987924356,0.894409937888199
"mulvey2021","SVM",0.83271540700094,0.833384344413756,0.835235816814764,0.875776397515528
"mulvey2021","SVM",0.851377747747984,0.844780850462669,0.873826611984507,0.881987577639752
"mulvey2021","SVM",0.878983467014027,0.876622082064666,0.88642629300524,0.906832298136646
"mulvey2021","SVM",0.854465983065356,0.868679152101612,0.874367737525632,0.881987577639752
"mulvey2021","SVM",0.839847499634426,0.852647352647353,0.842579071646057,0.875776397515528
"mulvey2021","SVM",0.805401616843623,0.803765094554568,0.815254044201413,0.850931677018634
"mulvey2021","SVM",0.818656128971074,0.814187201687202,0.826577808156756,0.875776397515528
"mulvey2021","SVM",0.841438156706179,0.842181748732551,0.856077694235589,0.863354037267081
"mulvey2021","SVM",0.883433887520904,0.886274509803922,0.893654591023012,0.91304347826087
"mulvey2021","SVM",0.849476469092498,0.859898434898435,0.849111414900889,0.888198757763975
"mulvey2021","SVM",0.868043855543856,0.861626935156347,0.89064707222602,0.894409937888199
"mulvey2021","SVM",0.894938838287344,0.888734750098386,0.913049669628617,0.919254658385093
"mulvey2021","SVM",0.84055258023,0.843755118755119,0.856858054226475,0.869565217391304
"mulvey2021","SVM",0.898342932793664,0.89906709452164,0.91607997265892,0.91304347826087
"mulvey2021","SVM",0.819059633830948,0.827647271029624,0.823632946001367,0.863354037267081
"mulvey2021","SVM",0.875113222799248,0.88029689608637,0.880604921394395,0.91304347826087
"mulvey2021","SVM",0.886305631104945,0.887711961241373,0.895517202096149,0.91304347826087
"mulvey2021","SVM",0.896927697151078,0.890668927032563,0.904932786511734,0.919254658385093
"mulvey2021","SVM",0.882545932185151,0.8775623885918,0.89595010252905,0.91304347826087
"mulvey2021","SVM",0.860135198783706,0.860390671420083,0.869195716564138,0.894409937888199
"mulvey2021","SVM",0.885694428811707,0.907231404958678,0.889604693552062,0.906832298136646
"mulvey2021","SVM",0.855933326204587,0.850484174013586,0.868005240373661,0.888198757763975
"mulvey2021","SVM",0.877370478983382,0.877795815295815,0.886255411255411,0.906832298136646
"mulvey2021","SVM",0.890052518749139,0.892793191656828,0.889695830485304,0.919254658385093
"mulvey2021","SVM",0.857314854658308,0.850339519597893,0.870277967646389,0.894409937888199
"mulvey2021","SVM",0.852688994693648,0.85878192662952,0.850439632138197,0.888198757763975
"mulvey2021","SVM",0.873291522698544,0.875361811391223,0.876715549203588,0.900621118012422
"mulvey2021","SVM",0.89265384453898,0.894464380648591,0.898894964684438,0.919254658385093
"mulvey2021","SVM",0.864392046309707,0.867653810835629,0.874931647300068,0.888198757763975
"mulvey2021","SVM",0.865038437242476,0.863672438672439,0.884734563681932,0.894409937888199
"mulvey2021","SVM",0.844810386125807,0.84210372960373,0.858526999316473,0.888198757763975
"mulvey2021","SVM",0.830000098324231,0.832992742551566,0.834865573023468,0.881987577639752
"mulvey2021","SVM",0.779275037689099,0.822569595476294,0.815208475734791,0.832298136645963
"mulvey2021","SVM",0.83825701715672,0.840940419229893,0.846946912736386,0.881987577639752
"mulvey2021","SVM",0.872024449012165,0.87286989326463,0.883526999316473,0.900621118012422
"mulvey2021","SVM",0.802875474199004,0.808416093710211,0.805884028252449,0.863354037267081
"mulvey2021","SVM",0.885291820094378,0.885442941131796,0.891598313966735,0.906832298136646
"mulvey2021","SVM",0.849923760360193,0.841792929292929,0.864479380268854,0.888198757763975
"mulvey2021","SVM",0.807325634018433,0.816436255522943,0.806231487810435,0.857142857142857
"mulvey2021","SVM",0.912941651845208,0.907381507381507,0.929175210754158,0.93167701863354
"mulvey2021","SVM",0.795320528005342,0.793859675677858,0.809170653907496,0.832298136645963
"mulvey2021","SVM",0.804085746272898,0.795693878314199,0.83213716108453,0.838509316770186
"mulvey2021","SVM",0.885788836029041,0.88056884635832,0.908635224424698,0.906832298136646
"mulvey2021","SVM",0.816600745997298,0.816001689932171,0.826368089645602,0.863354037267081
"mulvey2021","SVM",0.862190899647723,0.860055979374161,0.874111414900889,0.900621118012422
"mulvey2021","SVM",0.868595527346636,0.876286512530532,0.871514012303486,0.900621118012422
"mulvey2021","SVM",0.839530827307388,0.872307663097137,0.839479380268854,0.900621118012422
"mulvey2021","SVM",0.831944196789735,0.829996800585036,0.856494024316991,0.863354037267081
"mulvey2021","SVM",0.847877379490283,0.86109571322986,0.859307359307359,0.894409937888199
"mulvey2021","SVM",0.875150348278691,0.871212121212121,0.887075643654591,0.906832298136646
"mulvey2021","SVM",0.842723193942064,0.835628396992033,0.859107997265892,0.881987577639752
"mulvey2021","SVM",0.857942057942058,0.859284575074049,0.86038961038961,0.894409937888199
"mulvey2021","SVM",0.813406136423244,0.81765320163153,0.819714057871953,0.857142857142857
"mulvey2021","SVM",0.844796529402059,0.84452912850042,0.863505354294828,0.875776397515528
"mulvey2021","SVM",0.856911014205736,0.853839152368564,0.865276828434723,0.894409937888199
"mulvey2021","SVM",0.784253345075828,0.791889762284499,0.799259512417407,0.838509316770186
"mulvey2021","SVM",0.892973192053239,0.89406697638405,0.895517202096149,0.919254658385093
"mulvey2021","SVM",0.864741385180934,0.86451171377642,0.869953292321713,0.900621118012422
"mulvey2021","SVM",0.838760464366604,0.839808802308802,0.85082023239918,0.875776397515528
"mulvey2021","SVM",0.841378055476702,0.845545957310663,0.850256322624744,0.881987577639752
"mulvey2021","SVM",0.860615211969361,0.855239042003748,0.887702210070631,0.881987577639752
"mulvey2021","SVM",0.865762882450456,0.863369636899049,0.89413979162783,0.888198757763975
"mulvey2021","SVM",0.844450140760014,0.849246383697603,0.84532353611301,0.894409937888199
"mulvey2021","SVM",0.879972898241497,0.887550644795982,0.875689223057644,0.906832298136646
"mulvey2021","SVM",0.878979670239467,0.878027238655581,0.889866712235133,0.900621118012422
"mulvey2021","SVM",0.910081448459058,0.912637741046832,0.91564707222602,0.93167701863354
"mulvey2021","SVM",0.869285726923298,0.867917900812638,0.885104807473229,0.900621118012422
"mulvey2021","SVM",0.885911168561224,0.880570565797839,0.902335383914331,0.900621118012422
"mulvey2021","SVM",0.938645912910619,0.936671335200747,0.943113465481887,0.950310559006211
"mulvey2021","SVM",0.887462528251759,0.881193514088251,0.903047391205286,0.906832298136646
"mulvey2021","SVM",0.860512526902749,0.866933066933067,0.865584415584416,0.900621118012422
"mulvey2021","SVM",0.883567418607986,0.880763517528223,0.891165413533835,0.91304347826087
"mulvey2021","SVM",0.877062496077776,0.883743449532923,0.882877648667122,0.906832298136646
"mulvey2021","SVM",0.777085292383618,0.779220676589098,0.785645933014354,0.826086956521739
"mulvey2021","SVM",0.899479881809104,0.904618944866623,0.909455456823878,0.919254658385093
"mulvey2021","SVM",0.828336927496719,0.832492372126518,0.829932786511734,0.881987577639752
"mulvey2021","SVM",0.858166083734362,0.850536206218024,0.882769423558897,0.881987577639752
"mulvey2021","SVM",0.844759287983324,0.851721763085399,0.852443609022556,0.894409937888199
"mulvey2021","SVM",0.856938078261608,0.850082760376878,0.872226019594441,0.888198757763975
"mulvey2021","SVM",0.850007126104213,0.846037132801839,0.86183640920483,0.881987577639752
