cv_index,true_label,pred_label,pred_prob
3.0,ER,ER,0.793432891368866
2.0,ER,ER,0.8098016381263733
2.0,ER,ER,0.7740670442581177
5.0,ER,ER,0.7288077473640442
2.0,Vacuole,Vacuole,0.5488630533218384
1.0,ER,ER,0.5418741703033447
3.0,ER,ER,0.5894375443458557
5.0,Ribosome,Ribosome,0.42985856533050537
4.0,ER,ER,0.7684694528579712
4.0,ER,ER,0.8988093137741089
3.0,Ribosome,Ribosome,0.41878724098205566
2.0,Vacuole,Vacuole,0.947143018245697
3.0,PM,ER,0.793032169342041
5.0,Cytosol,Cytosol,0.9991783499717712
4.0,Cytosol,Cytosol,0.37327882647514343
3.0,ER,ER,0.9682124257087708
1.0,ER,Ribosome,0.5290428996086121
4.0,ER,ER,0.6642065048217773
4.0,ER,PM,0.6053923964500427
3.0,ER,Mitochondrion,0.4774298667907715
5.0,Mitochondrion,Mitochondrion,0.9661045074462891
5.0,PM,Vacuole,0.9859285950660706
4.0,Ribosome,ER,0.4218677282333374
3.0,Cytosol,Cytosol,0.869145393371582
2.0,PM,PM,0.8065553307533264
5.0,Ribosome,PM,0.5777406096458435
1.0,PM,PM,0.5345831513404846
5.0,Ribosome,ER,0.4645831882953644
2.0,Ribosome,ER,0.5833708643913269
4.0,ER,ER,0.8287560343742371
4.0,Ribosome,Ribosome,0.8250494599342346
2.0,ER,ER,0.9733278751373291
1.0,PM,PM,0.4603113830089569
2.0,PM,Ribosome,0.8258751630783081
1.0,ER,ER,0.4704285264015198
3.0,Mitochondrion,Mitochondrion,0.897282600402832
1.0,PM,PM,0.4189116656780243
2.0,ER,ER,0.9304150342941284
4.0,Cytosol,Cytosol,0.9721859097480774
5.0,ER,ER,0.9953558444976807
1.0,Mitochondrion,Mitochondrion,0.6428160667419434
1.0,Vacuole,Vacuole,0.8838151693344116
5.0,ER,ER,0.9952211976051331
3.0,Ribosome,Ribosome,0.529579758644104
4.0,PM,PM,0.8068095445632935
4.0,Vacuole,Vacuole,0.9880268573760986
1.0,Ribosome,PM,0.3861222267150879
3.0,PM,PM,0.6758182644844055
3.0,Cytosol,Cytosol,0.9955822825431824
3.0,ER,ER,0.47041285037994385
2.0,ER,ER,0.8977904319763184
2.0,Cytosol,Cytosol,0.885297417640686
2.0,PM,PM,0.7548044919967651
1.0,Ribosome,PM,0.500974714756012
4.0,Ribosome,Ribosome,0.9465932250022888
2.0,Ribosome,Ribosome,0.6562410593032837
4.0,ER,ER,0.7560425400733948
1.0,Mitochondrion,Mitochondrion,0.5377416610717773
4.0,Vacuole,Vacuole,0.9333470463752747
1.0,Ribosome,Ribosome,0.4788149893283844
2.0,Mitochondrion,Mitochondrion,0.8155208230018616
2.0,Golgi,Golgi,0.653344452381134
3.0,Mitochondrion,Mitochondrion,0.7877635359764099
5.0,PM,ER,0.9711416363716125
4.0,ER,PM,0.7443585395812988
5.0,Mitochondrion,Mitochondrion,0.7648585438728333
2.0,Mitochondrion,Plastid,0.6074070334434509
3.0,Vacuole,Vacuole,0.9356271028518677
3.0,Mitochondrion,Mitochondrion,0.6687049269676208
2.0,ER,ER,0.49800345301628113
5.0,Mitochondrion,Plastid,0.944456934928894
4.0,Ribosome,Ribosome,0.6811303496360779
5.0,Plastid,ER,0.9562406539916992
5.0,ER,ER,0.9278432130813599
2.0,Cytosol,Cytosol,0.9459842443466187
3.0,Vacuole,Vacuole,0.9403990507125854
5.0,Vacuole,Vacuole,0.989062488079071
5.0,Ribosome,Ribosome,0.9916642904281616
1.0,Vacuole,Vacuole,0.9663903117179871
1.0,Cytosol,Cytosol,0.9562398195266724
3.0,ER,ER,0.41404151916503906
4.0,PM,Plastid,0.6796083450317383
5.0,ER,ER,0.9931268692016602
1.0,ER,ER,0.5120497941970825
2.0,ER,ER,0.6001453995704651
4.0,Mitochondrion,Mitochondrion,0.8497830629348755
4.0,Mitochondrion,Mitochondrion,0.9328526258468628
5.0,Mitochondrion,Mitochondrion,0.9747614860534668
2.0,Mitochondrion,Mitochondrion,0.6486683487892151
2.0,Mitochondrion,Mitochondrion,0.8510720729827881
1.0,Plastid,Mitochondrion,0.46860647201538086
2.0,Ribosome,Ribosome,0.5164376497268677
3.0,ER,ER,0.9960164427757263
1.0,Mitochondrion,Mitochondrion,0.4260489046573639
3.0,PM,PM,0.8297049403190613
5.0,Mitochondrion,Mitochondrion,0.9727051258087158
5.0,Cytosol,Cytosol,0.7836110591888428
1.0,PM,PM,0.33770254254341125
1.0,Golgi,Golgi,0.9970685839653015
5.0,Ribosome,Ribosome,0.6402286887168884
1.0,ER,ER,0.6028620004653931
2.0,Golgi,Golgi,0.9175089597702026
2.0,ER,ER,0.72210693359375
3.0,Golgi,Golgi,0.9990133047103882
5.0,ER,ER,0.9858594536781311
5.0,ER,ER,0.9833504557609558
3.0,Cytosol,Cytosol,0.9518429636955261
1.0,Ribosome,Ribosome,0.5137149095535278
3.0,Ribosome,ER,0.4884420931339264
3.0,Ribosome,ER,0.6090783476829529
1.0,ER,ER,0.5508071184158325
1.0,Mitochondrion,Mitochondrion,0.5827598571777344
1.0,Mitochondrion,Mitochondrion,0.599926233291626
5.0,Mitochondrion,Mitochondrion,0.987798810005188
3.0,Plastid,Plastid,0.9391880631446838
5.0,PM,Mitochondrion,0.5499317646026611
4.0,Mitochondrion,Mitochondrion,0.8972870111465454
2.0,Golgi,Golgi,0.9909838438034058
4.0,PM,ER,0.775994598865509
4.0,Mitochondrion,Mitochondrion,0.9763042330741882
2.0,ER,Plastid,0.8974584937095642
4.0,PM,PM,0.4010505974292755
3.0,Mitochondrion,Mitochondrion,0.9835259914398193
3.0,Mitochondrion,Mitochondrion,0.6436635255813599
3.0,Plastid,Mitochondrion,0.4608815908432007
4.0,Golgi,Golgi,0.8992363214492798
1.0,Plastid,Mitochondrion,0.6373149156570435
5.0,Plastid,Mitochondrion,0.5866652727127075
4.0,ER,ER,0.7296589612960815
3.0,ER,ER,0.9880235195159912
2.0,Ribosome,Ribosome,0.7017022371292114
1.0,ER,ER,0.37252992391586304
3.0,ER,Ribosome,0.6595147848129272
4.0,Mitochondrion,Mitochondrion,0.8692479729652405
2.0,Plastid,Plastid,0.5090827345848083
2.0,Mitochondrion,Mitochondrion,0.9198485016822815
4.0,ER,PM,0.6203598380088806
5.0,PM,PM,0.887227475643158
3.0,ER,ER,0.999854564666748
4.0,Plastid,Plastid,0.4391862154006958
2.0,Golgi,Golgi,0.9962208867073059
3.0,Mitochondrion,Mitochondrion,0.9522889852523804
2.0,ER,Mitochondrion,0.8012127876281738
4.0,Mitochondrion,Mitochondrion,0.8431633114814758
1.0,ER,PM,0.5225033164024353
2.0,Plastid,Plastid,0.46082931756973267
2.0,PM,ER,0.8558036684989929
4.0,Plastid,Mitochondrion,0.8600487112998962
4.0,ER,ER,0.9925951361656189
5.0,ER,ER,0.9891590476036072
1.0,PM,PM,0.5571758151054382
1.0,ER,ER,0.6233529448509216
4.0,Golgi,Golgi,0.9843330383300781
1.0,ER,ER,0.7268067002296448
4.0,Mitochondrion,Mitochondrion,0.7361134886741638
3.0,PM,PM,0.7411726117134094
1.0,Cytosol,Cytosol,0.4906752109527588
1.0,Mitochondrion,Mitochondrion,0.3454444110393524
2.0,Cytosol,Plastid,0.5595990419387817
3.0,Golgi,Golgi,0.99978107213974
2.0,Plastid,Golgi,0.9354798793792725
5.0,ER,ER,0.8662554621696472
5.0,Mitochondrion,Mitochondrion,0.9397305250167847
2.0,Plastid,Plastid,0.4200928807258606
5.0,Golgi,Golgi,0.9999710321426392
4.0,Mitochondrion,Mitochondrion,0.7618945837020874
5.0,Golgi,Golgi,0.9989171028137207
5.0,Golgi,Mitochondrion,0.9393718838691711
5.0,Plastid,Plastid,0.9877344965934753
1.0,Mitochondrion,Mitochondrion,0.5797132253646851
5.0,Plastid,Plastid,0.9435404539108276
2.0,Plastid,Mitochondrion,0.5367372632026672
1.0,Golgi,Golgi,0.5153124332427979
4.0,Plastid,Plastid,0.5416015386581421
3.0,Golgi,Golgi,0.9782289862632751
5.0,ER,ER,0.992077648639679
4.0,Plastid,Plastid,0.4755936861038208
5.0,Golgi,Golgi,0.9928531050682068
4.0,Golgi,Golgi,0.9981729984283447
1.0,Golgi,Golgi,0.8722870945930481
3.0,Mitochondrion,Mitochondrion,0.909552276134491
2.0,Mitochondrion,Mitochondrion,0.610731303691864
1.0,Mitochondrion,Mitochondrion,0.6821151971817017
