cv_index,true_label,pred_label,pred_prob
3.0,ER,ER,0.5607043504714966
2.0,ER,ER,0.940294623374939
2.0,ER,ER,0.9066581726074219
5.0,ER,ER,0.4686781167984009
2.0,Vacuole,Vacuole,0.506413996219635
1.0,ER,ER,0.494354248046875
3.0,ER,ER,0.5099812150001526
5.0,Ribosome,ER,0.465921014547348
4.0,ER,ER,0.9210845232009888
4.0,ER,ER,0.9893265962600708
3.0,Ribosome,Ribosome,0.38937050104141235
2.0,Vacuole,Vacuole,0.9721378684043884
3.0,PM,ER,0.5726802945137024
5.0,Cytosol,Cytosol,0.811833381652832
4.0,Cytosol,Cytosol,0.5947049260139465
3.0,ER,ER,0.696927547454834
1.0,ER,Ribosome,0.5686032176017761
4.0,ER,Ribosome,0.4983662962913513
4.0,ER,PM,0.7615190744400024
3.0,ER,Mitochondrion,0.38540247082710266
5.0,Mitochondrion,Mitochondrion,0.5449730753898621
5.0,PM,PM,0.30111369490623474
4.0,Ribosome,Ribosome,0.7328036427497864
3.0,Cytosol,Cytosol,0.878414511680603
2.0,PM,PM,0.8813732266426086
5.0,Ribosome,ER,0.4691290855407715
1.0,PM,PM,0.3958427309989929
5.0,Ribosome,ER,0.4613862931728363
2.0,Ribosome,ER,0.9286676049232483
4.0,ER,ER,0.9774131178855896
4.0,Ribosome,Ribosome,0.9621710181236267
2.0,ER,ER,0.9972635507583618
1.0,PM,PM,0.3271103501319885
2.0,PM,Ribosome,0.9536485075950623
1.0,ER,ER,0.40938159823417664
3.0,Mitochondrion,Mitochondrion,0.7687389254570007
1.0,PM,ER,0.34201452136039734
2.0,ER,ER,0.9928662776947021
4.0,Cytosol,Cytosol,0.9868042469024658
5.0,ER,ER,0.5537636876106262
1.0,Mitochondrion,Mitochondrion,0.544539213180542
1.0,Vacuole,Vacuole,0.3829788267612457
5.0,ER,ER,0.5697811841964722
3.0,Ribosome,Ribosome,0.8154194355010986
4.0,PM,PM,0.7997982501983643
4.0,Vacuole,Vacuole,0.9929770827293396
1.0,Ribosome,Ribosome,0.38893458247184753
3.0,PM,PM,0.48954761028289795
3.0,Cytosol,Cytosol,0.9773232936859131
3.0,ER,ER,0.3501729667186737
2.0,ER,ER,0.9969434142112732
2.0,Cytosol,Cytosol,0.9685685038566589
2.0,PM,PM,0.8478106260299683
1.0,Ribosome,PM,0.3423346281051636
4.0,Ribosome,Ribosome,0.995369017124176
2.0,Ribosome,Ribosome,0.7609386444091797
4.0,ER,ER,0.9051788449287415
1.0,Mitochondrion,Mitochondrion,0.4599447250366211
4.0,Vacuole,Vacuole,0.9776606559753418
1.0,Ribosome,Ribosome,0.4645671248435974
